configuration,max_mm,rms_mm,pct_of_base,pct_removed,dihedral_deg,max_motion_mm,volume_drift_pct,verts,tris,c1_clamped,iterations,wall_s
unsmoothed (PR 299 base),0.726607,0.33075,100,0,14.5299,0,0,11232,22460,0,0,0
Taubin pairs 5,0.727944,0.317555,96.0106,3.98941,14.4799,0.270946,0.010937,11232,22460,0,5,0.00373942
Taubin pairs 20,0.69556,0.293645,88.7817,11.2183,13.2576,0.428488,0.0457072,11232,22460,0,20,0.00426225
Taubin pairs 80,0.575348,0.245044,74.0876,25.9124,8.42605,0.535203,0.187313,11232,22460,0,80,0.0115704
Taubin pairs 160,0.576896,0.219835,66.4658,33.5342,5.67519,0.665306,0.384844,11232,22460,0,160,0.021357
A mean-curvature x1,0.639135,0.287513,86.9277,13.0723,17.9093,0.362672,6.09289e-09,11232,22460,0,1,0.00242746
A mean-curvature x2,0.889258,0.267768,80.9579,19.0421,26.7916,0.393264,3.48492e-09,11232,22460,0,2,0.00263846
A mean-curvature x5,0.56649,0.208013,62.8914,37.1086,31.4755,0.568533,1.0021e-08,11232,22460,39,5,0.00399821
A mean-curvature x10,0.497838,0.173541,52.4689,47.5311,30.4544,0.632883,2.18517e-08,11232,22460,522,10,0.00635583
A mean-curvature x20,0.447818,0.160188,48.4319,51.5681,26.3173,0.633947,6.23222e-09,11232,22460,1801,20,0.0149282
A mean-curvature x40,0.551321,0.165567,50.0581,49.9419,20.4484,0.610785,4.67211e-08,11232,22460,2176,40,0.0227346
A mean-curvature x80,0.5767,0.188692,57.0497,42.9503,18.119,0.587726,2.28455e-08,11232,22460,2599,80,0.0396393
A mean-curvature x160,0.634309,0.205485,62.1269,37.8731,17.3021,0.590213,3.26816e-08,11232,22460,2976,160,0.0795854
B ramp r1 e0.0 x1,1.15143,0.309584,93.6006,6.39939,22.9332,0.615932,1.81024e-08,11232,22460,735,1,0.0193544
B ramp r1 e0.0 x2,1.05999,0.313186,94.6897,5.31027,24.7086,0.665352,1.27313e-08,11232,22460,1753,2,0.0358502
B ramp r1 e0.0 x4,1.16733,0.326061,98.5824,1.41762,24.446,0.698204,1.44036e-08,11232,22460,4589,4,0.0679761
B ramp r1 e0.0 x8,1.10733,0.345208,104.371,-4.37127,25.6064,0.687318,6.21166e-08,11232,22460,8106,8,0.13436
B ramp r1 e0.5 x1,1.19551,0.304453,92.0492,7.95079,18.808,0.60228,2.52284e-08,105412,210820,5793,1,0.279185
B ramp r1 e0.5 x2,1.10792,0.305135,92.2556,7.74438,21.2352,0.674083,1.52577e-08,105412,210820,8184,2,0.493169
B ramp r1 e0.5 x4,1.02522,0.29951,90.5549,9.44514,24.868,0.677384,7.62416e-09,105412,210820,14312,4,0.771411
B ramp r1 e0.5 x8,1.12144,0.328362,99.278,0.722001,30.8115,0.697983,5.90589e-08,105412,210820,37332,8,1.46505
B ramp r2 e0.0 x1,1.06099,0.28348,85.7083,14.2917,28.2162,0.631651,6.80229e-09,11232,22460,1267,1,0.0230053
B ramp r2 e0.0 x2,0.961877,0.288661,87.2748,12.7252,29.1953,0.665198,7.34996e-08,11232,22460,4761,2,0.0430508
B ramp r2 e0.0 x4,1.09138,0.300811,90.9482,9.0518,29.8183,0.670109,5.99398e-08,11232,22460,8033,4,0.0836629
B ramp r2 e0.0 x8,0.908553,0.297061,89.8144,10.1856,32.3226,0.668171,1.03093e-08,11232,22460,9907,8,0.164389
B ramp r2 e0.5 x1,1.16716,0.289265,87.4574,12.5426,22.1347,0.606308,7.35025e-09,105412,210820,6047,1,0.300952
B ramp r2 e0.5 x2,1.11451,0.296046,89.5074,10.4926,28.1922,0.690813,4.14123e-08,105412,210820,11471,2,0.483036
B ramp r2 e0.5 x4,1.15598,0.299197,90.4602,9.53984,33.6774,0.687992,2.6675e-08,105412,210820,23635,4,1.12202
B ramp r2 e0.5 x8,1.09445,0.311089,94.0558,5.94422,39.0658,0.7002,3.13328e-08,105412,210820,43577,8,2.28122
