rung,operator,iterations,wall_s,cut_max_mm,cut_rms_mm,cut_moved,cad_moved_bitwise,dihedral_before,dihedral_after,vol_before_mm3,vol_after_mm3,vol_drift_pct,mass_added_g,cad_dev_rms_before,cad_dev_rms_after,cad_removed_pct,active_first,active_last,converged,inward_vertices,worst_inward_mm,max_outward_mm,c1_clamped,min_section_mm2,min_section_fine_mm2,worst_aspect_before,worst_aspect_after
0.68,Close_r0.50_expl_C1on,40,3.57555,0.42632,0.00379984,2,0,8.36204,8.37217,443799,443799,1.66116e-05,9.14155e-05,0.326993,0.326993,0,2,2,0,0,0,0.42632,78,104.687,167.936,3511.05,3511.05
0.68,Close_r0.50_expl_C1off,15,1.43108,5.09919,0.0493435,8,0,8.36204,8.41879,443799,443808,0.00198362,0.0109161,0.326993,0.326993,0,2,0,1,0,0,5.04619,0,104.687,167.936,3511.05,3511.05
0.68,Close_r0.50_expl_dt.025,40,3.63096,0.42632,0.00379984,2,0,8.36204,8.37217,443799,443799,1.66116e-05,9.14155e-05,0.326993,0.326993,0,2,2,0,0,0,0.42632,74,104.687,167.936,3511.05,3511.05
0.68,Close_r0.50_COUPLED,40,3.97802,0,0,0,0,8.36204,8.36204,443799,443799,0,0,0.326993,0.326993,0,2,2,0,0,0,0,0,104.687,167.936,3511.05,3511.05
0.68,Close_r1.00_expl_C1on,40,3.58838,0.470779,0.0369569,189,0,8.36204,8.70808,443799,443832,0.00744206,0.0409545,0.326993,0.326993,0,70,182,0,0,0,0.42632,6145,104.687,167.936,3511.05,3511.05
0.68,Close_r1.00_expl_C1off,40,3.55913,10.7507,0.535728,897,0,8.36204,12.943,443799,445786,0.447713,2.46381,0.326993,0.326993,0,70,390,0,101,-4.87327,9.87481,0,2.90798,0.726994,3511.05,3511.05
0.68,Close_r1.00_expl_dt.025,40,3.59077,0.469493,0.0339011,167,0,8.36204,8.67883,443799,443827,0.0061906,0.0340676,0.326993,0.326993,0,70,161,0,0,0,0.42632,3893,104.687,167.936,3511.05,3511.05
0.68,Close_r1.00_COUPLED,40,3.60024,0.0179064,0.000112856,1,0,8.36204,8.36207,443799,443799,2.4459e-06,1.34601e-05,0.326993,0.326993,0,70,70,0,0,0,0.0179064,0,104.687,167.936,3511.05,3511.05
0.68,Close_r1.71_expl_C1on,40,3.61378,0.483568,0.103111,1491,0,8.36204,10.6245,443799,444085,0.0643586,0.354173,0.326993,0.326993,0,798,1435,0,0,0,0.42632,49531,104.687,167.936,3511.05,3511.05
0.68,Close_r1.71_expl_C1off,40,3.63052,12.9153,1.45935,4550,0,8.36204,22.7675,443799,463059,4.33981,23.8825,0.326993,0.326993,0,798,3688,0,844,-5.31177,12.7544,0,40.7117,28.3528,3511.05,3511.05
