mode,rung_vf,refine,resolution,nx,ny,nz,spacing_mm,dofs,peak_vm_mpa,max_interlayer_mpa,margin_in_plane,margin_interlayer,margin_worst_case,margin_effective,accepted,mass_g,compliance,printed_voxels,peak_vm_boundary_onlattice,peak_vm_interior_onlattice,boundary_cells_onlattice,interior_cells_onlattice,peak_vm_boundary_native,peak_vm_interior_native,peak_i,peak_j,peak_k,peak_tag,peak_dist_to_bc_mm,tag_repair_voxels,ceil_gap_printed,wall_s,matvecs,recorded_margin,recorded_peak_vm,load_resultant_z,load_path_ok,load_voxels,load_unprinted,fixture_voxels,fixture_unprinted,max_disp_mm,bc_dofs,nodal_loads,peak_vm_surface,surface_cells,surface_faces,surf_i,surf_j,surf_k
replicate,0.68000000000000005,1,128,128,31,118,1.7052793026343613,1473696,0.025350094445258153,0.0068845341343446486,2169.6171633115155,4393.906604238161,2169.6171633115155,449.2469882926618,1,543.73002617244515,0.005400527627149581,88425,0.025350094445258153,0.01952087535606294,31707,56718,0.025350094445258153,0.01952087535606294,126,6,16,Surface,26.459319400229226,0,0,50.691665542311966,6355,2169.6171706042742,0.025350094360048595,-33.361701965334838,1,5165,0,3348,0,0.0014041261504170544,21000,7382,0.033259492716872431,31707,37352,126,6,16
replicate,0.52000000000000002,1,128,128,31,118,1.7052793026343613,1473696,0.024336791316621986,0.006647535116299866,2259.9528131892675,4550.5588869815074,2259.9528131892675,467.95214021038447,1,473.31721837260721,0.005663192111901705,76974,0.024336791316621986,0.018931892995858814,34328,42646,0.024336791316621986,0.018931892995858814,17,14,61,Surface,103.17644417743743,0,0,50.672884750179946,6712,2259.9528152616044,0.02433679129430558,-33.361701965334838,1,5165,0,3348,0,0.0013782956659913969,21000,7382,0.031532901943206119,34328,40542,126,6,16
replicate,0.38,1,128,128,31,118,1.7052793026343613,1473696,0.025069775628945835,0.0055494199196296371,2193.8768345615508,5451.0201855510077,2193.8768345615508,454.27026356460595,1,412.46618824535221,0.0063854748398888142,67078,0.025069775628945835,0.018535095083397068,34881,32197,0.025069775628945835,0.018535095083397068,17,16,61,Surface,103.17644417743743,0,0,46.809825000353158,7000,2193.8768329098998,0.025069775647819512,-33.361701965334838,1,5165,0,3348,0,0.0015518475640391547,21000,7382,0.030064950742213759,34881,41484,17,16,60
replicate,0.26000000000000001,1,128,128,31,118,1.7052793026343613,1473696,0.027386642075667812,0.0052150316913852088,2008.2783368635692,5800.5400139697031,2008.2783368635692,415.83972036444186,1,360.3037702411583,0.0078103191244510116,58595,0.027386642075667812,0.020503639637669602,34969,23626,0.027386642075667812,0.020503639637669602,17,17,60,Surface,101.47128329286414,0,0,47.86523766675964,7322,2008.2783386128367,0.027386642051813268,-33.361701965334838,1,5165,0,3348,0,0.0020280783303923688,21000,7382,0.032778513841697027,34969,41972,17,17,60
retag,0.68000000000000005,1,128,128,31,118,1.7052793026343613,1473696,0.025350094445258153,0.0068845341343446486,2169.6171633115155,4393.906604238161,2169.6171633115155,449.2469882926618,1,543.73002617244515,0.005400527627149581,88425,0.025350094445258153,0.01952087535606294,31707,56718,0.025350094445258153,0.01952087535606294,126,6,16,Surface,26.459319400229226,0,0,45.536623875144869,6355,2169.6171706042742,0.025350094360048595,-33.361701965334838,1,5165,0,3348,0,0.0014041261504170544,21000,7382,0.033259492716872431,31707,37352,126,6,16
retag,0.52000000000000002,1,128,128,31,118,1.7052793026343613,1473696,0.024336791316621986,0.006647535116299866,2259.9528131892675,4550.5588869815074,2259.9528131892675,467.95214021038447,1,473.31721837260721,0.005663192111901705,76974,0.024336791316621986,0.018931892995858814,34328,42646,0.024336791316621986,0.018931892995858814,17,14,61,Surface,103.17644417743743,0,0,50.557731083128601,6712,2259.9528152616044,0.02433679129430558,-33.361701965334838,1,5165,0,3348,0,0.0013782956659913969,21000,7382,0.031532901943206119,34328,40542,126,6,16
retag,0.38,1,128,128,31,118,1.7052793026343613,1473696,0.025069775628945835,0.0055494199196296371,2193.8768345615508,5451.0201855510077,2193.8768345615508,454.27026356460595,1,412.46618824535221,0.0063854748398888142,67078,0.025069775628945835,0.018535095083397068,34881,32197,0.025069775628945835,0.018535095083397068,17,16,61,Surface,103.17644417743743,0,0,45.998914999887347,7000,2193.8768329098998,0.025069775647819512,-33.361701965334838,1,5165,0,3348,0,0.0015518475640391547,21000,7382,0.030064950742213759,34881,41484,17,16,60
retag,0.26000000000000001,1,128,128,31,118,1.7052793026343613,1473696,0.027386642075667812,0.0052150316913852088,2008.2783368635692,5800.5400139697031,2008.2783368635692,415.83972036444186,1,360.3037702411583,0.0078103191244510116,58595,0.027386642075667812,0.020503639637669602,34969,23626,0.027386642075667812,0.020503639637669602,17,17,60,Surface,101.47128329286414,0,0,47.45107104210183,7322,2008.2783386128367,0.027386642051813268,-33.361701965334838,1,5165,0,3348,0,0.0020280783303923688,21000,7382,0.032778513841697027,34969,41972,17,17,60
replicate,0.68000000000000005,2,256,256,62,236,0.85263965131718067,11511801,0.035713383001647912,0.0092905282426294193,1540.0389259528326,3256.0043099808286,1540.0389259528326,318.88476042555999,1,543.73002617244515,0.005438604232526522,707400,0.035713383001647912,0.020249775489681685,31707,56718,0.035713383001647912,0.022939513549879494,253,13,32,Surface,26.040430166947104,0,0,470.75947183417156,11101,2169.6171706042742,0.025350094360048595,-33.361701965335698,1,41320,0,26784,0,0.0014176743963377873,123255,27408,0.045205306477978192,137245,149408,253,13,32
replicate,0.52000000000000002,2,256,256,62,236,0.85263965131718067,11511801,0.033821760302643313,0.0087413170708198831,1626.1720119783806,3460.576907910141,1626.1720119783806,336.71971773677035,1,473.31721837260721,0.0057081667345489657,615792,0.033821760302643313,0.019855336091955583,34328,42646,0.033821760302643313,0.022618561987100789,253,13,32,Surface,26.040430166947104,0,0,526.63488162495196,11763,2259.9528152616044,0.02433679129430558,-33.361701965335698,1,41320,0,26784,0,0.0013938982248768942,123255,27408,0.042580553781302405,148935,162168,253,13,32
