rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1786150423235,0.0001166524199,0.547878,0,184,1,0,1,184,0,0,1.000000,1102.076,0.000,0.238,0.014,1099.111,1097.913,1.198,2.544,0.100,0.028,0.041,1.847,76.424,1019.400,0.000,0.000,0.000,0.000,1,736,0,0,0,0,41.38,61.25,0.00,5185.97,67,0
0,2,1786150424176,5.523305127e-05,0.566316,0,157,1,0,1,157,0,0,1.000000,941.155,0.002,0.238,0.014,938.176,936.664,1.511,2.544,0.103,0.032,0.049,1.076,55.332,880.082,0.000,0.000,0.000,0.000,1,628,0,0,0,0,45.50,65.38,0.00,5138.02,67,0
0,3,1786150425034,3.167910338e-05,0.590479,0,122,1,0,1,122,0,0,1.000000,857.807,0.003,0.286,0.015,854.144,852.972,1.171,3.156,0.105,0.056,0.045,1.150,63.895,787.742,0.000,0.000,0.000,0.000,1,488,0,0,0,0,49.48,69.36,0.00,5157.61,67,0
0,4,1786150425914,3.049191929e-05,0.594986,0,124,1,0,1,124,0,0,1.000000,879.495,0.003,0.308,0.021,876.245,875.047,1.196,2.712,0.103,0.055,0.051,1.841,62.879,810.023,0.000,0.000,0.000,0.000,1,496,0,0,0,0,58.84,78.72,0.00,5148.73,67,0
0,5,1786150426858,3.071920508e-05,0.595717,0,128,1,0,1,128,0,0,1.000000,944.386,0.003,0.313,0.014,939.437,937.902,1.533,4.352,0.105,0.052,0.112,1.009,56.015,880.627,0.000,0.000,0.000,0.000,1,512,0,0,0,0,60.70,80.58,0.00,5041.25,67,0
0,6,1786150427763,2.980725242e-05,0.594249,0,133,1,0,1,133,0,0,1.000000,905.160,0.007,0.231,0.015,902.357,901.193,1.163,2.372,0.099,0.050,0.038,1.792,57.278,841.858,0.000,0.000,0.000,0.000,1,532,0,0,0,0,61.05,80.92,0.00,5260.69,67,0
0,7,1786150428626,2.913853547e-05,0.595390,0,137,1,0,1,137,0,0,1.000000,862.491,0.005,0.254,0.014,858.770,857.087,1.680,3.118,0.100,0.187,0.047,1.379,56.034,799.475,0.000,0.000,0.000,0.000,1,548,0,0,0,0,61.05,80.92,0.00,5237.42,67,0
0,8,1786150429476,2.896787205e-05,0.597487,0,137,1,0,1,137,0,0,1.000000,849.988,0.003,0.257,0.014,846.981,845.157,1.821,2.537,0.100,0.057,0.043,1.255,57.204,786.487,0.000,0.000,0.000,0.000,1,548,0,0,0,0,61.05,80.92,0.00,5198.53,67,0
0,9,1786150430307,2.876240698e-05,0.597890,0,138,1,0,1,138,0,0,1.000000,831.444,0.003,0.269,0.014,827.470,826.304,1.165,3.505,0.102,0.045,0.039,1.174,57.047,767.880,0.000,0.000,0.000,0.000,1,552,0,0,0,0,63.08,82.95,0.00,5168.20,67,0
0,10,1786150431215,2.863925748e-05,0.598585,0,144,1,0,1,144,0,0,1.000000,907.499,0.003,0.261,0.015,904.486,903.334,1.151,2.543,0.103,0.047,0.043,1.100,57.750,844.308,0.000,0.000,0.000,0.000,1,576,0,0,0,0,63.08,82.95,0.00,5181.97,67,0
