rung,operator,iterations,wall_s,cut_max_mm,cut_rms_mm,cut_moved,cad_moved_bitwise,dihedral_before,dihedral_after,vol_before_mm3,vol_after_mm3,vol_drift_pct,cad_dev_rms_before,cad_dev_rms_after,cad_removed_pct,c1_clamped,c2_projected,pinned,min_section_mm2
0.68,Taubin_pairs_20,20,0.0363754,0.509289,0.123437,24218,0,8.36204,8.30212,443799,443783,-0.00373343,0.326993,0.326993,0,0,0,0,104.687
0.68,Taubin_pairs_160,160,0.117038,0.75952,0.186604,25175,0,8.36204,8.0923,443799,443658,-0.0318797,0.326993,0.326993,0,0,0,0,104.687
0.68,MCF_x5,5,0.0495233,0.604714,0.136794,25175,0,8.36204,10.9944,443799,443799,7.48012e-08,0.326993,0.326993,0,196,0,116719,104.687
0.68,MCF_x20,20,0.139952,0.682631,0.212392,25175,0,8.36204,11.0267,443799,443799,6.8838e-09,0.326993,0.326993,0,3443,0,116719,104.687
0.68,MCF_x40,40,0.261619,0.67741,0.228615,25175,0,8.36204,10.6944,443799,443799,1.53673e-08,0.326993,0.326993,0,4041,0,116719,104.687
0.52,Taubin_pairs_20,20,0.0394511,0.487745,0.131867,35103,0,8.54775,8.45446,403600,403578,-0.00528436,0.345949,0.345949,0,0,0,0,84.3313
0.52,Taubin_pairs_160,160,0.155155,0.753675,0.197162,36384,0,8.54775,8.11358,403600,403411,-0.0468365,0.345949,0.345949,0,0,0,0,84.3313
0.52,MCF_x5,5,0.0515451,0.647801,0.143485,36384,0,8.54775,12.6249,403600,403600,2.67497e-09,0.345949,0.345949,0,351,0,107986,84.3313
0.52,MCF_x20,20,0.142786,0.682709,0.226064,36384,0,8.54775,12.3084,403600,403600,3.11186e-08,0.345949,0.345949,0,5323,0,107986,84.3313
0.52,MCF_x40,40,0.264265,0.696536,0.244073,36384,0,8.54775,11.9207,403600,403600,7.97472e-08,0.345949,0.345949,0,6465,0,107986,84.3313
0.38,Taubin_pairs_20,20,0.0442254,0.535103,0.138963,59590,0,8.75405,8.60898,330293,330244,-0.0148715,0.358224,0.358224,0,0,0,0,84.3313
0.38,Taubin_pairs_160,160,0.20469,0.804459,0.206346,61097,0,8.75405,8.06198,330293,329879,-0.12532,0.358224,0.358224,0,0,0,0,84.3313
0.38,MCF_x5,5,0.060861,0.638239,0.145891,61097,0,8.75405,15.1975,330293,330293,1.21196e-08,0.358224,0.358224,0,626,0,100223,84.3313
0.38,MCF_x20,20,0.256481,0.715964,0.235181,61097,0,8.75405,14.3951,330293,330293,7.00114e-08,0.358224,0.358224,0,9421,0,100223,84.3313
0.38,MCF_x40,40,0.406813,0.713219,0.256,61097,0,8.75405,13.553,330293,330293,2.06488e-08,0.358224,0.358224,0,12160,0,100223,84.3313
0.26,Taubin_pairs_20,20,0.0476588,0.521282,0.140545,65801,0,9.0006,8.81667,288601,288568,-0.011462,0.369795,0.369795,0,0,0,0,84.3313
0.26,Taubin_pairs_160,160,0.216364,0.805427,0.207832,67594,0,9.0006,8.18188,288601,288312,-0.100066,0.369795,0.369795,0,0,0,0,84.3313
0.26,MCF_x5,5,0.0575916,0.659767,0.145378,67594,0,9.0006,15.6514,288601,288601,9.6653e-09,0.369795,0.369795,0,702,0,93952,84.3313
0.26,MCF_x20,20,0.158033,0.703884,0.237464,67594,0,9.0006,15.2028,288601,288601,7.68041e-08,0.369795,0.369795,0,10060,0,93952,84.3313
0.26,MCF_x40,40,0.29744,0.721244,0.261209,67594,0,9.0006,14.3623,288601,288601,2.4961e-08,0.369795,0.369795,0,12853,0,93952,84.3313
