case,clip,shell_measured_against,smooth_factor,max_out_mm,mean_out_mm,n_out,n_total,struts,clipped,dropped,interior_volume_mm3,lattice_mass_g,latticed_voxels,gen_seconds
block,cube-union,v3.mesh,1,0.178444,0.178444,2880,496092,4752,1452,8280,6296.591546,7.807774,13824,2.735848
block,cube-union,tricubic,1,0.178444,0.178444,2880,496092,4752,1452,8280,6296.591546,7.807774,13824,2.654641
block,cube-union,tricubic,2,0.069365,0.027520,2880,496092,4752,1452,8280,6296.591546,7.807774,13824,15.402385
block,cube-union,tricubic,3,0.076752,0.058750,1800,496092,4752,1452,8280,6296.591546,7.807774,13824,46.533599
block,shell,v3.mesh,1,0.000000,0.000000,0,496092,4752,1452,8112,6288.473587,7.797707,13824,2.977454
block,cube-union-eroded,v3.mesh,1,0.000000,0.000000,0,496092,4752,1452,8280,5696.742439,7.063961,13824,2.677227
notched_block,cube-union,v3.mesh,1,0.178444,0.178444,3024,427404,4104,1443,8280,5413.346351,6.712549,12096,1.437033
notched_block,cube-union,tricubic,1,0.178444,0.178444,3024,427404,4104,1443,8280,5413.346351,6.712549,12096,1.287924
notched_block,cube-union,tricubic,2,0.069365,0.027520,3024,427404,4104,1443,8280,5413.346351,6.712549,12096,6.786520
notched_block,cube-union,tricubic,3,0.076752,0.058242,1910,427404,4104,1443,8280,5413.346351,6.712549,12096,19.760260
notched_block,shell,v3.mesh,1,0.000000,0.000000,0,430992,4137,1425,8031,5415.959066,6.715789,12096,1.911867
notched_block,cube-union-eroded,v3.mesh,1,0.000000,0.000000,0,427404,4104,1443,8280,4814.534803,5.970023,12096,1.494804
