iteration,compliance,achieved_vf,change,cg_iterations,used_multigrid,iteration_wall_s
1,0.00420110180013,0.633477898608,0.1998,881,0,98.8357653338
2,0.00336326792749,0.642622351062,0.1998,1095,0,16.7843322083
3,0.00271717069029,0.652093327079,0.1998,939,0,15.6646022499
4,0.00252271983835,0.663892655111,0.1998,999,0,8.45433645789
5,0.00245403232944,0.675470594921,0.1998,850,0,7.31782054203
6,0.00242787181164,0.678148431279,0.1998,745,0,6.61811495805
7,0.00241867528502,0.678763402953,0.1998,866,0,7.56589700002
8,0.00241404352136,0.679086373862,0.1998,807,0,6.84037245903
9,0.00241099492162,0.679209029596,0.1998,733,0,6.34241683315
10,0.0024086795383,0.679343321537,0.1998,667,0,5.86586579168
11,0.00240680237042,0.679565261975,0.1998,741,0,6.39326600032
12,0.00240548788724,0.679699126024,0.1998,656,0,5.84038225003
13,0.00240462708449,0.679767748366,0.1998,783,0,6.65755166579
14,0.00240398509662,0.679815979608,0.1998,794,0,6.8617068748
15,0.0024034628618,0.679835592733,0.1998,799,0,7.12853566743
16,0.00240300461956,0.679872842902,0.1998,1442,0,11.9080853746
17,0.00240261679563,0.679892766761,0.1998,950,0,8.47605283326
18,0.0024023016692,0.679913615632,0.1998,712,0,6.41908783372
19,0.00240204691231,0.679919117738,0.1998,822,0,7.40744066611
20,0.00240182170296,0.679924738662,0.1998,687,0,6.37969441712
21,0.00240159116513,0.679929218774,0.1998,833,0,7.26413262496
22,0.00240135103711,0.679931947445,0.1998,854,0,7.31367562478
23,0.0024011229713,0.67993704157,0.1998,836,0,7.35346087534
24,0.00240092091094,0.679939297699,0.1998,741,0,6.73565991689
25,0.00240073668032,0.679940771619,0.1998,730,0,6.33349295799
26,0.00240055613724,0.679943185037,0.1998,931,0,7.94974175002
27,0.00240038370852,0.679951497027,0.1998,906,0,7.86604550015
