iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,iteration_wall_s
1,0.00287148916822,75414.72,75790,0.683383827454,3.5686439216,24676609387,6.91050895968e-12,1.49250423606e-11,1579,1,0,110583.541791,13.2772917747,28010,112,8.1872627817e-13,0.17123086874,0.999178122842,6,111.139208625
2,0.00284040288724,75414.72,75931,0.684655197288,-0.0345659496862,30167097374.6,5.65277885856e-12,1.46989797818e-11,3077,1,0,31555.5622082,12.6652498245,26848,112,8.60417045033e-13,0.169869255409,0.998935072841,6,32.1202327921
3,0.00280546641342,75414.72,75988,0.685169155305,-0.0226162363363,35060081152.2,4.86387722616e-12,1.43896380356e-11,2885,1,0,29327.7261248,12.0323753357,26606,112,8.78305089322e-13,0.168278279342,0.998560200045,6,29.8826791248
4,0.00277123430625,75414.72,76060,0.685818365433,-0.0226562194669,42914583247.7,3.97365924024e-12,1.3986392665e-11,2767,1,0,21574.8893752,37.2060408592,26505,112,8.85897062327e-13,0.167453517836,0.998588745513,6,22.1687419163
5,0.00273806113812,75414.72,76117,0.686332323451,-0.0290507682846,49432874291.8,3.44968672582e-12,1.34677817707e-11,2737,1,0,21118.5756254,11.7430839539,26333,112,8.77352402447e-13,0.166511780637,0.998139695483,6,21.6867504581
6,0.00271003837669,75414.72,76075,0.685953617543,-0.0398203368177,59693146572.3,2.85674218994e-12,1.28888150468e-11,2735,1,0,20973.6072092,12.0415830612,26155,112,8.56239278694e-13,0.166271540142,0.998416258489,6,21.5343759172
7,0.00268592352238,75414.72,75901,0.684384693068,-0.0486230880398,71731598399,2.37730559571e-12,1.22909545212e-11,2728,1,0,22159.9550419,13.9283752441,26001,112,8.30643687439e-13,0.165965700214,0.998232467537,6,22.764552875
8,0.00266550767585,75414.72,75807,0.683537113179,-0.0588336218288,83086497771.3,2.05241446971e-12,1.17190806974e-11,2678,1,0,21388.8894582,11.6774168015,25874,112,8.05464107939e-13,0.166026663352,0.999788577386,6,21.9490675828
9,0.00264851167241,75414.72,75744,0.682969054317,-0.0669507551319,89224081576.4,1.91123211638e-12,1.12003072341e-11,2668,1,0,21472.3396673,12.3605418205,25783,111,9.90544740646e-13,0.166237476998,0.997505662794,6,22.0285204588
10,0.00263482115802,75414.72,75660,0.682211642502,-0.0685614297276,85547792905.7,1.99336446297e-12,1.07459229314e-11,2682,1,0,21507.419416,11.8912091255,25605,111,9.56346905074e-13,0.167063722965,0.996291929948,6,22.063540834
11,0.00262457922699,75414.72,75634,0.681977205511,-0.0623922051576,96873084980.7,1.76032311036e-12,1.03997590705e-11,2684,1,0,20655.055625,12.2792921066,25561,111,9.34058749952e-13,0.167535409113,0.996325744741,6,21.218518333
12,0.00261504755622,75414.72,75570,0.681400129842,-0.068036964684,97699897464.4,1.74542588774e-12,1.00490349822e-11,2675,1,0,20663.3574171,11.9798326492,25432,111,9.06970802457e-13,0.168531616756,0.997031920317,6,21.2226046249
13,0.00260746384284,75414.72,75534,0.681075524778,-0.0642755494354,108003336664,1.57891353666e-12,9.75321474301e-12,2673,1,0,22205.7562499,12.7542090416,25342,111,8.92494195087e-13,0.169294051992,0.997220523756,6,22.7621784997
14,0.00260059016887,75414.72,75477,0.68056156676,-0.0665000527224,116766739081,1.46041528268e-12,9.46902778698e-12,2672,1,0,21239.7574592,11.9129576683,25164,111,8.72073655498e-13,0.16986984842,0.997724410852,6,21.7989792502
15,0.00259447515783,75414.72,75403,0.679894323018,-0.0678618616052,117207574852,1.45492243551e-12,9.19556098149e-12,2671,1,0,21174.7960844,11.7885828018,25162,111,8.51709515977e-13,0.17007436824,0.997545260119,6,21.7304287502
16,0.00258942512969,75414.72,75402,0.679885306211,-0.0640397360359,129206231749,1.31981196228e-12,8.96244967243e-12,2668,1,0,21411.4242091,12.2300829887,25141,111,8.3557113482e-13,0.170416667784,0.999164999513,6,21.9654140421
17,0.0025846418353,75414.72,75388,0.679759070908,-0.0655872915393,137063746583,1.24415051036e-12,8.73669317079e-12,2668,1,0,20645.3552918,11.7795829773,25156,111,8.11847693627e-13,0.170739176749,0.995432856982,6,21.1962041254
18,0.00258032526297,75414.72,75389,0.679768087716,-0.066259507218,133767637457,1.27480707221e-12,8.5211973488e-12,2666,1,0,20546.5822496,12.2125000954,25185,110,9.93985130155e-13,0.17100509445,0.990847398081,6,21.115433333
19,0.00257668819214,75414.72,75366,0.679560701147,-0.0600579393546,144709529045,1.17841534963e-12,8.33858954163e-12,2666,1,0,20835.1906252,11.7873749733,25068,110,9.71066331353e-13,0.171326817394,0.989074449894,6,21.3846787917
20,0.00257327695519,75414.72,75370,0.679596768376,-0.0598549506649,160484896589,1.06257930739e-12,8.16663491046e-12,2664,1,0,20791.5493751,12.5709581375,24095,110,9.43957693449e-13,0.16848996902,0.986330505297,6,21.347378708
21,0.00256980797205,75414.72,75359,0.679497583496,-0.0615838481107,149578239331,1.14005841375e-12,7.98849004933e-12,2662,1,0,20683.3509998,12.2267079353,24016,110,9.09657194202e-13,0.16723718494,0.986752704658,6,21.2381410841
22,0.00256709465615,75414.72,75354,0.679452499459,-0.0532988744954,157417510543,1.0832843797e-12,7.8446022647e-12,2661,1,0,20817.5874996,11.7199583054,24022,110,8.88003695617e-13,0.167290768291,0.985456761042,6,21.358560333
23,0.00256456447184,75414.72,75370,0.679596768376,-0.0525196497439,171832092583,9.92410251773e-13,7.70925246027e-12,2660,1,0,20051.560833,11.8808341026,24015,110,8.68020253066e-13,0.167046436565,0.989148508544,6,20.5936114173
24,0.00256205666678,75414.72,75383,0.679713986872,-0.0533801507192,174530729962,9.77065358637e-13,7.57445819081e-12,2659,1,0,19923.9460001,12.1842918396,23999,110,8.40881782657e-13,0.167197544839,0.985625041519,6,20.4708695831
25,0.00255981324954,75414.72,75361,0.67951561711,-0.0499298121747,170875861127,9.97963838416e-13,7.45145446977e-12,2656,1,0,19778.9339161,11.7349996567,23989,110,8.1369836613e-13,0.167285322727,0.987714801789,6,20.3173880843
26,0.00255791423166,75414.72,75354,0.679452499459,-0.0445193066329,187121885702,9.11320071533e-13,7.34256286852e-12,2655,1,0,19701.012958,11.6408748627,23945,110,7.95442469255e-13,0.16793375652,0.986681324156,6,20.243745958
27,0.00255615071807,75414.72,75331,0.67924511289,-0.0452700739791,207232081383,8.22883836931e-13,7.2322871544e-12,2654,1,0,19667.8848329,11.7346248627,23921,110,7.78878473054e-13,0.168087951193,0.99153550148,6,20.2194084162
28,0.00255441665237,75414.72,75322,0.679163961624,-0.0451245364437,247152182433,6.89971371422e-13,7.12022536685e-12,2654,1,0,19578.8623748,11.8464589119,24005,110,7.61758433055e-13,0.168345989178,0.996726445344,6,20.1382190413
29,0.00255267056883,75414.72,75307,0.679028709515,-0.0490891828958,289782562053,5.88468571246e-13,7.00338375417e-12,2625,1,0,20018.1282501,13.5555000305,24042,109,9.81923372415e-13,0.168807655057,0.997757094087,6,20.5729535408
30,0.00255105628899,75414.72,75279,0.678776238909,-0.0506133436704,378898978423,4.50061731423e-13,6.89306280328e-12,2626,1,0,20124.6854162,12.2937917709,24078,109,9.55469163823e-13,0.169552569731,0.99760094868,6,20.669941125
31,0.00254928262649,75414.72,75261,0.678613936377,-0.0581631399254,413905468231,4.11997287671e-13,6.77360138849e-12,2631,1,0,20102.1038752,11.7895417213,24109,109,9.22101640829e-13,0.170046086289,0.995154473932,6,20.6418922083
32,0.00254771950916,75414.72,75253,0.678541801919,-0.0558414408296,452690263956,3.76698912791e-13,6.66986302936e-12,2637,1,0,20416.7902083,11.7928748131,24158,109,8.94443305486e-13,0.170101415224,0.989022493154,6,20.966314042
33,0.00254631957289,75414.72,75232,0.678352448965,-0.0517376350282,493903173718,3.45265913113e-13,6.57836902581e-12,2640,1,0,20314.4938331,12.0558338165,24182,109,8.68299713367e-13,0.170581650244,0.986629545447,6,20.8595398334
34,0.00254504120658,75414.72,75232,0.678352448965,-0.050436421095,539965059892,3.15812897778e-13,6.49599673064e-12,2645,1,0,20171.51825,11.7138333321,24256,109,8.46520449936e-13,0.170862156274,0.988778302197,6,20.7095482913
35,0.00254386043748,75414.72,75239,0.678415566616,-0.0474125166253,589537728532,2.89257026328e-13,6.42106119593e-12,2648,1,0,20297.8483753,11.8979587555,24302,109,8.2420460147e-13,0.170730973748,0.991932375576,6,20.8354439158
36,0.00254278609518,75414.72,75218,0.678226213662,-0.0449939159021,643238980143,2.65108203215e-13,6.35524698124e-12,2651,1,0,19952.3889999,11.6516671181,24330,109,8.0556527995e-13,0.17081274006,0.99478664577,6,20.4888757919
37,0.00254174295197,75414.72,75210,0.678154079204,-0.0427361877494,701176022177,2.43202740638e-13,6.29238664612e-12,2653,1,0,19579.0810828,11.853000164,24383,109,7.87353793666e-13,0.170818833384,0.993921845836,6,20.1126097916
38,0.00254077719383,75414.72,75196,0.678027843901,-0.039808736792,762268491182,2.23711109978e-13,6.23621532964e-12,2655,1,0,19762.9038329,12.4188332558,24406,108,9.88947541987e-13,0.171326387332,0.991760761356,6,20.29818025
39,0.00253982222916,75414.72,75200,0.67806391113,-0.0383483832581,828652924637,2.05789330121e-13,6.18229473462e-12,2657,1,0,19934.6937919,12.8839578629,24433,108,9.69029656346e-13,0.171748187324,0.997008204278,6,20.4719607923
40,0.00253896909236,75414.72,75217,0.678217196855,-0.0357774352503,811648398009,2.10100741505e-13,6.13526817941e-12,2657,1,0,19695.6669168,11.6276669502,24502,108,9.49355855221e-13,0.172174308038,0.993823173941,6,20.2273490829
41,0.00253816429674,75414.72,75235,0.678379499387,-0.0302977028936,765372629437,2.22803800012e-13,6.09245464655e-12,2657,1,0,19746.4771252,11.974957943,24585,108,9.3215937085e-13,0.172622601231,0.987212026281,6,20.3456949582
42,0.00253749947861,75414.72,75216,0.678208180048,-0.0249291891717,857813630934,1.98793682117e-13,6.06014275423e-12,2657,1,0,19730.3785419,11.7077498436,24644,108,9.22335514144e-13,0.173432021587,0.984679120085,6,20.2636048328
