arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
LS-final,0.68,0.680000,0.674962,76,1687.636411,0.002677,0.000000,0.000000,0.000000,-1,174302,348748,101456,69159,3687,28557,2.428507,13.719543,10.311666,0.465735,5.338288,10.706263,13.015644,7.703836,371130.965691,3.410559,5194,external,1.705279,62503,48111,26677,37293,0.152503,0.260061,0.609578
A8-final,0.68,0.680000,0.677379,68,1602.580601,0.002661,0.000000,0.000000,0.000000,-1,168698,337464,101197,63809,3692,28249,2.293689,13.546012,9.591903,0.465723,5.109294,9.724665,10.983324,7.696431,371671.249807,3.410559,4958,external,1.705279,61060,48034,25961,35799,0.145243,0.247680,0.635744
S6-final,0.68,0.680000,0.677712,43,1035.227359,0.002651,0.000000,0.000000,0.000000,-1,166080,332188,101304,61082,3694,28099,2.271127,13.613699,9.519152,0.466251,5.055160,9.161442,9.657166,7.667255,371846.081307,3.410559,4903,external,1.705279,60432,47989,25858,35126,0.149000,0.254086,0.647071
LS-it0001,0.68,0.680000,0.683384,1,0.000000,0.002871,0.000000,0.000000,0.000000,-1,157430,314864,96901,57039,3490,25389,2.383032,11.541788,7.287738,0.409293,4.069561,9.167481,9.723880,7.496715,374298.486759,3.410559,5287,external,1.705279,57197,45967,28019,32563,0.144704,0.246760,0.694438
LS-it0010,0.68,0.680000,0.682212,10,0.000000,0.002635,0.000000,0.000000,0.000000,-1,159198,318408,100798,54669,3731,26610,2.348471,12.009331,7.866230,0.498222,4.537135,8.910621,8.788229,7.653543,373435.355746,3.410559,5354,external,1.705279,57501,46864,25605,32957,0.137577,0.234606,0.687684
LS-it0020,0.68,0.680000,0.679597,20,0.000000,0.002573,0.000000,0.000000,0.000000,-1,160088,320192,101503,54896,3689,26986,2.340751,12.297454,8.358802,0.470686,4.908892,8.710576,8.420910,7.593054,372425.914774,3.410559,5006,external,1.705279,58106,47419,24095,33319,0.146319,0.249515,0.669468
