iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,iteration_wall_s
1,0.00287148916822,75414.72,75790,0.683383827454,3.5686439216,166988758117,1.0211940743e-12,1.49250423606e-11,1579,1,0,109218.447375,22.4941658974,28010,318,9.43630864655e-13,0.171147417048,0.998724792806,6,110.398821333
2,0.00283733169301,75414.72,75951,0.684835533434,-0.0403050574424,189792944902,8.98494569182e-13,1.46657976301e-11,3077,1,0,32119.9351249,13.1425409317,26776,318,9.92625931111e-13,0.169150474332,0.999373696563,6,33.0871627918
3,0.00280216686476,75414.72,75987,0.685160138498,-0.0258634523453,214400423619,7.95371237541e-13,1.43353397853e-11,2890,1,0,30533.0112081,11.6221251488,26634,319,8.9180861691e-13,0.167888901166,0.999226751009,6,31.6110222498
4,0.00276914625237,75414.72,76009,0.685358508259,-0.0246726468889,261025436732,6.53300047683e-13,1.39219389348e-11,2769,1,0,22136.7682924,12.2459168434,26462,319,8.9062666132e-13,0.16681358174,0.999249481907,6,23.1117849168
5,0.00273822716691,75414.72,76110,0.6862692058,-0.0327073822312,315667032415,5.40214570267e-13,1.34227025698e-11,2754,1,0,21918.7425423,12.592124939,26270,319,8.72245514543e-13,0.166079999634,0.99904498653,6,22.9027107912
6,0.00271073581744,75414.72,76096,0.686142970497,-0.044186856014,381547417384,4.46937713359e-13,1.28520697372e-11,2752,1,0,22079.379375,11.7975001335,26112,318,9.719155046e-13,0.165425203112,0.998933252216,6,23.1833013752
7,0.00268745392497,75414.72,75939,0.684727331746,-0.0531364684502,457541631310,3.72704730223e-13,1.22641112981e-11,2746,1,0,21621.8051248,12.1532082558,25906,318,9.34061123809e-13,0.16446486409,0.999211213064,6,22.5890393332
8,0.00266808680469,75414.72,75857,0.683987953545,-0.0630270978955,538484910001,3.1668098232e-13,1.17091034492e-11,2734,1,0,21724.5514584,12.7912917137,25784,318,8.87216711612e-13,0.164349933874,0.9993489873,6,22.7240882083
9,0.00265194673089,75414.72,75766,0.683167424078,-0.0702667213119,616695195067,2.76518986409e-13,1.12022774693e-11,2683,1,0,21449.902833,11.8682918549,25705,317,9.56455060316e-13,0.164926384554,0.999361525613,6,22.4234618749
10,0.00263827705896,75414.72,75669,0.682292793768,-0.0749436359244,690476148572,2.46971500198e-13,1.07462047973e-11,2613,1,0,20368.0220003,12.0231666565,25517,317,9.05534248231e-13,0.16550385696,0.999061998298,6,21.3338192501
11,0.00262660036989,75414.72,75641,0.682040323162,-0.0781440080287,760885347081,2.24117774008e-13,1.03275409699e-11,2656,1,0,20969.5558753,13.0735840797,25375,316,9.68743793969e-13,0.165883271689,0.998062202844,6,21.940602459
12,0.00261665441242,75414.72,75587,0.681553415567,-0.0786622180325,737996598708,2.31068721132e-13,9.96364571448e-12,2668,1,0,21041.353416,11.7884173393,25259,316,9.30921263612e-13,0.16663448029,0.998476697762,6,22.0016397079
13,0.00260892187242,75414.72,75516,0.680913222246,-0.0692422581572,792379858817,2.15209824387e-13,9.66986172001e-12,2666,1,0,20705.7228751,11.8131251335,25150,316,8.94713241765e-13,0.167340583965,0.998111342875,6,21.714092833
14,0.00260216631778,75414.72,75452,0.680336146577,-0.0691439633443,854894918554,1.99472387264e-13,9.39319195644e-12,2662,1,0,21188.9165411,12.8020000458,25059,315,9.87899547253e-13,0.167826930702,0.995204338937,6,22.1653873329
15,0.00259616506454,75414.72,75432,0.680155810431,-0.0692019211037,925185417803,1.84317572437e-13,9.13433865313e-12,2661,1,0,20791.0510831,11.6844167709,24977,315,9.53723102403e-13,0.168411012501,0.995072802582,6,21.7767727077
16,0.00259064936261,75414.72,75414,0.679993507899,-0.069556198811,1.00481667454e+12,1.69710490066e-13,8.88048987597e-12,2661,1,0,20730.1056666,11.7774581909,24987,315,9.1291839346e-13,0.169116794828,0.996987572173,6,21.6923352079
17,0.00258571387118,75414.72,75398,0.679849238981,-0.0689983513414,1.0907672822e+12,1.56337591938e-13,8.64822181275e-12,2660,1,0,20700.782208,11.8024997711,24940,314,9.90144475254e-13,0.16967686458,0.999556812801,6,21.662983791
18,0.0025812790223,75414.72,75372,0.679614801991,-0.0685828531936,1.15253423857e+12,1.47959101393e-13,8.4361819177e-12,2657,1,0,21166.4577498,12.2973752022,24834,314,9.34773377482e-13,0.169822993987,0.99529207536,6,22.1375614167
19,0.00257732060826,75414.72,75385,0.679732020486,-0.0667068813229,1.24561835588e+12,1.36902229691e-13,8.24028163787e-12,2657,1,0,20988.832417,11.7956671715,23863,313,9.53554792686e-13,0.166678015477,0.990992770887,6,21.9367982913
20,0.00257356836931,75414.72,75354,0.679452499459,-0.0654814860683,1.33697852936e+12,1.2754724666e-13,8.05087592893e-12,2657,1,0,21337.6500831,11.7323746681,23805,311,9.9948192812e-13,0.166279232773,0.990448654815,6,22.2885398329
21,0.00257011429621,75414.72,75336,0.679290196927,-0.0640719563625,1.48778529187e+12,1.1461864235e-13,7.8770447091e-12,2655,1,0,21138.2589169,12.5075831413,23833,310,9.17847450767e-13,0.166230834077,0.988179707913,6,22.1005599173
22,0.00256667222374,75414.72,75343,0.679353314578,-0.0651099748303,1.42300226826e+12,1.19836724134e-13,7.70015013713e-12,2649,1,0,21280.7946253,11.7941246033,23844,308,9.21847539724e-13,0.166080798993,0.987826214676,6,22.2296008752
23,0.00256400451366,75414.72,75332,0.679254129698,-0.0559983065257,1.50724412178e+12,1.13138892234e-13,7.55883884342e-12,2646,1,0,21049.8069582,11.7643327713,23809,307,9.61036651651e-13,0.16595188274,0.9883388629,6,21.9886766658
24,0.0025615427883,75414.72,75343,0.679353314578,-0.0537087494687,1.64660725517e+12,1.03563208366e-13,7.43132759436e-12,2640,1,0,20984.855916,12.6741671562,23750,307,9.51849308143e-13,0.16616510779,0.990584561477,6,21.9322266253
25,0.00255916581359,75414.72,75328,0.679218062468,-0.0537042315517,1.63030836683e+12,1.04598573946e-13,7.30748241401e-12,2639,1,0,21229.696167,11.7543330193,23801,307,9.59711681775e-13,0.166162018262,0.993648407184,6,22.1703993753
26,0.00255713027194,75414.72,75325,0.679191012046,-0.0473982796489,1.67352951417e+12,1.01897175293e-13,7.19622696519e-12,2636,1,0,20983.2415838,12.1664581299,23840,307,9.53529798515e-13,0.166768393949,0.996412616914,6,21.9185552089
27,0.00255534955906,75414.72,75319,0.679136911202,-0.0437220670893,1.83881789183e+12,9.27378023789e-14,7.09198218703e-12,2633,1,0,21130.6552081,11.8280000687,23868,307,9.43990236995e-13,0.167511365753,0.998978110525,6,22.0650057909
28,0.00255372549228,75414.72,75340,0.679326264156,-0.0428528782446,2.10395067263e+12,8.10512967258e-14,6.99268981919e-12,2632,1,0,20856.444458,11.7932500839,23908,307,9.32543932645e-13,0.168014201358,0.998651066034,6,21.828591459
29,0.00255215013663,75414.72,75334,0.679272163312,-0.0428431171994,2.55608830235e+12,6.6714412842e-14,6.89305715287e-12,2629,1,0,20962.2573752,12.1208748817,23885,307,9.03246979465e-13,0.1685573239,0.996667488515,6,21.9072657079
30,0.00255059084231,75414.72,75285,0.678830339753,-0.0446281976766,3.2771290464e+12,5.20357690677e-14,6.79222537134e-12,2630,1,0,20961.4145842,11.8552498817,23938,306,9.72871370288e-13,0.168898322274,0.995203332193,6,21.911016834
31,0.00254890777942,75414.72,75274,0.678731154873,-0.0492820810301,3.74369755275e+12,4.55506695882e-14,6.68575379887e-12,2630,1,0,21013.0134587,11.7922911644,24002,306,9.19451068624e-13,0.169018793866,0.994320253331,6,21.9484268753
32,0.00254740254653,75414.72,75259,0.678595902763,-0.0486806198431,4.10061014061e+12,4.1585989503e-14,6.59492645477e-12,2631,1,0,20802.861208,12.1642918587,24034,305,9.85852958866e-13,0.169277109365,0.993889846641,6,21.7366285413
33,0.00254606977783,75414.72,75264,0.678640986799,-0.0459870475769,4.44768337179e+12,3.83408430881e-14,6.51322193401e-12,2671,1,0,21553.4233341,12.516415596,24116,305,9.27572406051e-13,0.169693912318,0.993920305818,6,22.504719167
34,0.00254490530874,75414.72,75271,0.678704104451,-0.0433481967233,4.8159652691e+12,3.5408878747e-14,6.44097668977e-12,2673,1,0,21798.8018341,16.6452908516,24175,304,9.69619914544e-13,0.169832282029,0.992136583822,6,22.8131818748
35,0.00254382991476,75414.72,75266,0.678659020414,-0.0405262231899,5.20193091633e+12,3.27816599271e-14,6.37719665817e-12,2672,1,0,22229.2857089,12.8873329163,24247,304,9.20478079229e-13,0.169950247003,0.992231091613,6,23.183628459
36,0.00254285778471,75414.72,75251,0.678523768304,-0.0380495798861,5.60633586323e+12,3.0417002196e-14,6.32048693906e-12,2673,1,0,22007.5128331,12.7380828857,24287,303,9.70409506951e-13,0.170194178848,0.994055703051,6,22.9473849162
37,0.00254190700543,75414.72,75223,0.678271297699,-0.0354390291232,6.02426802947e+12,2.83068298803e-14,6.26877413087e-12,2673,1,0,22110.705792,12.2693333626,24319,303,9.17996564634e-13,0.170191855423,0.99601375324,6,23.0421202923
38,0.00254099262853,75414.72,75210,0.678154079204,-0.0336493454532,6.46243164971e+12,2.63875797079e-14,6.21919933299e-12,2674,1,0,22001.4369173,11.701874733,24319,302,9.73636515774e-13,0.17053246652,0.988913077488,6,22.9511095001
39,0.00254017428855,75414.72,75200,0.67806391113,-0.0311479048159,6.90688927373e+12,2.46895416308e-14,6.17480977513e-12,2674,1,0,21974.8190832,12.931499958,24403,302,9.17007455077e-13,0.170684080426,0.989845303668,6,22.9753537909
40,0.00253936527827,75414.72,75186,0.677937675828,-0.0273546866907,7.33184519521e+12,2.32585284772e-14,6.13548652956e-12,2673,1,0,22341.5826669,12.0928750038,24478,301,9.92286446094e-13,0.171144860454,0.987474299969,6,23.2930673747
41,0.00253855317722,75414.72,75201,0.678072927938,-0.027860562163,7.56114679827e+12,2.25531833746e-14,6.09464577446e-12,2676,1,0,22304.4754581,11.9134998322,24574,301,9.23104710213e-13,0.171530548656,0.987088226574,6,23.2605172503
42,0.00253781448464,75414.72,75199,0.678054894323,-0.0219160950221,7.80578356842e+12,2.18463564572e-14,6.05703749231e-12,2673,1,0,21458.506125,11.7539582253,24627,301,9.0430968486e-13,0.173041475465,0.982687478566,6,22.4586761249
43,0.00253714180417,75414.72,75190,0.677973743057,-0.0263822393121,8.14635406748e+12,2.09330368961e-14,6.03227504744e-12,2679,1,0,21297.47925,11.7846660614,24767,302,9.30957188524e-13,0.17185075524,0.989189413825,6,22.233849125
44,0.00253677073786,75414.72,75218,0.678226213662,-0.0122626100021,3.60590759116e+12,4.72912646684e-14,5.99515815601e-12,2671,1,0,20873.3620844,11.7410407066,24786,301,9.8186618198e-13,0.173508173919,0.988220931252,6,21.8047496672
45,0.00253629312406,75414.72,75193,0.678000793479,-0.0153774349604,7.82099007157e+12,2.18038801613e-14,5.9853001697e-12,2679,1,0,21034.8990421,11.835958004,24863,300,9.87391990026e-13,0.172895355183,0.991946080524,6,21.9609815408
46,0.00253579588773,75414.72,75237,0.678397533002,-0.0113480294369,5.77046235935e+12,2.95518659761e-14,5.95475367794e-12,2674,1,0,20903.2140417,11.6490001678,24899,298,9.93966353415e-13,0.175653256255,0.987997493856,6,21.8225319171
47,0.0025355795429,75414.72,75149,0.677604053957,-0.0217156486985,5.14012779788e+12,3.31758152655e-14,5.96523995477e-12,2684,1,0,21334.0063343,11.9982500076,25026,304,8.84435615387e-13,0.173207316741,0.994576488756,6,22.2860260839
48,0.00253548028253,75414.72,75231,0.678343432158,0.00743124199675,3.20039409408e+12,5.32834161202e-14,5.92729984302e-12,2670,1,0,20824.0646667,12.2659578323,24984,287,9.50563937234e-13,0.175092498789,0.993090065686,6,21.7217157912
49,0.0025348246862,75414.72,75201,0.678072927938,-0.0126889634496,7.97345874673e+12,2.13869458262e-14,5.90749930234e-12,2674,1,0,20954.6453338,12.5542497635,25058,299,9.99845168261e-13,0.175671359425,0.988811654456,6,21.875171083
