iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,iteration_wall_s
1,0.00303793652287,75414.72,75709,0.682653466061,3.62719811944,12578015612.8,5.42304718052e-11,1.24030620983e-11,1684,1,0,85819.714458,12.615375042,86.085832709
2,0.00303113496318,75414.72,75715,0.682707566905,3.6138352849,12535894756.9,5.44126872699e-11,1.2622937147e-11,3532,1,0,32584.5739594,14.0973749161,32.851055875
3,0.00302142999424,75414.72,75800,0.683473995528,3.58802620702,8563702526.15,7.96514964142e-11,1.3159461623e-11,3168,1,0,37165.9529591,13.3945832253,37.4286868749
4,0.00301423368665,75414.72,75830,0.683744499748,3.56861504589,8649606828.26,7.88604308377e-11,1.34347663383e-11,2936,1,0,17051.3994579,12.3237919807,17.311178125
5,0.00300674533032,75414.72,75855,0.683969919931,3.54596725114,9418755280.98,7.24205800772e-11,1.35469052895e-11,2928,1,0,16796.9280419,12.0570406914,17.055613542
6,0.00299843725283,75414.72,75844,0.68387073505,3.51693722799,10134500131.8,6.73059067723e-11,1.36747623231e-11,2930,1,0,16665.7523746,12.0109581947,16.9250009162
7,0.00299010572157,75414.72,75989,0.685178172113,3.48479891899,11602881036.8,5.87881336446e-11,1.37095332793e-11,2965,1,0,17258.7922502,11.8952918053,17.5184383327
8,0.00298048908682,75414.72,75836,0.683798600592,3.44355088118,13097235896.8,5.20805860434e-11,1.37900168811e-11,2976,1,0,17318.9049578,12.1759171486,17.5805357504
9,0.00296975613008,75414.72,75718,0.682734617327,3.39289922074,13464704827.4,5.065924057e-11,1.38998994239e-11,3041,1,0,17440.8252077,12.2755002975,17.702883333
10,0.00295915956754,75414.72,75599,0.681661617255,3.33951734328,13746217946.1,4.96217740566e-11,1.38517389858e-11,3077,1,0,17469.0122499,11.9349594116,17.7320624171
11,0.00294908686697,75414.72,75508,0.680841087788,3.28531801245,14052350045,4.8540757871e-11,1.37703489757e-11,3111,1,0,18058.0324578,11.9024171829,18.3223854578
12,0.0029400929245,75414.72,75445,0.680273028926,3.23310523392,14316748383.5,4.76443185828e-11,1.36934109898e-11,3159,1,0,18008.7027497,12.0310001373,18.271303833
13,0.00293040739912,75414.72,75431,0.680146793623,3.17735392358,14543024564.2,4.69030164973e-11,1.35032563605e-11,3098,1,0,17725.4842081,11.882999897,17.988826917
14,0.00292047657493,75414.72,75442,0.680245978504,3.11986866288,14746440404.2,4.6256025343e-11,1.32444416251e-11,3179,1,0,18005.8285422,11.8354997635,18.2700982499
15,0.0029104452465,75414.72,75458,0.680390247421,3.06018055573,14958458242,4.56004027969e-11,1.29980168013e-11,3236,1,0,18431.859375,12.0132498741,18.695148041
16,0.00290090202986,75414.72,75474,0.680534516338,3.00250639549,15164679927.5,4.49802913292e-11,1.27759412895e-11,3263,1,0,18411.8652501,12.3467078209,18.6771824593
17,0.00289089079182,75414.72,75485,0.680633701219,2.94109012127,15370743223.6,4.43772764355e-11,1.2551242971e-11,3536,1,0,19937.6112924,12.048874855,20.2011478329
18,0.00288135757507,75414.72,75470,0.680498449109,2.88075166529,15553048248.2,4.38571082766e-11,1.23518425851e-11,3609,1,0,20357.4810419,11.7734999657,20.6219326253
19,0.00287184264466,75414.72,75470,0.680498449109,2.81916563752,15701632457.4,4.34420894072e-11,1.21757525609e-11,3328,1,0,18911.8679171,12.2148327827,19.1767440001
20,0.00286290126719,75414.72,75492,0.68069681887,2.75928522849,15800772117,4.31695182997e-11,1.20527350746e-11,3344,1,0,18870.0638328,12.0329999924,19.1328081251
