arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,440550.901897,3.410559,5619,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,403281.985389,3.410559,5452,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,330882.206697,3.410559,6142,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,288713.430385,3.410559,6923,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
GTO-SDF,0.68,0.680000,0.774451,0,0.000000,nan,0.000000,0.000000,0.000000,-1,137146,274292,107439,27498,2209,24159,1.252277,10.332507,4.840797,0.708044,3.308327,5.845373,4.015584,5.569992,423552.956207,3.410559,4547,design,1.705279,47894,8514,100834,27058,0.339530,0.578993,0.071993
GTO-SDF,0.52,0.520000,0.677321,0,0.000000,nan,0.000000,0.000000,0.000000,-1,137160,274328,97070,38138,1952,22033,1.691811,10.335063,5.651383,0.728166,3.625609,6.178675,4.494220,5.916212,388277.029645,3.410559,4684,design,1.705279,52854,6832,113634,30761,0.336017,0.573003,0.045155
GTO-SDF,0.38,0.380000,0.584142,0,0.000000,nan,0.000000,0.000000,0.000000,-1,154468,308968,88395,64258,1815,21578,3.198266,14.699320,11.040364,0.738554,5.674753,6.681235,5.810810,6.279762,317342.830380,3.410559,5910,design,1.705279,54732,5524,118496,32226,0.341453,0.582272,0.027493
GTO-SDF,0.26,0.260000,0.499819,0,0.000000,nan,0.000000,0.000000,0.000000,-1,154916,309876,81364,71907,1645,20692,3.885744,15.766333,12.807260,0.763759,6.275476,7.044418,5.857383,6.649666,269522.485865,3.410559,6615,design,1.705279,55102,4488,120681,32981,0.341840,0.582932,0.023498
CTRL-eta0.5,0.68,0.680000,0.773827,0,0.000000,nan,0.000000,0.000000,0.000000,-1,138382,276764,107502,28276,2604,24715,1.250519,10.332454,4.837861,0.726910,3.377770,5.430405,4.147598,4.823188,424685.444551,3.410559,2965,design,1.705279,47868,19285,42836,27198,0.379196,0.646635,0.080668
CTRL-eta1.0,0.68,0.680000,0.774585,0,0.000000,nan,0.000000,0.000000,0.000000,-1,137560,275120,107483,27793,2284,24708,1.252445,10.332502,4.834668,0.710414,3.312060,5.623750,4.061578,5.293783,424480.781954,3.410559,3203,design,1.705279,47921,14510,68638,27071,0.342133,0.583433,0.083854
