iteration,compliance,achieved_vf,change,cg_iterations,used_multigrid,iteration_wall_s
1,0.00420110180013,0.633477898608,0.1998,881,0,99.4231227911
2,0.00336326792749,0.642622351062,0.1998,1095,0,17.0475592497
3,0.00271717069029,0.652093327079,0.1998,939,0,16.1977415001
4,0.00252271983835,0.663892655111,0.1998,999,0,8.88926750002
5,0.00245403232944,0.675470594921,0.1998,850,0,7.77121637482
6,0.00242787181164,0.678148431279,0.1998,745,0,7.05084070936
7,0.00241867528502,0.678763402953,0.1998,866,0,8.02190570766
8,0.00241404352136,0.679086373862,0.1998,807,0,7.103954833
9,0.00241099492162,0.679209029596,0.1998,733,0,6.40839108406
10,0.0024086795383,0.679343321537,0.1998,667,0,6.47618891625
11,0.00240680237042,0.679565261975,0.1998,741,0,7.08163108397
12,0.00240548788724,0.679699126024,0.1998,656,0,6.18036620785
13,0.00240462708449,0.679767748366,0.1998,783,0,7.04181570793
14,0.00240398509662,0.679815979608,0.1998,794,0,7.09216104215
15,0.0024034628618,0.679835592733,0.1998,799,0,7.2034845422
16,0.00240300461956,0.679872842902,0.1998,1442,0,12.0942148329
17,0.00240261679563,0.679892766761,0.1998,950,0,8.09770370787
18,0.0024023016692,0.679913615632,0.1998,712,0,6.43618379207
19,0.00240204691231,0.679919117738,0.1998,822,0,7.39750833297
20,0.00240182170296,0.679924738662,0.1998,687,0,6.62516808417
21,0.00240159116513,0.679929218774,0.1998,833,0,7.35949208261
22,0.00240135103711,0.679931947445,0.1998,854,0,7.6958927922
23,0.0024011229713,0.67993704157,0.1998,836,0,7.34301470825
24,0.00240092091094,0.679939297699,0.1998,741,0,6.7477071248
25,0.00240073668032,0.679940771619,0.1998,730,0,6.75931441691
26,0.00240055613724,0.679943185037,0.1998,931,0,7.94320012489
27,0.00240038370852,0.679951497027,0.1998,906,0,7.69473541621
