iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,iteration_wall_s
1,0.00287148916822,75414.72,75790,0.683383827454,3.5686439216,24676609387,6.91050895968e-12,1.49250423606e-11,1579,1,0,109056.478333,13.8109998703,28010,112,8.1872627817e-13,0.17123086874,0.999178122842,6,0.1,109.610800834
2,0.00284040288724,75414.72,75931,0.684655197288,-0.0345659496862,30167097374.8,5.65277885853e-12,1.46989797818e-11,3078,1,0,31478.8214159,13.3374590874,26848,112,8.60417045031e-13,0.169869255409,0.998935072841,6,0.1,32.0249116672
3,0.00280546641342,75414.72,75988,0.685169155305,-0.0226162363364,35060081273.2,4.86387720937e-12,1.4389638065e-11,2858,1,0,28916.8435001,11.8398342133,26606,112,8.78305090479e-13,0.168278279342,0.99856020003,6,0.1,29.4562385827
4,0.00277123430615,75414.72,76060,0.685818365433,-0.022656219589,42914583179.8,3.97365924653e-12,1.3986392653e-11,2777,1,0,21349.2549171,13.9902911186,26505,112,8.85897062384e-13,0.167453517841,0.998588745601,6,0.1,21.9004737497
5,0.00273806113811,75414.72,76117,0.686332323451,-0.0290507682348,49432874306.4,3.4496867248e-12,1.34677817606e-11,2734,1,0,20935.0840421,11.8798751831,26333,112,8.77352401627e-13,0.166511780639,0.998139695356,6,0.1,21.4721561661
6,0.00271003837671,75414.72,76075,0.685953617543,-0.0398203368165,59693146565.7,2.85674219026e-12,1.28888150367e-11,2732,1,0,20878.9738326,11.8332090378,26155,112,8.56239277786e-13,0.166271540142,0.998416258361,6,0.1,21.4156983341
7,0.00268592352243,75414.72,75901,0.684384693068,-0.0486230880293,71731598370.5,2.37730559666e-12,1.22909545129e-11,2726,1,0,21134.6899161,11.9768338203,26001,112,8.30643686811e-13,0.165965700212,0.99823246729,6,0.1,21.680199042
8,0.00266550767592,75414.72,75807,0.683537113179,-0.0588336218104,83086497874.3,2.05241446717e-12,1.1719080717e-11,2652,1,0,20858.9356251,12.5984592438,25874,112,8.05464107933e-13,0.166026663328,0.999788577383,6,0.1,21.412379167
9,0.00264851167244,75414.72,75744,0.682969054317,-0.0669507551203,89224082100.3,1.91123210516e-12,1.12003072129e-11,2641,1,0,20262.8513331,12.0325422287,25783,111,9.90544742919e-13,0.166237477022,0.99750566281,6,0.1,20.8006313331
10,0.00263482115799,75414.72,75660,0.682211642502,-0.0685614299921,85547793101.1,1.99336445841e-12,1.07459229126e-11,2616,1,0,20048.4610839,11.8651247025,25605,111,9.56346906456e-13,0.16706372297,0.996291929958,6,0.1,20.5858582081
11,0.00262457922695,75414.72,75634,0.681977205511,-0.0623922051647,96873085165.1,1.76032310701e-12,1.03997590628e-11,2646,1,0,20283.4031248,11.8369579315,25561,111,9.34058749321e-13,0.167535409121,0.996325744998,6,0.1,20.826497125
12,0.00261504755617,75414.72,75570,0.681400129842,-0.0680369647311,97699897638.5,1.74542588462e-12,1.00490349746e-11,2662,1,0,20431.6646662,11.8616666794,25432,111,9.06970801342e-13,0.168531616778,0.9970319203,6,0.1,20.9710492077
13,0.00260746384279,75414.72,75534,0.681075524778,-0.0642755494599,108003336711,1.57891353597e-12,9.7532147352e-12,2663,1,0,21523.3227091,12.6109580994,25342,111,8.92494194157e-13,0.169294052023,0.997220524615,6,0.1,22.0683895
14,0.00260059016883,75414.72,75477,0.68056156676,-0.0665000526695,116766739350,1.46041527933e-12,9.46902777947e-12,2664,1,0,20978.3972082,11.8881249428,25164,111,8.72073654679e-13,0.169869848456,0.997724409852,6,0.1,21.51610925
15,0.00259447515778,75414.72,75403,0.679894323018,-0.0678618617102,117207574936,1.45492243446e-12,9.19556097413e-12,2664,1,0,20996.8952498,11.8931250572,25162,111,8.51709515147e-13,0.170074368278,0.997545260559,6,0.1,21.6066934578
16,0.00258942512964,75414.72,75402,0.679885306211,-0.0640397360447,129206231730,1.31981196247e-12,8.96244966555e-12,2662,1,0,21055.598084,11.8260831833,25141,111,8.35571134173e-13,0.170416667822,0.999164999285,6,0.1,21.6005049157
17,0.00258464183526,75414.72,75388,0.679759070908,-0.0655872914989,137063746907,1.24415050742e-12,8.73669316533e-12,2660,1,0,21478.7097497,13.0465831757,25156,111,8.11847693069e-13,0.170739176787,0.995432856712,6,0.1,22.0397680001
18,0.00258032526293,75414.72,75389,0.679768087716,-0.0662595073499,133767637516,1.27480707165e-12,8.52119734353e-12,2660,1,0,21474.566041,12.2024588585,25185,110,9.93985129513e-13,0.171005094488,0.990847397675,6,0.1,22.021959166
19,0.00257668819209,75414.72,75366,0.679560701147,-0.0600579393404,144709529037,1.17841534969e-12,8.33858953743e-12,2659,1,0,21165.8424172,12.0165829659,25068,110,9.71066330664e-13,0.171326817429,0.989074449601,6,0.1,21.7044229172
20,0.00257327695516,75414.72,75370,0.679596768376,-0.0598549506068,160484896636,1.06257930708e-12,8.16663490633e-12,2658,1,0,21006.4645,11.9965000153,24095,110,9.43957692862e-13,0.168489969049,0.986330505266,6,0.1,21.5572123751
21,0.00256980797202,75414.72,75359,0.679497583496,-0.0615838481136,149578239691,1.14005841101e-12,7.98849004562e-12,2657,1,0,20940.7322922,13.435874939,24016,110,9.09657193591e-13,0.167237184967,0.986752704225,6,0.1,21.5004413333
22,0.00256709465611,75414.72,75354,0.679452499459,-0.0532988746199,157417510786,1.08328437804e-12,7.8446022608e-12,2655,1,0,20906.7134166,11.8708333969,24022,110,8.88003694839e-13,0.167290768317,0.985456760656,6,0.1,21.439445083
23,0.0025645644718,75414.72,75370,0.679596768376,-0.0525196498017,171832092814,9.9241025044e-13,7.70925245649e-12,2653,1,0,21047.7649174,11.8623747826,24015,110,8.68020252329e-13,0.167046436598,0.989148508263,6,0.1,21.575176083
24,0.00256205666673,75414.72,75383,0.679713986872,-0.0533801507473,174530730416,9.77065356097e-13,7.57445820005e-12,2654,1,0,21306.1298752,13.193292141,23999,110,8.40881782565e-13,0.167197544869,0.985625040472,6,0.1,21.848722375
25,0.00255981324949,75414.72,75361,0.67951561711,-0.0499298121239,170875861170,9.9796383817e-13,7.45145447702e-12,2651,1,0,21905.5142498,12.9578332901,23989,110,8.13698365833e-13,0.167285322751,0.987714801867,6,0.1,22.4457682078
26,0.00255791423161,75414.72,75354,0.679452499459,-0.0445193064884,187121885728,9.11320071407e-13,7.34256287509e-12,2649,1,0,22015.9425831,12.4148750305,23945,110,7.95442468645e-13,0.167933756543,0.98668131902,6,0.1,22.5603121249
27,0.00255615071803,75414.72,75331,0.67924511289,-0.045270073818,207232081379,8.22883836947e-13,7.23228716027e-12,2649,1,0,21457.7197499,11.8082499504,23921,110,7.78878472492e-13,0.168087951217,0.991535495854,6,0.1,21.9941427498
28,0.00255441665232,75414.72,75322,0.679163961624,-0.0451245362935,247152182554,6.89971371084e-13,7.12022537228e-12,2646,1,0,21112.222333,11.6120419502,24005,110,7.61758431745e-13,0.168345989195,0.996726439516,6,0.1,21.6600192501
29,0.00255267056879,75414.72,75307,0.679028709515,-0.0490891828097,289782562775,5.88468569781e-13,7.00338376069e-12,2645,1,0,21885.8829169,12.8540410995,24042,109,9.81923361984e-13,0.168807655077,0.997757097344,6,0.1,22.4278551661
30,0.00255105628894,75414.72,75279,0.678776238909,-0.0506133438065,378898980006,4.50061729543e-13,6.89306280834e-12,2645,1,0,20232.5437503,11.7933330536,24078,109,9.55469154792e-13,0.169552569737,0.997600947513,6,0.1,20.7616510834
31,0.00254928262644,75414.72,75261,0.678613936377,-0.0581631401687,413905469930,4.1199728598e-13,6.77360139261e-12,2643,1,0,20624.7007504,12.4667906761,24109,109,9.22101633914e-13,0.170046086275,0.995154475052,6,0.1,21.1557835001
32,0.00254771950911,75414.72,75253,0.678541801919,-0.0558414409563,452690265462,3.76698911538e-13,6.6698630325e-12,2643,1,0,20368.0154171,11.7640829086,24158,109,8.94443300787e-13,0.170101415189,0.98902249434,6,0.1,20.8992197081
33,0.00254631957284,75414.72,75232,0.678352448965,-0.0517376350759,493903175173,3.45265912096e-13,6.57836902856e-12,2648,1,0,20346.8814588,11.671708107,24182,109,8.68299710765e-13,0.170581650197,0.98662954164,6,0.1,20.8777823327
34,0.00254504120653,75414.72,75232,0.678352448965,-0.0504364211238,539965061379,3.15812896908e-13,6.49599673419e-12,2652,1,0,20545.8192496,12.1623749733,24256,109,8.46520448297e-13,0.17086215622,0.98877830022,6,0.1,21.0751371249
35,0.00254386043743,75414.72,75239,0.678415566616,-0.0474125166002,589537730813,2.89257025209e-13,6.42106120048e-12,2663,1,0,20947.3618751,11.7672076225,24302,109,8.24204598244e-13,0.170730973706,0.991932374129,6,0.1,21.4794604168
36,0.00254278609514,75414.72,75218,0.678226213662,-0.0449939158903,643238983216,2.65108201948e-13,6.35524698555e-12,2671,1,0,20539.9727497,11.7220420837,24330,109,8.05565275212e-13,0.170812740021,0.994786644627,6,0.1,21.0721477917
37,0.00254174295192,75414.72,75210,0.678154079204,-0.0427361876747,701176025376,2.43202739529e-13,6.29238665043e-12,2676,1,0,20892.8100419,12.6908330917,24383,109,7.87353789247e-13,0.170818833338,0.993921848537,6,0.1,21.4297338328
38,0.00254077719378,75414.72,75196,0.678027843901,-0.0398087367395,762268494451,2.23711109018e-13,6.23621533362e-12,2677,1,0,20784.1045828,12.1573748589,24406,108,9.88947537613e-13,0.171326387291,0.991760761441,6,0.1,21.312296459
39,0.00253982222911,75414.72,75200,0.67806391113,-0.0383483832614,828652928259,2.05789329221e-13,6.18229473868e-12,2680,1,0,20470.0035839,11.7469158173,24433,108,9.69029653168e-13,0.171748187299,0.997008203227,6,0.1,21.0096728336
40,0.00253896909231,75414.72,75217,0.678217196855,-0.03577743539,811648337172,2.10100757254e-13,6.13526818399e-12,2683,1,0,20761.6856661,11.626584053,24502,108,9.49355851401e-13,0.172174307944,0.993823174549,6,0.1,21.2857233752
41,0.00253816429677,75414.72,75235,0.678379499387,-0.0302977002564,765372610126,2.22803805633e-13,6.09245465531e-12,2686,1,0,20927.0355411,12.9938750267,24585,108,9.32159369583e-13,0.172622601116,0.987212026299,6,0.1,21.4685927504
42,0.00253749947865,75414.72,75216,0.678208180048,-0.024929188705,857813573344,1.98793695463e-13,6.06014276347e-12,2686,1,0,20540.0630841,12.0146660805,24644,108,9.223355144e-13,0.173432021418,0.984679118926,6,0.1,21.0678284168
43,0.00253674441223,75414.72,75224,0.678280314506,-0.0249836989803,824118262503,2.06921673772e-13,6.02276446721e-12,2685,1,0,20972.2457089,11.7601661682,24736,108,9.08696172991e-13,0.174249034648,0.984266115226,6,0.1,21.5011335844
44,0.00253609565923,75414.72,75202,0.678081944745,-0.0223486700637,803962109747,2.12109411869e-13,5.99343350532e-12,2686,1,0,20593.1025839,11.724375248,24811,108,9.01142357808e-13,0.174799056266,0.981562845676,6,0.1,21.1192182079
45,0.00253548347039,75414.72,75180,0.677883574984,-0.0197217934825,882426356095,1.93248908632e-13,5.96477272075e-12,2685,1,0,20471.8067083,11.8583335876,24885,108,8.89366269483e-13,0.175714975484,0.989386370829,6,0.1,21.0024130833
46,0.00253479568985,75414.72,75180,0.677883574984,-0.0202253481003,943651216688,1.80710761824e-13,5.93451614174e-12,2686,1,0,20798.660583,12.9442090988,24944,108,8.80440501386e-13,0.176767345592,0.991413165405,6,0.1,21.3383073751
47,0.00253410091573,75414.72,75176,0.677847507754,-0.0210473812495,847529802127,2.01205821713e-13,5.90112292557e-12,2684,1,0,20765.879333,11.9127087593,25037,108,8.68877879499e-13,0.177537118536,0.987804415742,6,0.1,21.2944129999
48,0.00253352072322,75414.72,75171,0.677802423718,-0.0173256683754,810298385038,2.10450783825e-13,5.87895382272e-12,2685,1,0,20920.6723328,11.5941252708,25093,108,8.69388432081e-13,0.178307717137,0.986940707557,6,0.1,21.4473465411
49,0.00253299067879,75414.72,75137,0.677495852269,-0.0148369517164,841021450797,2.02762878523e-13,5.85528901245e-12,2684,1,0,20481.3404589,12.140458107,25187,108,8.58718024228e-13,0.179141399701,0.987921270523,6,0.1,21.0141049582
50,0.00253244488931,75414.72,75108,0.677234364856,-0.0159061652837,939795734278,1.81452122034e-13,5.83484341813e-12,2555,1,0,19510.3082919,11.8223333359,25306,108,8.59284725887e-13,0.180163213213,0.992378866033,6,0.1,20.0430570003
51,0.00253178044469,75414.72,75104,0.677198297627,-0.0171345237477,840418104110,2.02908444534e-13,5.80763212828e-12,2653,1,0,20422.3805828,12.9262499809,25396,108,8.42913770757e-13,0.180869047629,0.994055262179,6,0.1,20.965329709
52,0.00253126220059,75414.72,75097,0.677135179975,-0.0146637091837,795667221331,2.14320667852e-13,5.79055449609e-12,2653,1,0,20851.1395421,12.5025830269,25446,108,8.5191477095e-13,0.18170478531,0.99622894943,6,0.1,21.387775375
53,0.00253080225676,75414.72,75091,0.677081079132,-0.0129658611062,795336981764,2.14409658011e-13,5.7722521558e-12,2655,1,0,20262.7957501,12.4038329124,25524,108,8.38647913537e-13,0.182113424997,0.988837995734,6,0.1,20.8122699172
54,0.00253032116819,75414.72,75075,0.676936810214,-0.0138289304317,819140711855,2.08179043961e-13,5.75586998631e-12,2651,1,0,20397.6289577,11.819750309,25584,108,8.3519821322e-13,0.183017491691,0.984846352235,6,0.1,20.9294832922
55,0.00252984100943,75414.72,75094,0.677108129553,-0.0136622448901,906375198906,1.88142758616e-13,5.73681062532e-12,2654,1,0,20418.8227081,12.0783748627,25639,108,8.22770500043e-13,0.18371346558,0.982989666706,6,0.1,20.9700407502
56,0.00252931296729,75414.72,75118,0.677324532929,-0.0150606628476,939152914729,1.81576320095e-13,5.7196810677e-12,2653,1,0,20327.8015833,11.9139590263,25661,108,8.25343796964e-13,0.184782163627,0.993436622188,6,0.1,20.8622694579
57,0.00252875549497,75414.72,75079,0.676972877444,-0.0129573360733,958006492673,1.78002896189e-13,5.70056925888e-12,2654,1,0,20823.5464172,12.7034578323,25713,108,8.1105915916e-13,0.185566990827,0.98761837103,6,0.1,21.4032365
58,0.00252826276824,75414.72,75063,0.676828608526,-0.0153189179896,911897076953,1.87003483807e-13,5.68779662576e-12,2652,1,0,20544.8445411,12.0523338318,25765,108,8.1771661685e-13,0.186776654654,0.990846823777,6,0.1,21.0769502078
59,0.00252777971715,75414.72,75028,0.67651302027,-0.012988817939,959901008760,1.77651579389e-13,5.6726515022e-12,2654,1,0,20440.4988751,12.2218327522,25838,108,8.04006804237e-13,0.187561152313,0.987430105416,6,0.1,20.9745582081
60,0.00252729849976,75414.72,75033,0.676558104306,-0.0153317354776,982585000453,1.73550308813e-13,5.66039797862e-12,2650,1,0,20678.7924166,11.8258752823,25881,108,8.1953157281e-13,0.188994238878,0.980928781303,6,0.1,21.2190738749
61,0.00252687377791,75414.72,75023,0.676467936233,-0.0145911111914,996843727870,1.71067867004e-13,5.64667339574e-12,2654,1,0,20453.8713331,11.7387499809,25972,108,8.04768520452e-13,0.189540701983,0.979028991937,6,0.1,20.9859158751
62,0.00252643651845,75414.72,75003,0.676287600087,-0.0165070985252,1.12267594062e+12,1.51894170075e-13,5.63922285054e-12,2653,1,0,20543.1117501,12.0825419426,26002,108,8.23979835726e-13,0.19162583744,0.983884777446,6,0.1,21.0764992922
63,0.0025259616163,75414.72,74951,0.675818726105,-0.015511888606,1.02983416342e+12,1.65587758029e-13,5.61880879056e-12,2655,1,0,21004.4252911,12.0254998207,26122,108,8.22976130918e-13,0.191491505537,0.98114053394,6,0.1,21.539576625
64,0.00252571279091,75414.72,74980,0.676080213518,-0.0199644882819,681221487588,2.50326704854e-13,5.63054485441e-12,2651,1,0,20603.776917,11.9734997749,26170,108,8.90499439002e-13,0.192676607653,0.991755216957,6,0.1,21.1364685423
65,0.00252540040634,75414.72,74948,0.675791675683,-0.00805349133048,979435962518,1.74108299868e-13,5.60146033154e-12,2654,1,0,20569.1624999,11.9362921715,26257,108,8.06323154517e-13,0.192895101123,0.979417970006,6,0.1,21.117881292
66,0.00252509051465,75414.72,74962,0.675917910986,-0.0149091800345,789492308918,2.15996949352e-13,5.60557112841e-12,2651,1,0,20760.7701659,12.3932919502,26269,108,8.63295620326e-13,0.194339657911,0.983609915034,6,0.1,21.2980929581
67,0.00252478831052,75414.72,74970,0.675990045445,-0.00977836892565,986381039931,1.72882408887e-13,5.58137658545e-12,2654,1,0,20545.3188748,11.7700419426,26377,108,8.2087646602e-13,0.194412270302,0.985791093391,6,0.1,21.0945272921
68,0.00252456129582,75414.72,74945,0.675764625261,-0.0136867602275,609199618850,2.79921268804e-13,5.59165884761e-12,2650,1,0,20478.2640409,11.7653751373,26362,108,8.88861752267e-13,0.195562930837,0.988256632786,6,0.1,21.0124110421
69,0.00252420573003,75414.72,74939,0.675710524418,-0.00785440331054,1.06164412013e+12,1.60626265459e-13,5.56125246975e-12,2652,1,0,20460.1256661,12.1183748245,26422,108,7.8370547056e-13,0.196606855524,0.990688054667,6,0.1,21.000708417
70,0.00252382427177,75414.72,74954,0.675845776527,-0.0128067853218,765275366032,2.22832117474e-13,5.56113744641e-12,2650,1,0,20330.0846672,11.7674160004,26461,108,8.48011835327e-13,0.197924527231,0.992266575016,6,0.1,20.8653304162
71,0.00252354606094,75414.72,74964,0.675935944601,-0.0102259801873,992914690369,1.71744795316e-13,5.54005761739e-12,2650,1,0,20373.3603754,11.7973327637,26545,108,8.19282497739e-13,0.198150641521,0.993988991304,6,0.1,20.9081209591
72,0.00252333129152,75414.72,74926,0.675593305922,-0.0122475241482,634425494938,2.68791105692e-13,5.54643055449e-12,2648,1,0,21829.123208,12.7095417976,26542,108,8.77407442031e-13,0.198659788513,0.994629937605,6,0.1,22.3704090421
73,0.00252301646511,75414.72,74946,0.675773642069,-0.00834169949622,958322394633,1.77944219209e-13,5.52276517758e-12,2650,1,0,20346.2454157,11.7394170761,26613,108,7.94638202926e-13,0.199252998179,0.996316639472,6,0.1,20.8785392079
74,0.00252273920747,75414.72,74891,0.675277717666,-0.0100935805646,843978735327,2.02052401471e-13,5.51907175195e-12,2594,1,0,20163.4379997,12.0091252327,26623,108,8.28149568634e-13,0.20021531263,0.996187734855,6,0.1,20.770502334
75,0.00252248571083,75414.72,74923,0.6755662555,-0.0103522194093,993813112809,1.71589535362e-13,5.50616562396e-12,2592,1,0,20474.7529578,12.65625,26708,108,8.46731546967e-13,0.200299378303,0.996817387143,6,0.1,21.0170233329
76,0.00252243765315,75414.72,74856,0.674962129409,-0.0108377024369,539554292875,3.16053328674e-13,5.514109164e-12,2593,1,0,20398.0526671,11.869166851,26677,108,8.98840412977e-13,0.200562206454,0.996392880168,6,0.1,20.9347615
