iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,iteration_wall_s
1,0.00287148916822,75414.72,75790,0.683383827454,3.5686439216,234506898787,7.27176603953e-13,1.49250423606e-11,1579,1,0,108284.700542,13.1712913513,28010,357,9.61294947054e-13,0.167844920192,0.999242052567,24,0.1,109.34865525
2,0.00274815961711,75414.72,76052,0.685746230975,-0.125392910142,383442968863,4.44728275418e-13,1.35738558268e-11,2958,1,0,29506.5126252,11.9340000153,26400,355,9.63390311796e-13,0.16479555538,0.998288181721,24,0.1,30.5670560421
3,0.00266880870691,75414.72,75849,0.683915819087,-0.18318042998,686305375388,2.48472380341e-13,1.18313848441e-11,2862,1,0,29186.5434999,11.9617919922,25726,355,9.80212195708e-13,0.165491493584,0.99897576072,24,0.1,30.2486923328
4,0.00262130422899,75414.72,75578,0.681472264301,-0.275030088853,1.0996481267e+12,1.55074997286e-13,1.01669429265e-11,2786,1,0,21673.5862498,12.1628332138,25204,359,9.72502179512e-13,0.169347945081,0.994563460822,24,0.1,22.7530306252
5,0.00259127322863,75414.72,75430,0.680137776816,-0.280389743538,1.37917974504e+12,1.23644456697e-13,8.89772738725e-12,2693,1,0,20781.004416,11.8139996529,25036,356,9.23716206415e-13,0.171925820216,0.995706958699,24,0.1,21.8397322083
6,0.00257418865283,75414.72,75348,0.679398398615,-0.233114796871,1.78396205961e+12,9.55894377602e-14,8.10878246059e-12,2691,1,0,20929.500917,12.0474581718,23960,355,9.0400731632e-13,0.169733732771,0.984997014575,24,0.1,21.9744783328
7,0.00256190765747,75414.72,75336,0.679290196927,-0.220858807371,2.34592953441e+12,7.26909857104e-14,7.45700971283e-12,2691,1,0,20569.6568751,11.8252496719,23912,353,9.31850651838e-13,0.169925334618,0.984441075777,24,0.1,21.63985025
8,0.00255375671535,75414.72,75302,0.678983625478,-0.191071908969,3.3654508509e+12,5.06701591609e-14,6.96995338022e-12,2692,1,0,20540.303792,11.8366246223,24057,351,9.68321954235e-13,0.170832825413,0.986252981585,24,0.1,21.5895965416
9,0.00254838767728,75414.72,75184,0.677919642213,-0.157425568592,4.61486116155e+12,3.69519091244e-14,6.6002584991e-12,2695,1,0,20966.8144174,12.5321249962,24232,347,9.88644549805e-13,0.171141872302,0.983635304063,24,0.1,22.0045085
10,0.00254557826915,75414.72,75218,0.678226213662,-0.145456520393,2.01509459626e+12,8.46252729673e-14,6.52448407052e-12,2692,1,0,20636.7246671,12.1060829163,24211,352,9.33326975253e-13,0.172265978308,0.989300844728,24,0.1,21.708736625
