arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
MIN-final,0.68,0.680000,0.674962,76,1726.073224,0.002677,0.000000,0.000000,0.000000,-1,174302,348748,101456,69159,3687,28561,2.428133,13.719542,10.311664,0.465720,5.336895,10.706262,13.015641,7.703836,11.027696,9.021992,38881,117021,371130.966740,3.410559,5194,external,1.705279,62503,48111,26677,37293,0.152503,0.260060,0.609605
MAX-final,0.68,0.680000,0.677712,43,1038.232169,0.002651,0.000000,0.000000,0.000000,-1,166080,332188,101304,61082,3694,28099,2.271127,13.613699,9.519152,0.466251,5.055160,9.161442,9.657166,7.667255,9.937549,8.865860,37734,115744,371846.081307,3.410559,4903,external,1.705279,60432,47989,25858,35126,0.149000,0.254086,0.647071
MIN-it0001,0.68,0.680000,0.683384,1,0.000000,0.002871,0.000000,0.000000,0.000000,-1,157430,314864,96901,57039,3490,25389,2.383032,11.541788,7.287738,0.409293,4.069561,9.167481,9.723880,7.496715,9.726720,9.231755,36310,114175,374298.486759,3.410559,5287,external,1.705279,57197,45967,28019,32563,0.144704,0.246760,0.694438
MIN-it0005,0.68,0.680000,0.686332,5,0.000000,0.002738,0.000000,0.000000,0.000000,-1,158186,316380,97919,56597,3670,26055,2.338954,11.619909,7.425216,0.452881,4.012963,9.055270,9.170946,7.493399,9.720398,9.235517,35535,115573,373956.032813,3.410559,5742,external,1.705279,57307,46375,26333,32607,0.144370,0.246191,0.697795
MIN-it0010,0.68,0.680000,0.682212,10,0.000000,0.002635,0.000000,0.000000,0.000000,-1,159198,318408,100798,54669,3731,26611,2.348474,12.009331,7.866230,0.498222,4.536901,8.910621,8.788229,7.653543,9.740922,9.106579,35670,114890,373435.355743,3.410559,5354,external,1.705279,57501,46864,25605,32957,0.137577,0.234606,0.687684
MIN-it0015,0.68,0.680000,0.679894,15,0.000000,0.002594,0.000000,0.000000,0.000000,-1,159740,319496,101291,54735,3714,26854,2.371803,12.356705,8.225371,0.478945,4.814902,8.749551,8.476017,7.616023,9.799378,8.956833,36178,114647,372861.340345,3.410559,5203,external,1.705279,57826,47224,25162,33145,0.145148,0.247517,0.676301
MIN-it0020,0.68,0.680000,0.679597,20,0.000000,0.002573,0.000000,0.000000,0.000000,-1,160088,320192,101503,54896,3689,26985,2.340691,12.297454,8.358802,0.470686,4.909082,8.710576,8.420910,7.593054,9.875565,8.880409,36512,114766,372425.914772,3.410559,5006,external,1.705279,58106,47419,24095,33319,0.146319,0.249515,0.669468
MIN-it0025,0.68,0.680000,0.679516,25,0.000000,0.002560,0.000000,0.000000,0.000000,-1,160354,320720,101578,55120,3656,27136,2.300139,12.297446,8.472002,0.470239,4.944758,8.643456,8.240981,7.603435,9.897810,8.841423,36792,114748,372173.426314,3.410559,4922,external,1.705279,58273,47574,23989,33359,0.144420,0.246277,0.671243
MIN-it0030,0.68,0.680000,0.678776,30,0.000000,0.002551,0.000000,0.000000,0.000000,-1,160704,321420,101583,55469,3652,27308,2.258259,12.350470,8.682513,0.467269,4.938007,8.619478,8.224734,7.592295,9.937426,8.806622,37040,114822,372000.114049,3.410559,4800,external,1.705279,58607,47750,24078,33461,0.144940,0.247164,0.670631
MIN-it0035,0.68,0.680000,0.678416,35,0.000000,0.002544,0.000000,0.000000,0.000000,-1,161252,322512,101535,56067,3650,27565,2.199036,12.501042,8.680087,0.464951,4.880616,8.613577,8.172227,7.615869,9.936354,8.808943,37298,115062,371900.927593,3.410559,4742,external,1.705279,58976,47911,24302,33679,0.142755,0.243437,0.669260
