iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00287148916822,75414.72,75790,0.683383827454,3.5686439216,234506898787,7.27176603953e-13,1.49250423606e-11,1579,1,0,108988.177334,13.0262913704,28010,357,9.61294947054e-13,0.168271559886,0.999830766921,24,0.1,0,116.17424325
2,0.0027516234418,75414.72,76049,0.685719180553,-0.12836761826,431525083215,3.95175012754e-13,1.36762773071e-11,2976,1,0,30660.2880831,12.5562500954,26146,354,9.45391628177e-13,0.163630697419,0.999541787881,24,0.1,0,37.712859917
3,0.00266770663518,75414.72,75743,0.68296003751,-0.231280452647,887695204983,1.92101894103e-13,1.16734895283e-11,2877,1,0,30196.5189161,12.7674999237,25460,359,9.80757474112e-13,0.165615159491,0.998710769046,24,0.1,0,37.3324338333
4,0.00261441663105,75414.72,75405,0.679912356633,-0.346729303445,1.16778826352e+12,1.46026412142e-13,9.63652285939e-12,2714,1,0,21539.7262502,11.8256669044,24785,353,9.62259909533e-13,0.168224404563,0.997838947344,24,0.1,0,28.5667968341
5,0.00258883223875,75414.72,75320,0.67914592801,-0.238268413917,1.488785424e+12,1.14541644158e-13,8.67230304219e-12,2696,1,0,21147.9107914,12.9775419235,24611,355,9.10460147067e-13,0.170531457885,0.996566975055,24,0.1,0,28.1575260414
6,0.00257212236902,75414.72,75329,0.679227079276,-0.243391122804,1.79733733362e+12,9.4878088311e-14,7.8338123213e-12,2697,1,0,21139.7669168,11.8449578285,23641,354,9.09843585933e-13,0.166307466171,0.992497483465,24,0.1,0,27.9570688331
7,0.00256109969647,75414.72,75278,0.678767222102,-0.204625990136,2.1295934196e+12,8.00753461641e-14,7.36808163991e-12,2696,1,0,21473.1442919,12.267416954,23506,352,9.55979512292e-13,0.167383043176,0.990350666493,24,0.1,0,28.4187807078
8,0.00255371480949,75414.72,75344,0.679362331386,-0.167587737236,2.68815716254e+12,6.34367412144e-14,6.87115758122e-12,2704,1,0,21414.6838751,11.6937088966,23813,349,9.44793925742e-13,0.167324142392,0.986712685905,24,0.1,0,28.438467416
9,0.00255008560368,75414.72,75231,0.678343432158,-0.116782498724,1.75080238863e+12,9.73998729789e-14,6.82289669599e-12,2702,1,0,21079.1768751,12.3472909927,23673,352,9.4182196615e-13,0.167903973607,0.991313011471,24,0.1,0,27.941643375
10,0.00254890823888,75414.72,75289,0.678866406983,-0.0586141464696,2.88840912797e+12,5.9038703559e-14,6.51983416442e-12,2718,1,0,21301.127708,11.8467922211,24024,328,9.52167646734e-13,0.163515387326,0.996861172261,24,0.1,0,28.1676110839
11,0.00255060703748,75414.72,75370,0.679596768376,-0.0225984273424,897714353180,1.89957896584e-13,6.86360911911e-12,2693,1,0,21085.0309162,11.7317090034,23701,349,9.46949428146e-13,0.167531305252,0.999220956542,24,0.1,0,27.9280246659
12,0.00254538582202,75414.72,75356,0.679470533074,-0.0511044813478,4.71317047279e+12,3.61811505117e-14,6.34857750772e-12,2711,1,0,21709.9283748,13.1041250229,24068,341,9.59396354665e-13,0.163664688592,0.994864948424,24,0.1,0,28.560808416
13,0.00255250358719,75414.72,75366,0.679560701147,-0.0706745513122,419309736424,4.06687265881e-13,7.07419067327e-12,2692,1,0,20924.5969172,11.8394160271,23676,348,9.33560433354e-13,0.166350568378,0.994379809188,24,0.1,0,27.7333784997
14,0.00254292078202,75414.72,75351,0.679425449037,-0.0221546212914,5.63801822658e+12,3.02460764421e-14,6.29122273761e-12,2706,1,0,21030.1018753,12.1077919006,23986,349,9.47781465134e-13,0.169201882194,0.991932590313,24,0.1,0,27.8533855411
15,0.00254572975026,75414.72,75263,0.678631969992,-0.0731719766777,1.34330319472e+12,1.2694671682e-13,6.43835107514e-12,2820,1,0,22153.0359998,12.3054580688,24471,345,9.8529099289e-13,0.163518019887,0.994514682183,24,0.1,0,29.1070577917
16,0.00254301505847,75414.72,75329,0.679227079276,0.0486578448645,3.01283892238e+12,5.66004139806e-14,6.18238151847e-12,2701,1,0,21430.6392498,12.6532077789,24042,349,9.7705453914e-13,0.166671133353,0.990985264535,24,0.1,0,28.2149465829
