arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
MAX0-final,0.68,0.680000,0.678884,25,811.403640,0.002647,0.000000,0.000000,0.000000,-1,163804,327636,101393,58723,3688,27917,2.232066,13.409989,9.092676,0.460974,4.934759,8.945838,8.988580,7.712369,9.921319,8.921719,37592,115964,371789.405827,3.410559,4717,external,1.705279,59238,48024,24787,34423,0.140463,0.239529,0.661563
MAX0-it0001,0.68,0.680000,0.683384,1,0.000000,0.002871,0.000000,0.000000,0.000000,-1,157430,314864,96901,57039,3490,25389,2.383032,11.541788,7.287738,0.409293,4.069561,9.167481,9.723880,7.496715,9.726720,9.231755,36310,114175,374298.486759,3.410559,5287,external,1.705279,57197,45967,28019,32563,0.144704,0.246760,0.694438
MAX0-it0005,0.68,0.680000,0.679146,5,0.000000,0.002589,0.000000,0.000000,0.000000,-1,159728,319484,101627,54399,3702,26966,2.443682,12.288817,8.909633,0.467153,5.139183,8.812248,8.597959,7.662029,9.865101,8.992048,36478,114652,372304.427405,3.410559,5236,external,1.705279,57569,47530,24611,33191,0.144307,0.246084,0.675334
MAX0-it0010,0.68,0.680000,0.678866,10,0.000000,0.002549,0.000000,0.000000,0.000000,-1,161152,322332,101462,56031,3659,27486,2.240401,12.758837,8.734587,0.456167,4.929297,8.728196,8.479869,7.646119,10.064846,8.859498,37392,114602,371832.649239,3.410559,4906,external,1.705279,58532,47884,24024,33529,0.135023,0.230252,0.678845
MAX0-it0015,0.68,0.680000,0.678632,15,0.000000,0.002546,0.000000,0.000000,0.000000,-1,161836,323692,100871,57294,3671,27666,2.216806,13.125166,8.989144,0.455352,4.915770,8.865328,8.775327,7.693270,10.044753,8.929695,37647,114317,371789.063726,3.410559,4817,external,1.705279,58939,47899,24471,33896,0.136251,0.232346,0.673177
MAX0-it0020,0.68,0.680000,0.679633,20,0.000000,0.002549,0.000000,0.000000,0.000000,-1,163160,326352,102465,57003,3692,27896,2.178506,13.273500,9.077178,0.464957,4.923390,8.847762,8.807411,7.669536,9.854037,8.865937,37086,117307,371740.183790,3.410559,4846,external,1.705279,58924,48129,23876,34160,0.138501,0.236182,0.668296
MAX0-it0025,0.68,0.680000,0.678884,25,0.000000,0.002538,0.000000,0.000000,0.000000,-1,163804,327636,101393,58723,3688,27917,2.232066,13.409989,9.092676,0.460974,4.934759,8.945838,8.988580,7.712369,9.921319,8.921719,37592,115964,371789.405827,3.410559,4717,external,1.705279,59238,48024,24787,34423,0.140463,0.239529,0.661563
MAX2-final,0.68,0.680000,0.679380,25,811.783547,0.002706,0.000000,0.000000,0.000000,-1,154856,309728,100813,50437,3606,26821,2.299232,12.087657,8.684443,0.459942,4.930233,8.321635,7.358635,7.509179,9.686567,8.744662,36031,112139,371584.708112,3.410559,5388,external,1.705279,56907,48503,19615,31429,0.125371,0.213792,0.733208
MAX2-it0001,0.68,0.680000,0.683384,1,0.000000,0.002871,0.000000,0.000000,0.000000,-1,157430,314864,96901,57039,3490,25389,2.383032,11.541788,7.287738,0.409293,4.069561,9.167481,9.723880,7.496715,9.726720,9.231755,36310,114175,374298.486759,3.410559,5287,external,1.705279,57197,45967,28019,32563,0.144704,0.246760,0.694438
MAX2-it0005,0.68,0.680000,0.679903,5,0.000000,0.002633,0.000000,0.000000,0.000000,-1,156704,313420,101055,52068,3581,26566,2.531786,11.901128,8.989608,0.475341,5.193712,8.662806,8.176566,7.631147,9.700129,8.923655,35721,112981,372405.895628,3.410559,5205,external,1.705279,56991,47730,22935,32133,0.135948,0.231829,0.705443
