iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286728890377,75414.72,75848,0.683906802279,1.49243843059,0.0206733862994,3.85619165681e-11,1.48716784293e-11,1574,1,0,110069.952625,21.9215416908,28224,0,0,0.315831526557,0.996046493437,0,0.1,0,110.257235917
2,0.00285969897414,75414.72,75927,0.684619130058,0.000678619905029,0.0206733862994,3.84947779108e-11,1.47630414185e-11,3092,1,0,32049.8922501,12.7275419235,28207,0,0,0.315897555183,0.996132753444,0,0.1,0,32.1479324172
3,0.00285223282055,75414.72,75950,0.684826516627,0.000653539062789,0.0206733862994,3.83624603079e-11,1.46563033324e-11,3054,1,0,31547.4138751,12.6751251221,28208,0,0,0.31603557571,0.996598012209,0,0.1,0,31.676401875
4,0.00284488855527,75414.72,75939,0.684727331746,0.000628585256508,0.0206733862994,3.81654635302e-11,1.45506882302e-11,2942,1,0,23727.0362496,12.6110420227,28215,0,0,0.316096594486,0.996413696492,0,0.1,0,23.8698583748
5,0.00283765967643,75414.72,75941,0.684745365361,0.000592938142395,0.0206733862994,3.7905305518e-11,1.44465868821e-11,2836,1,0,23062.4347911,12.8470001221,28188,0,0,0.316143227488,0.996284115501,0,0.1,0,23.2224899577
6,0.00283054774096,75414.72,75957,0.684889634278,0.000572546058643,0.0206733862994,3.75851748342e-11,1.43426271015e-11,2835,1,0,23026.392375,12.8502912521,28163,0,0,0.316202041727,0.996340499465,0,0.1,0,23.1396982921
7,0.00282354768263,75414.72,75962,0.684934718315,0.000545089607824,0.0206733862994,3.72076146035e-11,1.42388129633e-11,2831,1,0,22823.4772496,12.1120004654,28156,0,0,0.31631606074,0.996395559545,0,0.1,0,22.962487875
8,0.00281665490878,75414.72,75973,0.685033903196,0.000511683697077,0.0206733862994,3.67757052622e-11,1.41356935817e-11,2827,1,0,23086.605,12.6093330383,28177,0,0,0.316325052164,0.996449234154,0,0.1,0,23.224402417
9,0.00280986900692,75414.72,75932,0.684664214095,0.000482314707431,0.0206733862994,3.62937428117e-11,1.40325670845e-11,2824,1,0,22669.2635002,11.9167079926,28161,0,0,0.316523985573,0.996501459523,0,0.1,0,22.760724958
10,0.00280318321062,75414.72,75883,0.684222390536,0.000440431096355,0.0206733862994,3.57646331279e-11,1.39298012884e-11,2822,1,0,22773.4362502,12.5447077751,28118,0,0,0.316773785787,0.996552169795,0,0.1,0,22.8789580408
11,0.00279659101454,75414.72,75845,0.683879751857,0.000379873143759,0.0206733862994,3.5191026751e-11,1.38280071472e-11,2820,1,0,23056.6038747,12.4473752975,28043,0,0,0.317048829937,0.996601297152,0,0.1,0,23.1841766671
12,0.00279009017424,75414.72,75867,0.684078121619,0.000319961705864,0.0206733862994,3.4576409516e-11,1.37278019741e-11,2816,1,0,22643.4963751,12.5714588165,28036,0,0,0.317318515646,0.996648771979,0,0.1,0,22.7543989168
13,0.00278367898947,75414.72,75836,0.683798600592,0.000257788631043,0.0206733862994,3.39253973431e-11,1.36284177283e-11,2752,1,0,22521.0392919,13.146625042,28028,0,0,0.317646588819,0.996694523072,0,0.1,0,22.6619716249
14,0.00277735865827,75414.72,75770,0.683203491308,0.000214217762348,0.0206733862994,3.32417691069e-11,1.35298587306e-11,2782,1,0,22433.5374579,11.7186670303,27996,0,0,0.317808701515,0.996727661596,0,0.1,0,22.52542825
15,0.00277112563138,75414.72,75677,0.682364928226,0.000163398852802,0.0206733862994,3.2528832786e-11,1.34315437756e-11,2789,1,0,22565.3979168,12.259458065,28044,0,0,0.318166187687,0.996749177324,0,0.1,0,22.6687353328
16,0.00276497152939,75414.72,75662,0.682229676116,8.7503839513e-05,0.0206733862994,3.17876283496e-11,1.33352497824e-11,2792,1,0,22600.6077909,11.6783337593,28145,0,0,0.318528370191,0.99677022097,0,0.1,0,22.6999204578
17,0.00275890552229,75414.72,75646,0.682085407199,5.2915839285e-05,0.0206733862994,3.1025688656e-11,1.32379878704e-11,2800,1,0,22731.1166248,12.6352500916,28243,0,0,0.318870627682,0.996790783248,0,0.1,0,22.8707197499
18,0.00275291539094,75414.72,75629,0.681932121474,-2.7986418297e-05,0.0206733862994,3.0241735281e-11,1.31425377197e-11,2803,1,0,22857.7207503,12.7406659126,28280,0,0,0.319357337603,0.996810854846,0,0.1,0,23.0082404581
19,0.00274700917454,75414.72,75626,0.681905071052,-7.10673159728e-05,0.0206733862994,2.96093359341e-11,1.30459467297e-11,2805,1,0,22645.7416248,12.6168341637,28242,0,0,0.319861015541,0.996830426444,0,0.1,0,22.7952666669
