iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286699120779,75414.72,75910,0.684465844334,0.850773132395,0.0120840725482,3.43187072375e-11,1.48258945987e-11,1575,1,0,110682.706042,13.093957901,28196,0,0,0.307272925141,0.996916691502,0,0.1,0,110.835699834
2,0.00285927517458,75414.72,75953,0.684853567049,0.000386743057662,0.0120840725482,3.41694403286e-11,1.47170760931e-11,3111,1,0,31468.2305841,11.9042077065,28193,0,0,0.307178860684,0.996890907821,0,0.1,0,31.5610861247
3,0.0028516848315,75414.72,75959,0.684907667893,0.000367778130848,0.0120840725482,3.3960878412e-11,1.46102002067e-11,3041,1,0,30962.2791667,13.1345419884,28138,0,0,0.30717154317,0.996789510971,0,0.1,0,31.1109123332
4,0.00284421875189,75414.72,75942,0.684754382168,0.000349692448653,0.0120840725482,3.36954255799e-11,1.45043952452e-11,2930,1,0,22818.7965827,12.2737083435,28132,0,0,0.307285560301,0.99661929768,0,0.1,0,22.9116366659
5,0.00283687875463,75414.72,75956,0.684880617471,0.000345372809266,0.0120840725482,3.33768373383e-11,1.43985559698e-11,2725,1,0,21962.964334,12.6734580994,28125,0,0,0.179822995491,0.987976357485,0,0.1,0,39.252644083
6,0.00283589626492,75414.72,75992,0.685205222535,-0.0029187841326,0.0120840725482,3.27691028831e-11,1.41386407735e-11,2773,1,0,21732.3416657,12.7046670914,26867,0,0,0.180229217648,0.988144661892,0,0.1,0,21.8797837086
7,0.00282935335581,75414.72,76020,0.68545769314,0.000344857197789,0.0120840725482,3.29011150514e-11,1.40102231803e-11,2754,1,0,21835.7742081,12.5435838699,26849,0,0,0.180540115966,0.988294820517,0,0.1,0,21.9852389577
8,0.00282291622709,75414.72,76028,0.685529827599,0.000312200103971,0.0120840725482,3.29971165858e-11,1.3884293586e-11,2747,1,0,21628.282166,11.7971248627,26809,0,0,0.181072166048,0.988426127072,0,0.1,0,21.7183095831
9,0.00281658311739,75414.72,75982,0.685115054462,0.000283466755559,0.0120840725482,3.30568626851e-11,1.37601852157e-11,2742,1,0,21922.383666,12.866625309,26767,0,0,0.181084669899,0.988537933645,0,0.1,0,22.1341899591
10,0.0028103513012,75414.72,75947,0.684799466205,0.000256686727479,0.0120840725482,3.30807621596e-11,1.36377593608e-11,2754,1,0,21979.5922499,13.0177907944,26747,0,0,0.177685523212,0.995757199467,0,0.1,0,39.0613505002
