iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286728890377,75414.72,75848,0.683906802279,1.49243843059,137466016.914,3.85619165681e-11,1.48716784293e-11,1574,1,0,111712.864208,13.1072502136,28224,0,0,0.315803256535,0.995984353853,0,0.1,0,111.841218167
2,0.00286430369427,75414.72,75846,0.683888768665,-0.00018852583141,141665041.57,3.81719351189e-11,1.48656124535e-11,3094,1,0,31000.3458753,11.9848327637,28221,0,0,0.315804960125,0.995984373668,0,0.1,0,31.0757314158
3,0.00286125209121,75414.72,75859,0.68400598716,-0.000194152822496,146089678.828,3.76990136884e-11,1.48594760285e-11,3073,1,0,30748.8902917,13.1827502251,28218,0,0,0.315815136352,0.995984394027,0,0.1,0,30.8762246668
4,0.00285813113309,75414.72,75868,0.684087138426,-0.000200079203846,150751599.856,3.71382035783e-11,1.48530637799e-11,3027,1,0,23434.6748748,12.4465003014,28216,0,0,0.315820637823,0.996040382772,0,0.1,0,23.5180075839
5,0.00285493802261,75414.72,75872,0.684123205655,-0.000206308144844,155663412.546,3.64864053522e-11,1.48461846306e-11,2859,1,0,22189.1684999,11.8781251907,28213,0,0,0.315834014648,0.996203488029,0,0.1,0,22.304966792
6,0.00285167012746,75414.72,75880,0.684195340114,-0.000212848304583,160838561.383,3.57424934061e-11,1.48386731854e-11,2772,1,0,21437.9784589,12.3564162254,28203,0,0,0.315853629984,0.996374421836,0,0.1,0,21.5207304591
7,0.00284832496967,75414.72,75882,0.684213373729,-0.000219715148568,166291336.296,3.4907313602e-11,1.48303931889e-11,2804,1,0,21732.6737909,12.4400844574,28201,0,0,0.31588181252,0.996553165615,0,0.1,0,21.8157191658
8,0.00284490020787,75414.72,75879,0.684186323307,-0.000226931529837,172036958.726,3.39835975429e-11,1.48212352618e-11,2804,1,0,21869.1220407,12.3274998665,28201,0,0,0.31591266332,0.996739373191,0,0.1,0,21.9644738338
9,0.00284139361722,75414.72,75872,0.684123205655,-0.000234527890817,178091743.529,3.29758323386e-11,1.48111120249e-11,2805,1,0,21670.4948339,12.9679999352,28207,0,0,0.315966721707,0.99693216003,0,0.1,0,21.7978867502
10,0.00283780307002,75414.72,75868,0.684087138426,-0.000242542852829,184473331.309,3.18901027151e-11,1.47999505907e-11,2806,1,0,21761.5141253,15.0305418968,28199,0,0,0.316025014893,0.997129763353,0,0.1,0,21.8414924168
11,0.00283412651866,75414.72,75861,0.684024020775,-0.000251023760261,191200943.778,3.07339104765e-11,1.47876865925e-11,2807,1,0,21980.315958,12.0107083321,28190,0,0,0.316080827918,0.997328993636,0,0.1,0,22.0883308328
12,0.00283036197958,75414.72,75861,0.684024020775,-0.000260026555381,198295612.427,2.95159688035e-11,1.4774261861e-11,2807,1,0,21659.0491662,12.2466669083,28181,0,0,0.316163850463,0.997524362674,0,0.1,0,21.7606930831
13,0.00282650751875,75414.72,75851,0.683933852701,-0.000269616717169,205780517.609,2.83520678872e-11,1.47596188204e-11,2807,1,0,21677.0837917,12.0658750534,28170,0,0,0.316252199255,0.997706767308,0,0.1,0,21.758888125
14,0.00282256123883,75414.72,75844,0.68387073505,-0.000279869897435,213681336.888,2.77739960329e-11,1.4743697545e-11,2807,1,0,21857.5498748,13.648416996,28163,0,0,0.316339418107,0.997861762989,0,0.1,0,21.9878889588
15,0.00281852126675,75414.72,75847,0.683897785472,-0.000290872524352,222026645.554,2.71003594561e-11,1.47264333489e-11,2809,1,0,21500.1421251,12.1815419197,28159,0,0,0.316421763284,0.99796810394,0,0.1,0,21.5749218748
16,0.00281438574273,75414.72,75855,0.683969919931,-0.000302722741195,230848410.335,2.63303904921e-11,1.47077538492e-11,2809,1,0,22062.9003749,12.0176672935,28154,0,0,0.316538181254,0.99799861241,0,0.1,0,22.1392864999
17,0.00281015281033,75414.72,75878,0.684177306499,-0.000315531289486,240182594.167,2.63035027306e-11,1.46875753406e-11,2811,1,0,21731.450458,12.9114999771,28154,0,0,0.316636768174,0.997926082846,0,0.1,0,21.8670206247
18,0.00280582060893,75414.72,75913,0.684492894756,-0.00032942282121,250069891.328,2.69308829317e-11,1.46657989025e-11,2811,1,0,21829.993958,11.7882094383,28155,0,0,0.31676110118,0.997732681137,0,0.1,0,21.9045711672
19,0.00280138726935,75414.72,75930,0.68464618048,-0.00034453777583,260556626.812,2.7522440703e-11,1.46423061973e-11,2813,1,0,21617.2462502,13.2612090111,28144,0,0,0.31690087458,0.997414536696,0,0.1,0,21.7670485829
20,0.00279685091215,75414.72,75940,0.684736348554,-0.000361033862491,271695790.517,2.80661353794e-11,1.46169572081e-11,2821,1,0,21879.7014999,11.751791954,28129,0,0,0.317070050518,0.996977104261,0,0.1,0,21.9541684589
