iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286728890377,75414.72,75848,0.683906802279,1.49243843059,0.0206733862994,6.88956709199e-12,1.48716784293e-11,1574,1,0,109907.038417,15.0115828514,28224,112,8.48134083291e-13,0.315831526557,0.996046493437,0,0.1,0,110.370276041
2,0.00285969897414,75414.72,75927,0.684619130058,0.000678619905029,0.0206733862994,6.88343758091e-12,1.47630414185e-11,3092,1,0,31861.7529998,12.5711250305,28207,112,8.48019568226e-13,0.315897555183,0.996132753444,0,0.1,0,32.2090683747
3,0.00285223282055,75414.72,75950,0.684826516627,0.000653539062789,0.0206733862994,6.87469334322e-12,1.46563033324e-11,3054,1,0,31475.8972497,13.6157913208,28208,112,8.47417968706e-13,0.31603557571,0.996598012209,0,0.1,0,31.910457917
4,0.00284488855527,75414.72,75939,0.684727331746,0.000628585256508,0.0206733862994,6.86313126023e-12,1.45506882302e-11,2942,1,0,23301.4219999,11.9051671028,28215,112,8.46316359539e-13,0.316096594486,0.996413696492,0,0.1,0,23.6292710421
5,0.00283765967643,75414.72,75941,0.684745365361,0.000592938142395,0.0206733862994,6.84865121906e-12,1.44465868821e-11,2836,1,0,22389.1643329,11.6756668091,28188,112,8.4480665373e-13,0.316143227488,0.996284115501,0,0.1,0,22.712046416
6,0.00283054774096,75414.72,75957,0.684889634278,0.000572546058643,0.0206733862994,6.83111946011e-12,1.43426271015e-11,2835,1,0,22638.1764169,13.0952501297,28163,112,8.42926165669e-13,0.316202041727,0.996340499465,0,0.1,0,23.0355460416
7,0.00282354768263,75414.72,75962,0.684934718315,0.000545089607824,0.0206733862994,6.81059482291e-12,1.42388129633e-11,2831,1,0,22737.1207089,12.7230410576,28156,112,8.40776825424e-13,0.31631606074,0.996395559545,0,0.1,0,23.0666390001
8,0.00281665490878,75414.72,75973,0.685033903196,0.000511683697077,0.0206733862994,6.7870042217e-12,1.41356935817e-11,2827,1,0,22399.82125,14.9998335838,28177,112,8.38419005968e-13,0.316325052164,0.996449234154,0,0.1,0,22.8407881251
9,0.00280986900692,75414.72,75932,0.684664214095,0.000482314707431,0.0206733862994,6.7606458652e-12,1.40325670845e-11,2824,1,0,22309.1545,11.9132499695,28161,112,8.359014184e-13,0.316523985573,0.996501459523,0,0.1,0,22.636813791
10,0.00280318321062,75414.72,75883,0.684222390536,0.000440431096355,0.0206733862994,6.73142876341e-12,1.39298012884e-11,2822,1,0,22464.0975409,12.6752920151,28118,112,8.33243755048e-13,0.316773785787,0.996552169795,0,0.1,0,22.8219892499
11,0.00279659101454,75414.72,75845,0.683879751857,0.000379873143759,0.0206733862994,6.69903514624e-12,1.38280071472e-11,2820,1,0,22597.6914172,12.7186655998,28043,112,8.30530268051e-13,0.317048829937,0.996601297152,0,0.1,0,22.969453291
12,0.00279009017424,75414.72,75867,0.684078121619,0.000319961705864,0.0206733862994,6.66304156058e-12,1.37278019741e-11,2816,1,0,22347.1156249,11.92933321,28036,112,8.27815116779e-13,0.317318515646,0.996648771979,0,0.1,0,22.6760896249
13,0.00278367898947,75414.72,75836,0.683798600592,0.000257788631043,0.0206733862994,6.62429623415e-12,1.36284177283e-11,2752,1,0,21755.3342919,12.3348331451,28028,112,8.25112397495e-13,0.317646588819,0.996694523072,0,0.1,0,22.0864795409
14,0.00277735865827,75414.72,75770,0.683203491308,0.000214217762348,0.0206733862994,6.59447115548e-12,1.35298587306e-11,2782,1,0,22112.0449581,13.0983748436,27996,112,8.22461056709e-13,0.317808701515,0.996727661596,0,0.1,0,22.4965562499
15,0.00277112563138,75414.72,75677,0.682364928226,0.000163398852802,0.0206733862994,6.56161614362e-12,1.34315437756e-11,2789,1,0,22309.4043751,12.2665829659,28044,112,8.1978137919e-13,0.318166187687,0.996749177324,0,0.1,0,22.6396853328
16,0.00276497152939,75414.72,75662,0.682229676116,8.7503839513e-05,0.0206733862994,6.52491317443e-12,1.33352497824e-11,2792,1,0,22396.0445843,12.9906249046,28145,112,8.17162800669e-13,0.318528370191,0.99677022097,0,0.1,0,22.8391396659
17,0.00275890552229,75414.72,75646,0.682085407199,5.2915839285e-05,0.0206733862994,6.48495277181e-12,1.32379878704e-11,2800,1,0,22043.709959,11.7882080078,28243,112,8.14644747766e-13,0.318870627682,0.996790783248,0,0.1,0,22.3664011662
18,0.00275291539094,75414.72,75629,0.681932121474,-2.7986418297e-05,0.0206733862994,6.4418591042e-12,1.31425377197e-11,2803,1,0,22275.633708,12.7829999924,28280,112,8.12203171059e-13,0.319357337603,0.996810854846,0,0.1,0,22.6544454172
19,0.00274700917454,75414.72,75626,0.681905071052,-7.10673159728e-05,0.0206733862994,6.39545896386e-12,1.30459467297e-11,2805,1,0,22201.905334,11.9097909927,28242,112,8.09780641079e-13,0.319861015541,0.996830426444,0,0.1,0,22.5310565829
20,0.00274118127512,75414.72,75645,0.682076390392,-0.000117535027206,0.0206733862994,6.34607188404e-12,1.29499445706e-11,2810,1,0,22465.819541,12.5152921677,28189,112,8.07486247932e-13,0.320488038536,0.996849488723,0,0.1,0,22.8592689582
