iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286728890377,75414.72,75848,0.683906802279,1.49243843059,321175302.805,6.88956709199e-12,1.48716784293e-11,1574,1,0,109155.812042,13.0992498398,28224,112,8.48134083291e-13,0.315779122115,0.995986736102,0,0.1,0,109.520095375
2,0.00286491707277,75414.72,75850,0.683924835894,-0.000414603057734,342399130.193,6.86215113913e-12,1.48622430597e-11,3095,1,0,31541.6502919,14.1684160233,28220,112,8.49373443187e-13,0.315730625489,0.995989284625,0,0.1,0,31.9014523751
3,0.00286240962389,75414.72,75849,0.683915819087,-0.00044265732928,365806994.902,6.83112755719e-12,1.48523261465e-11,3071,1,0,31211.2093749,12.3716669083,28213,112,8.50582215186e-13,0.315723423384,0.995991994117,0,0.1,0,31.5451484169
4,0.00285975453283,75414.72,75849,0.683915819087,-0.000473712849327,391580992.331,6.79600617219e-12,1.48418416476e-11,2937,1,0,23145.0814171,11.7937083244,28209,112,8.51743716391e-13,0.315684047972,0.995994879441,0,0.1,0,23.5527428328
5,0.00285693927311,75414.72,75864,0.684051071197,-0.000508047383388,419927509.089,6.75623770518e-12,1.48306883067e-11,2818,1,0,22050.900125,12.4229588509,28203,112,8.52842815349e-13,0.315651999355,0.995997956428,0,0.1,0,22.3806215832
6,0.00285395079639,75414.72,75869,0.684096155233,-0.000545979895226,451080829.495,6.71120346438e-12,1.48187480632e-11,2813,1,0,22232.4179173,12.1919999123,28198,112,8.53866649833e-13,0.315649262912,0.996001241964,0,0.1,0,22.5798735842
7,0.00285077551931,75414.72,75870,0.684105172041,-0.000587877185048,485307376.927,6.66021664779e-12,1.48058868531e-11,2767,1,0,21903.157167,12.3468332291,28189,112,8.54805979955e-13,0.315656880094,0.996004754105,0,0.1,0,22.2163830828
8,0.00284739931957,75414.72,75886,0.684249440958,-0.000634164118476,522911323.38,6.60252634657e-12,1.47919466232e-11,2768,1,0,21943.2442503,12.1149158478,28183,112,8.55655340182e-13,0.315679435215,0.996008512182,0,0.1,0,22.2755609998
9,0.00284380754478,75414.72,75892,0.684303541802,-0.000685336521576,564240767.694,6.53731092167e-12,1.47767503548e-11,2766,1,0,21553.7828751,12.3776249886,28173,112,8.5641330497e-13,0.315701051181,0.996050876205,0,0.1,0,21.8655773751
10,0.00283998502611,75414.72,75890,0.684285508187,-0.000741972658526,609695585.343,6.46368139388e-12,1.47601016754e-11,2766,1,0,22009.355,12.0074167252,28168,112,8.57081392188e-13,0.315754694141,0.996148036705,0,0.1,0,22.3184886249
11,0.00283591610269,75414.72,75883,0.684222390536,-0.000804750528911,659737007.366,6.38068391754e-12,1.47417853382e-11,2766,1,0,21823.2798328,12.3902921677,28155,112,8.57663333226e-13,0.315780409749,0.996254257645,0,0.1,0,22.1762768747
12,0.00283158465876,75414.72,75869,0.684096155233,-0.000874470005467,644672954.605,6.29483981605e-12,1.47215614695e-11,2765,1,0,21863.13625,11.7934160233,28146,112,8.58165937242e-13,0.315770403262,0.996359146874,0,0.1,0,22.1800854593
13,0.00282742456463,75414.72,75858,0.683996970353,-0.000858178989413,614812677.023,6.21898247695e-12,1.47013962585e-11,2764,1,0,21543.7146249,12.507999897,28137,112,8.58558436106e-13,0.315782313118,0.996460088662,0,0.1,0,21.8648982081
14,0.00282352357515,75414.72,75849,0.683915819087,-0.00082190803596,591551963.431,6.14351717093e-12,1.46817844835e-11,2767,1,0,21815.4197922,12.9337077141,28123,112,8.58862977983e-13,0.315855483819,0.996557911685,0,0.1,0,22.1686980831
15,0.00281983076844,75414.72,75847,0.683897785472,-0.000794148577523,575171461.658,6.06832729011e-12,1.46625588374e-11,2765,1,0,21584.6635833,11.9616670609,28104,112,8.59106896667e-13,0.315852731975,0.996653532471,0,0.1,0,21.910907208
16,0.00281629661907,75414.72,75861,0.684024020775,-0.000775418843847,565991696.66,5.99307609941e-12,1.4643531884e-11,2766,1,0,22169.2373748,13.072124958,28084,112,8.59309613209e-13,0.31585244907,0.996747945536,0,0.1,0,22.530171833
17,0.00281287259164,75414.72,75871,0.684114188848,-0.000766300521619,564400192.41,5.93692029093e-12,1.46244920155e-11,2766,1,0,22152.8141661,12.9965839386,28060,112,8.59483988506e-13,0.31585872902,0.996842214015,0,0.1,0,22.4913253332
18,0.00280951067925,75414.72,75892,0.684303541802,-0.000767484453038,570887028.964,5.91381846549e-12,1.46051898065e-11,2765,1,0,21720.2872081,12.2811250687,28039,112,8.59639471383e-13,0.315924729418,0.996937459438,0,0.1,0,22.0284875417
19,0.00280616286112,75414.72,75920,0.684556012407,-0.000779827138322,586088103.298,5.91147908791e-12,1.45853432592e-11,2766,1,0,21552.2677913,12.1916670799,28027,112,8.59782444159e-13,0.31596853375,0.997034846794,0,0.1,0,21.8580395002
20,0.00280278044174,75414.72,75934,0.68468224771,-0.000804414821856,610841565.777,5.90491145136e-12,1.45646381918e-11,2766,1,0,21633.6573329,12.7565836906,28011,112,8.59916591772e-13,0.316004441411,0.997135557753,0,0.1,0,21.9980076249
