iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286536515818,75414.72,75724,0.682788718171,1.50589944633,0.0206733862994,2.58715522571e-11,1.47174436205e-11,1582,1,0,110137.338209,12.8127498627,28479,0,0,0.347908898057,0.988625433174,0,0.1,0,110.284658208
2,0.0028574359223,75414.72,75741,0.682942003895,0.00132145636442,0.0206733862994,2.59986752102e-11,1.46058057695e-11,3080,1,0,31357.9364157,13.1933341026,28478,0,0,0.347911879571,0.988656495141,0,0.1,0,31.5007473747
3,0.00284963717265,75414.72,75739,0.682923970281,0.00127980283526,0.0206733862994,2.61011934797e-11,1.44947172514e-11,3044,1,0,31398.6393752,12.826666832,28495,0,0,0.347538997071,0.987278977107,0,0.1,0,31.5438121674
4,0.00284196681218,75414.72,75747,0.682996104739,0.00123224289688,0.0206733862994,2.6178239072e-11,1.43847379252e-11,2898,1,0,22458.092958,11.8723340034,28489,0,0,0.347516720848,0.986814839765,0,0.1,0,22.5485993749
5,0.00283442977556,75414.72,75795,0.683428911491,0.00120983539484,0.0206733862994,2.62685940261e-11,1.42750182918e-11,2786,1,0,21950.0203753,14.4379997253,28456,0,0,0.347337287389,0.989713134218,0,0.1,0,22.114514417
6,0.00282702060777,75414.72,75856,0.683978936738,0.00118958862454,0.0206733862994,2.63500543363e-11,1.41650765334e-11,2720,1,0,21341.2225828,12.3095002174,28416,0,0,0.347072199709,0.992405330549,0,0.1,0,21.4318295
7,0.00281972623784,75414.72,75874,0.68414123927,0.00113161262886,0.0206733862994,2.64105934525e-11,1.40562312035e-11,2725,1,0,21647.1005001,12.8225412369,28429,0,0,0.346866109466,0.994803918604,0,0.1,0,21.837618167
8,0.00281255093803,75414.72,75879,0.684186323307,0.00109078058219,0.0206733862994,2.64492133326e-11,1.39480329305e-11,2730,1,0,21321.2588749,12.4001660347,28417,0,0,0.346893216603,0.995753871396,0,0.1,0,21.4165638331
9,0.00280548387278,75414.72,75878,0.684177306499,0.00101967137073,0.0206733862994,2.64655019936e-11,1.38415707824e-11,2742,1,0,21355.6000409,11.8096671104,28369,0,0,0.346738864878,0.992037671824,0,0.1,0,21.4925918328
10,0.00279853918862,75414.72,75870,0.684105172041,0.00100303335392,0.0206733862994,2.64617576109e-11,1.37340177234e-11,2745,1,0,21468.053875,12.2674589157,28333,0,0,0.346477983647,0.994414577481,0,0.1,0,21.5623354167
11,0.00279169748008,75414.72,75833,0.68377155017,0.000924100244164,0.0206733862994,2.64356411968e-11,1.36282956099e-11,2758,1,0,21720.7583332,12.0627088547,28359,0,0,0.346369810089,0.989089328342,0,0.1,0,21.8572370838
12,0.00278496573639,75414.72,75814,0.68360023083,0.000875277401372,0.0206733862994,2.63865928406e-11,1.35222617599e-11,2759,1,0,21766.4293332,12.7007498741,28363,0,0,0.346104460166,0.993382724821,0,0.1,0,21.8685535421
13,0.00277833910488,75414.72,75793,0.683410877876,0.000814678432737,0.0206733862994,2.63177032369e-11,1.34167515483e-11,2758,1,0,21385.5566249,11.7748332024,28373,0,0,0.34586586712,0.9959166398,0,0.1,0,21.5108637922
14,0.00277181754001,75414.72,75802,0.683492029142,0.000763633186992,0.0206733862994,2.62243393884e-11,1.33109606024e-11,2757,1,0,21518.6039581,12.6221251488,28399,0,0,0.345861728072,0.987551039421,0,0.1,0,21.6283075837
15,0.002765391556,75414.72,75786,0.683347760225,0.000684508461001,0.0206733862994,2.61103735874e-11,1.32065911609e-11,2753,1,0,21514.2871246,11.7402911186,28372,0,0,0.346008156569,0.985423298973,0,0.1,0,21.6074399161
16,0.00275906258266,75414.72,75753,0.683050205583,0.000612009254154,0.0206733862994,2.59744677731e-11,1.31019953961e-11,2749,1,0,21416.4725833,12.2896666527,28389,0,0,0.345955295582,0.98770485603,0,0.1,0,21.5186580829
17,0.00275283835586,75414.72,75712,0.682680516483,0.000575475628865,0.0206733862994,2.58171553709e-11,1.29961504443e-11,2751,1,0,21424.6923752,11.6904168129,28381,0,0,0.345872886822,0.989712637999,0,0.1,0,21.5163104166
18,0.00274670966179,75414.72,75712,0.682680516483,0.000501325118087,0.0206733862994,2.56361564146e-11,1.28910883553e-11,2751,1,0,21745.0797501,12.8947920799,28409,0,0,0.345711252543,0.991255876405,0,0.1,0,21.8881247081
19,0.00274067916887,75414.72,75687,0.6824550963,0.000452584874024,0.0206733862994,2.54352104236e-11,1.27859926106e-11,2749,1,0,21367.934,11.7931251526,28436,0,0,0.34567584539,0.992058472658,0,0.1,0,21.4623079998
20,0.00273474409794,75414.72,75703,0.682599365217,0.000389385103375,0.0206733862994,2.52127586647e-11,1.26817122627e-11,2748,1,0,21216.966125,12.4340829849,28426,0,0,0.345505459442,0.991666311568,0,0.1,0,21.3168221251
