iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286728890377,75414.72,75848,0.683906802279,1.49243843059,0.0826935451978,3.85619165681e-11,1.48716784293e-11,1574,1,0,109793.955834,13.5908327103,28224,0,0,0.316047522311,0.996413696492,0,0.1,0,109.954710125
2,0.0028375725586,75414.72,75944,0.684772415783,0.00212588999476,0.0826935451978,3.7894335627e-11,1.44469913488e-11,3088,1,0,31947.6842084,13.3053746223,28184,0,0,0.316273300011,0.996449234154,0,0.1,0,32.1122876671
3,0.00280973689059,75414.72,75934,0.68468224771,0.00172042320149,0.0826935451978,3.62663515014e-11,1.40348848006e-11,3043,1,0,31033.9262919,13.0669159889,28140,0,0,0.316996599239,0.996648771979,0,0.1,0,31.1885860413
4,0.00278356324329,75414.72,75856,0.683978936738,0.00123608020143,0.0826935451978,3.38859558121e-11,1.3622772342e-11,2825,1,0,22493.7833328,12.0672497749,27998,0,0,0.317925254608,0.996820703728,0,0.1,0,22.5868443749
5,0.00275876124842,75414.72,75667,0.682274760153,0.000143106258439,0.0826935451978,3.09669192561e-11,1.32380386619e-11,2812,1,0,22317.7837501,13.1417498589,28205,0,0,0.319675567794,0.996894855204,0,0.1,0,22.5147315422
6,0.00273533159044,75414.72,75715,0.682707566905,-0.000464479547465,0.0826935451978,3.03833369344e-11,1.28471195985e-11,2804,1,0,21963.3924174,11.9995417595,28044,0,0,0.322167632054,0.996960341349,0,0.1,0,22.0573889576
7,0.00271316729055,75414.72,75891,0.684294524995,-0.00125223787239,0.0826935451978,3.13573447432e-11,1.24617021411e-11,2815,1,0,22595.5793343,14.7077498436,27514,0,0,0.324132645314,0.997016591492,0,0.1,0,22.8017624579
8,0.00269234443435,75414.72,75786,0.683347760225,-0.00148420934426,0.0826935451978,3.23594385449e-11,1.20670201817e-11,2817,1,0,22287.5341663,12.8056669235,27680,0,0,0.327779642088,0.997063074902,0,0.1,0,22.4124524589
9,0.00267289774847,75414.72,75714,0.682698550097,-0.00147774783521,0.0826935451978,3.33926628517e-11,1.16678177281e-11,2818,1,0,22462.6381669,12.5671253204,27688,0,0,0.333232171977,0.997063074902,0,0.1,0,22.645304542
10,0.00265469597678,75414.72,75636,0.681995239126,-0.0021437871038,0.0826935451978,3.393162769e-11,1.12783496168e-11,2817,1,0,22308.4837918,12.9303331375,27675,0,0,0.340644653038,0.997041085074,0,0.1,0,22.4289490827
11,0.00263797439707,75414.72,75547,0.681192743273,-0.00156923855183,0.0826935451978,3.40243175026e-11,1.08879512077e-11,2813,1,0,22234.2480831,12.8704996109,27644,0,0,0.349103836534,0.996989655272,0,0.1,0,22.3561976673
12,0.00262240954999,75414.72,75359,0.679497583496,-0.00254113252566,0.0826935451978,3.364836877e-11,1.05244696759e-11,2807,1,0,22341.671041,18.4822921753,27701,0,0,0.358199566925,1.04679038585,0,0.1,0,22.446803709
13,0.00260840512408,75414.72,75227,0.678307364928,-0.00124800034215,0.0826935451978,3.28690993831e-11,1.01527833213e-11,2803,1,0,23030.3323331,13.5477089882,27975,0,0,0.369647616118,1.12217270467,0,0.1,0,23.1882435
14,0.00259526656366,75414.72,74896,0.675322801702,-0.0036187732996,0.0826935451978,3.16347744976e-11,9.8157883102e-12,2800,1,0,21980.6187501,11.7283329964,28001,0,0,0.381653258803,1.20648910607,0,0.1,0,22.072195834
15,0.00258368751188,75414.72,75031,0.676540070692,-0.0012368416805,0.0826935451978,3.0081173361e-11,9.47243306582e-12,2799,1,0,21988.8679171,12.251291275,27702,0,0,0.393458485932,1.29670233894,0,0.1,0,22.0916238339
16,0.00257283563326,75414.72,74993,0.676197432013,-0.00480337708066,0.0826935451978,2.81167703672e-11,9.14704278083e-12,2802,1,0,21975.1773748,11.8902082443,27575,0,0,0.404124687915,1.38578825565,0,0.1,0,22.097478875
17,0.00256340772572,75414.72,74873,0.675115415134,-0.00189742316938,0.0826935451978,2.59913693762e-11,8.79717871543e-12,2798,1,0,21927.807333,12.601334095,27849,0,0,0.417764333385,1.47488028689,0,0.1,0,22.0199789591
18,0.00255455357869,75414.72,74727,0.673798961264,-0.00625774162418,0.0826935451978,2.38773577156e-11,8.44190464927e-12,2799,1,0,22192.565125,12.5808334351,28184,0,0,0.433491918121,1.55652927484,0,0.1,0,22.3188658748
19,0.00254717559537,75414.72,74557,0.672266104018,-0.00116902380106,0.0826935451978,2.1702979598e-11,8.08478704862e-12,2799,1,0,22617.6135001,13.2890000343,28945,0,0,0.449224385817,1.64442383855,0,0.1,0,22.7684606668
20,0.00254013185411,75414.72,74357,0.670462742552,-0.00884836779985,0.0826935451978,1.91530509211e-11,7.73376120851e-12,2800,1,0,22055.998333,12.2058339119,29371,0,0,0.462190296088,1.72296977031,0,0.1,0,22.1555996668
21,0.00253460701335,75414.72,74261,0.669597129049,-2.87108126226e-05,0.0826935451978,1.67712394309e-11,7.40259284098e-12,2797,1,0,22160.0687909,13.063750267,29782,0,0,0.475778814485,1.80424526679,0,0.1,0,22.2855837503
22,0.00252919151812,75414.72,74165,0.668731515545,-0.0111816193577,0.0826935451978,1.40246131963e-11,7.07859402367e-12,2801,1,0,22391.2044168,12.3720002174,29882,0,0,0.488954995994,1.8302032711,0,0.1,0,22.5349689578
23,0.00252513022591,75414.72,74058,0.667766717161,0.00131352408334,0.0826935451978,1.19771046072e-11,6.77590498896e-12,2797,1,0,22279.5125833,12.1199588776,29889,0,0,0.502071480384,1.85644786517,0,0.1,0,22.3809585418
24,0.00252102366603,75414.72,73938,0.666684700281,-0.012614176466,0.0826935451978,9.66974796663e-12,6.48093636338e-12,2801,1,0,22043.303,12.7377076149,29873,0,0,0.513342189792,1.92971914303,0,0.1,0,22.1798689999
25,0.00251803612105,75414.72,73621,0.663826372358,0.000325086715886,0.0826935451978,7.7479496671e-12,6.21001035482e-12,2796,1,0,21755.0855827,11.728000164,29910,0,0,0.525297699204,1.96362190103,0,0.1,0,21.8471209579
26,0.00251506661583,75414.72,73573,0.663393565606,-0.0151129985762,0.0826935451978,5.60335848971e-12,5.95640393417e-12,2797,1,0,21866.975709,11.8974580765,29836,0,0,0.536701735028,1.99042174752,0,0.1,0,21.9620090411
27,0.00251292310527,75414.72,73427,0.662077111736,0.00139265438337,0.0826935451978,4.01236139075e-12,5.73805510631e-12,2793,1,0,22046.8718338,12.2957911491,29898,0,0,0.547629709448,2.0226466,0,0.1,0,22.1558220419
28,0.0025109112443,75414.72,73557,0.663249296689,-0.0148722219845,0.0826935451978,2.38406101853e-12,5.53239117494e-12,2795,1,0,21907.9259591,12.3286247253,29885,0,0,0.557423661764,2.10608990485,0,0.1,0,22.0060559171
29,0.00250949696778,75414.72,73389,0.661734473058,0.00252042686832,0.0826935451978,1.41499642856e-12,5.37501846417e-12,2788,1,0,21965.5664577,11.7287921906,29924,0,0,0.568172397028,2.1895511039,0,0.1,0,22.060200125
30,0.00250809453692,75414.72,73574,0.663402582414,-0.0177163012127,0.0826935451978,1.24812893276e-12,5.2533225998e-12,2791,1,0,21996.7189999,12.2090411186,29710,0,0,0.578368433378,2.22050119247,0,0.1,0,22.0940824593
