iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00286699120779,75414.72,75910,0.684465844334,0.850773132395,0.0483362901927,3.43187072375e-11,1.48258945987e-11,1575,1,0,109753.272209,13.083750248,28196,0,0,0.307178033782,0.99661929768,0,0.1,0,109.90511575
2,0.00283679456118,75414.72,75959,0.684907667893,0.00120743610063,0.0483362901927,3.33656348746e-11,1.43994238384e-11,3108,1,0,31429.4460421,11.8702077866,28116,0,0,0.307571310822,0.995447197665,0,0.1,0,31.523217041
3,0.00280852090667,75414.72,75926,0.684610113251,0.000950463158781,0.0483362901927,3.30257343067e-11,1.398465347e-11,2918,1,0,31116.0193748,14.9855003357,28093,0,0,0.307946921571,0.993857945463,0,0.1,0,31.359602375
4,0.00278197143495,75414.72,75842,0.683852701435,0.000672843522236,0.0483362901927,3.30047937562e-11,1.35727402809e-11,2859,1,0,23167.6820841,13.9714999199,27859,0,0,0.308185237051,0.992992148488,0,0.1,0,23.3860626668
5,0.00275693196957,75414.72,75676,0.682355911419,0.000243210551716,0.0483362901927,3.23874631215e-11,1.31700267237e-11,2856,1,0,22708.7806249,15.3897080421,28156,0,0,0.182996666584,0.983253875061,0,0.1,0,39.8351702499
6,0.00273777607463,75414.72,75954,0.684862583856,0.000232091369227,0.0483362901927,3.23090272794e-11,1.26216920493e-11,2866,1,0,23802.7333751,12.938958168,26460,0,0,0.182645987136,0.983696421082,0,0.1,0,23.9848023341
7,0.00271677893361,75414.72,76013,0.685394575489,-0.000558611963974,0.0483362901927,3.04684422803e-11,1.22483639827e-11,2858,1,0,22557.7929592,12.2974996567,25793,0,0,0.184151007917,0.979423830931,0,0.1,0,22.6630777922
8,0.00269699784819,75414.72,75949,0.68481749982,-0.000731878264134,0.0483362901927,3.20269265726e-11,1.18709935534e-11,2852,1,0,22196.3191252,11.7277917862,25620,0,0,0.187732703369,0.976963692688,0,0.1,0,22.2908162922
9,0.00267840463951,75414.72,75951,0.684835533434,-0.000785909650775,0.0483362901927,3.33214251191e-11,1.14878019661e-11,2854,1,0,22477.6395001,12.6975836754,25595,0,0,0.194747854515,0.981200996786,0,0.1,0,22.6207512082
10,0.00266088288596,75414.72,75928,0.684628146866,-0.00122013827915,0.0483362901927,3.4082609387e-11,1.1115578951e-11,2847,1,0,22277.4297504,11.7564997673,25508,0,0,0.173375366234,0.984387988431,0,0.1,0,39.294638209
11,0.00265139272919,75414.72,75940,0.684736348554,0.00371580771506,0.0483362901927,3.43210695292e-11,1.08038466975e-11,2842,1,0,22412.076292,12.4646658897,24962,0,0,0.175798389102,0.97974090664,0,0.1,0,22.5066457079
12,0.00263606729551,75414.72,75855,0.683969919931,-0.00117656401672,0.0483362901927,3.40041217552e-11,1.04615608869e-11,2840,1,0,22387.9248753,13.2537908554,24906,0,0,0.181805449763,0.977651355379,0,0.1,0,22.5337629579
13,0.00262206060472,75414.72,75672,0.68231984419,-0.000845185752279,0.0483362901927,3.32204752588e-11,1.01094307214e-11,2837,1,0,22298.8667088,12.1825408936,25052,0,0,0.189979102867,0.972720204116,0,0.1,0,22.39438425
14,0.00260912885575,75414.72,75599,0.681661617255,-0.00127980385721,0.0483362901927,3.19825863889e-11,9.79221350001e-12,2841,1,0,22637.2263327,12.9590001106,24946,0,0,0.200637010404,0.973639388974,0,0.1,0,22.7804922094
15,0.0025973436219,75414.72,75744,0.682969054317,-0.00138669467744,0.0483362901927,3.03488786795e-11,9.48119172124e-12,2836,1,0,21996.4263749,11.7707910538,24480,0,0,0.169408510778,0.976061190394,0,0.1,0,38.7296810844
16,0.00259282754009,75414.72,75709,0.682653466061,0.00281225563257,0.0483362901927,2.77048648677e-11,9.35849337174e-12,2833,1,0,22126.6888752,13.3071250916,23768,0,0,0.170835609778,0.958104161615,0,0.1,0,22.2330250842
17,0.0025828805347,75414.72,75795,0.683428911491,-0.000819104125297,0.0483362901927,2.60277909005e-11,8.9858664508e-12,2830,1,0,22633.138916,11.7879590988,23714,0,0,0.176273647525,0.949497364636,0,0.1,0,22.7240304169
18,0.00257390874391,75414.72,75884,0.684231407343,-0.00138926617036,0.0483362901927,2.42932787806e-11,8.64723361862e-12,2836,1,0,22119.342917,11.837542057,23713,0,0,0.187206883005,0.971351480742,0,0.1,0,22.2106624581
19,0.00256589796635,75414.72,75941,0.684745365361,-0.00143380239732,0.0483362901927,2.30606836482e-11,8.30531255139e-12,2836,1,0,22241.9819593,12.8247909546,23840,0,0,0.200548481865,0.970907036705,0,0.1,0,22.3891786672
20,0.0025587564311,75414.72,75943,0.684763398976,-0.00179202976805,0.0483362901927,2.15343113956e-11,7.98675485361e-12,2843,1,0,22419.7494998,11.9496250153,24052,0,0,0.163289773288,0.963980849883,0,0.1,0,39.1176811252
21,0.0025584531557,75414.72,75864,0.684051071197,0.00411867415466,0.0483362901927,1.94859443927e-11,7.92336144576e-12,2826,1,0,22276.0090842,12.8968749046,23307,0,0,0.166779761752,0.971526693473,0,0.1,0,22.4206965417
22,0.0025527949339,75414.72,75859,0.68400598716,-0.000643536031528,0.0483362901927,1.77376433203e-11,7.56412401329e-12,2840,1,0,22145.9373751,11.7305421829,23317,0,0,0.174306996518,0.971259527513,0,0.1,0,22.2357757082
23,0.00254788350955,75414.72,75786,0.683347760225,-0.00135708460698,0.0483362901927,1.57925953051e-11,7.27560240886e-12,2839,1,0,22343.7589164,12.1780838966,23355,0,0,0.184872749966,0.976798812958,0,0.1,0,22.4385565422
