iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00373858214307,75414.72,79984,0.721200317392,0.435484270782,0.0483362901927,1.2534621672e-10,2.03233034981e-11,1097,1,0,108992.874791,13.3220000267,70109,0,0,0.394020751679,0.999915581963,0,0.1,0,109.15739825
2,0.00356164500265,75414.72,79428,0.716186972517,0.00106441747326,0.0483362901927,1.23152095563e-10,1.82361845092e-11,1948,1,0,25011.8846674,12.0863747597,70346,0,0,0.393456093286,0.999870727539,0,0.1,0,25.1196359582
3,0.00340635465051,75414.72,76662,0.691246483445,0.000231881189878,0.0483362901927,1.17039672984e-10,1.65316588538e-11,1938,1,0,25779.010458,12.040292263,70352,0,0,0.393030392857,0.999867301625,0,0.1,0,25.8876523748
4,0.00327069983973,75414.72,79443,0.716322224627,-0.000581063319637,0.0483362901927,1.07984326086e-10,1.513337207e-11,1932,1,0,16370.947084,11.9751663208,69128,0,0,0.392400184792,0.999853187568,0,0.1,0,16.4789146669
5,0.00315304871284,75414.72,75528,0.681021423934,-0.00136965778819,0.0483362901927,9.71587049504e-11,1.39847210695e-11,1923,1,0,18588.064167,15.197499752,68866,0,0,0.387148709944,0.999939448252,0,0.1,0,36.2718138341
6,0.00298499658364,75414.72,75447,0.680291062541,-0.0267194714944,0.0483362901927,8.56983279604e-11,1.27159542933e-11,1987,1,0,17028.6034999,12.7947087288,69976,0,0,0.385624609263,0.999939448252,0,0.1,0,17.1476660827
7,0.00291244576106,75414.72,75763,0.683140373656,7.99589260442e-06,0.0483362901927,7.45329397255e-11,1.17609913585e-11,1999,1,0,17421.7043748,12.2983751297,68985,0,0,0.383960426554,0.999939448252,0,0.1,0,17.545334667
8,0.00285044778663,75414.72,74855,0.674953112602,-0.000271785610782,0.0483362901927,6.93434450386e-11,1.09542728305e-11,1986,1,0,17443.55125,13.3396248817,68351,0,0,0.38226782446,0.999939448252,0,0.1,0,17.5638094996
9,0.00279730048873,75414.72,74172,0.668794633196,-0.000741909940367,0.0483362901927,6.42270028603e-11,1.02745387835e-11,1982,1,0,16976.453166,11.8569173813,66391,0,0,0.381015703394,0.999939448252,0,0.1,0,17.101387375
10,0.00275166487469,75414.72,73283,0.660778691481,-0.00109680885809,0.0483362901927,5.88215504096e-11,9.69662900418e-12,2033,1,0,18080.783,12.7837080956,64712,0,0,0.387865471307,0.9999218798,0,0.1,0,35.3199497499
11,0.00270932098032,75414.72,74806,0.674511289043,-0.0254249691769,0.0483362901927,5.14581134625e-11,9.46718806344e-12,2170,1,0,19378.7296247,13.0698752403,63683,0,0,0.386662008025,0.9999218798,0,0.1,0,19.510276292
12,0.00267665600763,75414.72,74876,0.675142465556,0.00170095702636,0.0483362901927,4.64731083584e-11,8.78420124097e-12,2225,1,0,20289.6213331,11.9333338737,62186,0,0,0.382711671611,0.9999218798,0,0.1,0,20.4107729169
13,0.00264960171838,75414.72,74834,0.674763759648,0.000914681147432,0.0483362901927,4.14833426413e-11,8.24905486663e-12,2304,1,0,20432.1763749,12.4412913322,59007,0,0,0.380326057371,0.9999218798,0,0.1,0,20.548783333
14,0.00262659490556,75414.72,74285,0.669813532424,1.58525571463e-05,0.0483362901927,3.65301488213e-11,7.8406351665e-12,2397,1,0,21196.1912923,12.2760000229,53073,0,0,0.379377724259,0.9999218798,0,0.1,0,21.3602744583
15,0.00260697112001,75414.72,74314,0.670075019837,0.000354905251699,0.0483362901927,3.18068750185e-11,7.45676025841e-12,2491,1,0,21901.7270002,12.4878749847,50342,0,0,0.392303501637,0.999821254595,0,0.1,0,39.7609282089
16,0.00257359120806,75414.72,74885,0.675223616822,-0.0346995612647,0.0483362901927,2.73111345731e-11,7.24578206985e-12,2864,1,0,28442.0586252,13.0026249886,41235,0,0,0.392216863519,0.999821254595,0,0.1,0,28.6151014157
17,0.002562965944,75414.72,75001,0.676269566472,0.00345567796414,0.0483362901927,2.46619904422e-11,6.7656763964e-12,2878,1,0,30548.0358329,12.7436671257,39440,0,0,0.392669261369,0.999821254595,0,0.1,0,30.667097541
18,0.00255463270104,75414.72,74948,0.675791675683,0.00178557738796,0.0483362901927,2.18428465462e-11,6.46856525814e-12,2876,1,0,33533.2383752,13.1204171181,37842,0,0,0.393278603902,0.999821254595,0,0.1,0,33.7181164999
19,0.00254760968918,75414.72,74766,0.67415061675,0.000524251485675,0.0483362901927,1.89396366757e-11,6.27402629441e-12,2882,1,0,31067.486042,20.3855834007,36422,0,0,0.39421140602,0.999821254595,0,0.1,0,31.285550958
20,0.00254165573354,75414.72,74666,0.673248936017,0.000562976791794,0.0483362901927,1.60983178674e-11,6.09336394462e-12,2892,1,0,24475.951292,12.2050418854,34956,0,0,0.387718405859,0.999885192908,0,0.1,0,42.82799325
21,0.00253448018442,75414.72,74834,0.674763759648,-0.0231118795451,0.0483362901927,1.12754705669e-11,6.29657485008e-12,2800,1,0,26263.5766249,12.2310838699,28191,0,0,0.385736118471,0.999885192908,0,0.1,0,26.3722846671
22,0.00253121613256,75414.72,74846,0.674871961336,0.00365005092452,0.0483362901927,1.17128601766e-11,5.98614455084e-12,2800,1,0,22741.446291,12.0494589806,28276,0,0,0.386324221834,0.999885192908,0,0.1,0,22.8450249997
23,0.00252863424726,75414.72,74816,0.674601457116,0.00110138089097,0.0483362901927,1.15078028729e-11,5.85845765872e-12,2806,1,0,21497.954917,12.5352916718,28166,0,0,0.387159532476,0.999885192908,0,0.1,0,21.6003014171
24,0.00252645363242,75414.72,74762,0.67411454952,0.000362011575357,0.0483362901927,1.00903008818e-11,5.77204575049e-12,2809,1,0,22807.8596673,11.9626250267,28042,0,0,0.387531016497,0.999885192908,0,0.1,0,22.9102870412
