iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,iteration_wall_s
1,0.00366290041376,75414.72,73569,0.663357498377,0.430279296138,0.0483362901927,9.00534092229e-11,1.86167243305e-11,1091,1,0,102045.233083,11.9852080345,70595,0,0,0.449762179717,0.999940128208,0,0.1,0,102.161065916
2,0.00348840722343,75414.72,78483,0.707666089591,0.00255703646585,0.0483362901927,9.15206059988e-11,1.66368586428e-11,1945,1,0,21576.2043748,12.0985422134,70530,0,0,0.448418668197,0.999848024038,0,0.1,0,21.6783245001
3,0.00333742731094,75414.72,77411,0.698000072134,0.00200051824782,0.0483362901927,9.06988937558e-11,1.50658496895e-11,1940,1,0,21553.1694174,11.8354578018,70408,0,0,0.44716986756,0.999848024038,0,0.1,0,21.6548825828
4,0.00320754728148,75414.72,75938,0.684718314939,0.00149801267968,0.0483362901927,8.78486994895e-11,1.38176174108e-11,1946,1,0,14611.0992093,12.2770829201,70235,0,0,0.446469016631,0.999848024038,0,0.1,0,14.7154315831
5,0.00309670883035,75414.72,77378,0.697702517493,0.000992789827464,0.0483362901927,8.33600412385e-11,1.28349312211e-11,1945,1,0,14879.6844592,12.1364159584,69501,0,0,0.440745194929,0.99991283267,0,0.1,0,34.8011608329
6,0.00291083110596,75414.72,78041,0.703680660752,-0.0125427309552,0.0483362901927,7.32918296082e-11,1.2568629424e-11,1981,1,0,14916.4442501,11.9032917023,69094,0,0,0.439985682849,0.99991283267,0,0.1,0,15.024184125
7,0.00284391620018,75414.72,76089,0.686079852846,0.00130596356097,0.0483362901927,6.65303649311e-11,1.14743492124e-11,2010,1,0,15063.3989162,11.8346247673,68663,0,0,0.438905011165,0.99991283267,0,0.1,0,15.1720402497
8,0.00278900625852,75414.72,75703,0.682599365217,0.00085204682286,0.0483362901927,5.9650481352e-11,1.05883470892e-11,1975,1,0,14806.183084,11.92862463,68062,0,0,0.437949450506,0.99991283267,0,0.1,0,14.9174412498
9,0.0027440636823,75414.72,75041,0.676630238765,0.000402007118511,0.0483362901927,5.33468272596e-11,9.8755496485e-12,1964,1,0,14787.3453751,11.8732500076,66611,0,0,0.437097062685,0.99991283267,0,0.1,0,14.904148791
10,0.00270689354558,75414.72,74896,0.675322801702,-3.67272008767e-05,0.0483362901927,5.05495228149e-11,9.30245279191e-12,2115,1,0,15781.996541,11.7442088127,66071,0,0,0.426919238261,0.99991015459,0,0.1,0,35.7032413334
11,0.00266289539429,75414.72,75322,0.679163961624,-0.0269731270341,0.0483362901927,4.11034123887e-11,9.39321873438e-12,2557,1,0,18930.74575,11.8318753242,53657,0,0,0.425410690194,0.99991015459,0,0.1,0,19.0392347914
12,0.00263494428181,75414.72,75147,0.677586020342,0.000606623316725,0.0483362901927,3.83605314358e-11,8.47989009931e-12,2568,1,0,19470.1697078,11.7956671715,51835,0,0,0.425327051781,0.99991015459,0,0.1,0,19.5769256251
13,0.00261385970774,75414.72,75330,0.679236096083,0.000624468846293,0.0483362901927,3.54876145618e-11,7.78854410145e-12,2607,1,0,20189.3076668,11.7534999847,50701,0,0,0.425738053987,0.99991015459,0,0.1,0,20.2948726248
14,0.00259792116907,75414.72,74974,0.676026112674,0.000536723786044,0.0483362901927,3.25273349194e-11,7.30787475884e-12,2645,1,0,20276.735209,11.7849998474,48965,0,0,0.426554191224,0.99991015459,0,0.1,0,20.3870046251
15,0.00258581325428,75414.72,74889,0.675259684051,-0.000325374185806,0.0483362901927,2.94634537052e-11,7.11293318872e-12,2693,1,0,20480.187583,11.8617920876,46559,0,0,0.427368525362,0.99986053288,0,0.1,0,40.4018258336
16,0.0025540314874,75414.72,75242,0.678442617038,-0.0274535211759,0.0483362901927,1.89159820003e-11,6.70884759519e-12,2796,1,0,20774.1240001,11.7585420609,33278,0,0,0.427388671727,0.99986053288,0,0.1,0,20.8711980828
17,0.00254898270722,75414.72,75184,0.677919642213,0.00209441037438,0.0483362901927,1.95129494095e-11,6.24114078144e-12,2798,1,0,20917.281208,11.9495420456,33173,0,0,0.427913831916,0.99986053288,0,0.1,0,21.0151848751
18,0.00254643895754,75414.72,75235,0.678379499387,0.000448850992127,0.0483362901927,1.84585000132e-11,6.22347691687e-12,2801,1,0,20923.6791673,11.8153748512,32489,0,0,0.428361265967,0.99986053288,0,0.1,0,21.0198870422
19,0.00254390016287,75414.72,75111,0.677261415278,0.00104381225476,0.0483362901927,1.62410841885e-11,6.07668858386e-12,2834,1,0,21473.8666248,11.7821660042,31925,0,0,0.428924933882,0.99986053288,0,0.1,0,21.5706895003
20,0.00254250649124,75414.72,75114,0.6772884657,-0.000159588754732,0.0483362901927,1.39594240247e-11,6.16475907706e-12,2875,1,0,21411.831542,11.8082499504,31191,0,0,0.419161825724,0.999875050568,0,0.1,0,41.4880169169
21,0.00254484130421,75414.72,75072,0.676909759792,-0.0174295898914,0.0483362901927,1.10010340108e-11,6.65094372057e-12,2733,1,0,20500.616292,11.829791069,27983,0,0,0.419275570664,0.999875050568,0,0.1,0,20.5939998748
22,0.00254115192642,75414.72,75016,0.676404818582,0.00205535575488,0.0483362901927,1.00342751536e-11,6.15802952375e-12,2707,1,0,20233.0678749,11.8594579697,28207,0,0,0.41954826675,0.999875050568,0,0.1,0,20.3276575836
