label,basis,knot_dx_vox,knot_dy_vox,knot_dz_vox,support_mult,support_rx_mm,support_ry_mm,support_rz_mm,lambda,knots_x,knots_y,knots_z,n_coeff,n_voxels,compression,nnz_A,cg_iters,cg_rel_resid,resid_band_rms_vox,resid_band_rms_mm,resid_all_rms_vox,resid_all_max_vox,inside_asfit,inside_src,offset_vox,offset_mm,fit_wall_s
W2,wendland,2,2,2,2,6.82111721054,6.82111721054,6.82111721054,1e-06,68,20,63,85680,468224,5.46479925303,14665984,1093,9.96618152712e-11,0.141850395382,0.241894543315,0.103066421227,0.774730869201,75851,75417,0.0563242964259,0.0960486569305,9.86513637519
W4,wendland,4,4,4,2,13.6422344211,13.6422344211,13.6422344211,1e-06,36,12,34,14688,468224,31.8779956427,15367904,824,9.63858628432e-11,0.324976834093,0.554176269014,0.190024040108,1.62521978665,75652,75417,0.00860844316034,0.0146797999492,8.92835141672
W6,wendland,6,6,6,2,20.4633516316,20.4633516316,20.4633516316,1e-06,26,10,24,6240,468224,75.0358974359,15434746,932,9.85760266074e-11,0.51748802888,0.88246162501,0.322911380651,2.23194665233,70301,75417,-0.14396906268,-0.245507462809,10.604316459
W8,wendland,8,8,8,2,27.2844688421,27.2844688421,27.2844688421,1e-06,20,8,19,3040,468224,154.021052632,15620560,974,9.95628694132e-11,0.736478716516,1.25590191211,0.473521131779,3.37311298673,65386,75417,-0.297832730738,-0.507887991375,21.8761969171
W4s3,wendland,4,4,4,3,20.4633516316,20.4633516316,20.4633516316,1e-06,38,14,36,19152,468224,24.447786132,52216256,2000,7.39099948434e-06,0.238721524321,0.407086874518,0.136985061024,1.51077593066,76460,75417,0.0741194593127,0.126394379888,81.7858864581
W4s15,wendland,4,4,4,1.5,10.2316758158,10.2316758158,10.2316758158,1e-06,36,12,34,14688,468224,31.8779956427,6664640,76,9.88420251447e-11,0.498000631312,0.849230169275,0.491485086996,2.10804385285,68447,75417,-0.139803530843,-0.238404067583,0.701953125186
G2,gaussian,2,2,2,2,6.82111721054,6.82111721054,6.82111721054,1e-06,68,20,63,85680,468224,5.46479925303,14665984,2000,2.15962173714e-07,0.125990336656,0.214848713432,0.0668066821828,0.729598839992,75675,75417,0.0430892791867,0.0734792559625,17.4051082092
G4,gaussian,4,4,4,2,13.6422344211,13.6422344211,13.6422344211,1e-06,36,12,34,14688,468224,31.8779956427,15367904,2000,9.00152612312e-10,0.282436070067,0.481632384602,0.159783498395,1.56594348872,76550,75417,0.0497687174306,0.0848695637531,21.7795895827
A424,wendland,4,2,4,2,13.6422344211,6.82111721054,13.6422344211,1e-06,36,20,34,24480,468224,19.1267973856,15049536,870,9.72575631091e-11,0.25926183236,0.442113836686,0.159484906528,1.8264463432,76294,75417,0.0466981563481,0.0796333994915,9.24074291624
TRAP-min,wendland,3,3,3,2,10.2316758158,10.2316758158,10.2316758158,1e-06,47,15,44,31020,468224,15.0942617666,15759578,857,9.73792736691e-11,0.253480654497,0.432255313732,0.141813251378,1.18175956204,76101,75417,0.0569363407545,0.0970923634563,9.39918370824
