arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
A1_mma_w2-voxel,0.68,0.680000,0.681409,40,1021.044941,0.002925,0.000000,0.000000,0.000000,-1,163164,326376,99917,59645,3602,26899,2.331865,12.075441,8.044112,0.632903,4.142300,9.990297,11.913321,7.507017,9.980473,8.798677,36824,116115,373072.474768,3.410559,4897,external,1.705279,59313,46297,27838,34002,0.149753,0.255370,0.651462
A1_mma_w2-analytic-f2,0.68,0.680000,0.681409,40,1021.044941,0.002925,0.000000,0.000000,0.000000,-1,168720,337544,100001,64684,4035,27839,2.481025,12.145300,8.073305,0.702285,4.268884,15.214983,17.546235,12.273286,14.081401,13.563102,36542,111655,374702.416138,3.410559,3661,external,0.852640,260361,197476,224693,141649,0.174653,0.148916,0.614131
A2_max-voxel,0.68,0.680000,0.683799,40,1129.216377,0.002883,0.000000,0.000000,0.000000,-1,162266,324576,98361,60297,3608,26614,2.357406,12.316142,8.145686,0.548731,4.043348,9.584868,10.724904,7.595107,10.007428,8.934794,36838,116554,374117.195035,3.410559,5393,external,1.705279,58768,47047,25306,33851,0.151990,0.259185,0.678769
A2_max-analytic-f2,0.68,0.680000,0.683799,40,1129.216377,0.002883,0.000000,0.000000,0.000000,-1,168588,337288,98565,66061,3962,27644,2.520760,12.325723,8.104657,0.628813,4.157233,15.307184,17.159003,12.598561,14.063261,14.009708,36795,112749,376084.635810,3.410559,3580,external,0.852640,257501,201781,203371,141357,0.162723,0.138744,0.650898
A3_descent_w2-voxel,0.68,0.680000,0.684736,20,547.398194,0.003110,0.000000,0.000000,0.000000,-1,157474,314960,97039,57002,3433,25569,2.383274,11.542440,7.413029,0.409068,4.041870,9.251129,9.904845,7.479459,9.739802,9.154564,35981,115650,373992.463373,3.410559,5634,external,1.705279,57069,45816,28129,32511,0.147149,0.250930,0.683984
A3_descent_w2-analytic-f2,0.68,0.680000,0.684736,20,547.398194,0.003110,0.000000,0.000000,0.000000,-1,160128,320284,96846,59401,3881,25353,2.389756,11.565297,7.433832,0.499617,4.023515,14.164061,14.842832,12.363793,13.899838,13.731301,35680,111817,376290.774822,3.410559,4483,external,0.852640,247058,194768,223589,132987,0.162158,0.138262,0.663396
A4_hilb-voxel,0.68,0.680000,0.682076,20,561.388189,0.003015,0.000000,0.000000,0.000000,-1,159584,319188,97249,58897,3438,25946,2.377165,11.772492,7.856184,0.409177,3.975807,9.326025,9.845658,7.738398,9.894142,8.988736,36646,115838,373968.703823,3.410559,5573,external,1.705279,58039,45901,28188,33396,0.168418,0.287199,0.664121
A4_hilb-analytic-f2,0.68,0.680000,0.682076,20,561.388189,0.003015,0.000000,0.000000,0.000000,-1,161670,323372,97261,60632,3777,26226,2.424250,12.001171,7.854216,0.499211,3.960417,14.098221,14.073550,12.527757,14.065669,13.899637,36359,111583,376036.513423,3.410559,4293,external,0.852640,251091,195630,225338,134910,0.159360,0.135876,0.652353
A5_a424-voxel,0.68,0.680000,0.682599,20,541.944842,0.003032,0.000000,0.000000,0.000000,-1,160462,320940,97327,59646,3489,26155,2.351207,11.701816,7.600294,0.412631,3.907170,9.593426,10.518700,7.718147,9.975713,9.046799,36737,116367,373906.422643,3.410559,5510,external,1.705279,58295,46275,28426,33518,0.161916,0.276112,0.661257
A5_a424-analytic-f2,0.68,0.680000,0.682599,20,541.944842,0.003032,0.000000,0.000000,0.000000,-1,162960,325952,97123,61879,3958,26227,2.389572,11.707661,7.610503,0.503190,3.906152,14.275018,15.080626,12.242155,14.035755,13.754365,36549,112109,375943.878017,3.410559,4216,external,0.852640,252712,196784,227913,136257,0.160948,0.137230,0.645303
