field,printed_voxels,achieved_vf,fractional_samples,max_von_mises_mpa,margin_worst_case,margin_effective,accepted,min_feature_violations,load_path_connected,frozen_solid_below_iso,frozen_solid_total,frozen_void_above_iso,frozen_restored,mass_grams
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0001,75848,0.683906802279,28224,0.0273643812344,2009.91206521,416.178004718,1,763,1,0,40216,0,0,466.448725987
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0005,75941,0.684745365361,28188,0.0226220451495,2431.25675139,503.422812006,1,822,1,0,40216,0,0,467.008289825
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0010,75883,0.684222390536,28118,0.0210534728664,2612.39560566,540.929928983,1,826,1,0,40216,0,0,466.657793794
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0015,75677,0.682364928226,28044,0.02065729143,2662.49813952,551.304299552,1,828,1,0,40216,0,0,465.409536002
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0020,75645,0.682076390392,28188,0.0213109688537,2580.83057497,534.393985587,1,799,1,0,40216,0,0,465.188170088
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0025,75877,0.684168289692,27604,0.0198792828205,2766.69940745,572.880505062,1,674,1,0,40216,0,0,466.627048528
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0030,75767,0.683176440886,27810,0.0184001528241,2989.1056083,618.932554058,1,671,1,0,40216,0,0,465.938354574
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0035,75670,0.682301810575,27825,0.0180580032886,3045.74094494,630.659625013,1,669,1,0,40216,0,0,465.323449257
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/snap/it0040,75571,0.681409146649,27838,0.0178548761751,3080.39100695,637.834363608,1,699,1,0,40216,0,0,464.739289207
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/arm2/A1_mma_w2/rho,75571,0.681409146649,27838,0.0178548761751,3080.39100695,637.834363608,1,699,1,0,40216,0,0,464.739289207
