field,printed_voxels,achieved_vf,fractional_samples,max_von_mises_mpa,margin_worst_case,margin_effective,accepted,min_feature_violations,load_path_connected
evidence/2026-08-10-parametric-level-set/fields/W2_vm_f1,75417,0.680020558321,89289,0.0428174384247,1284.52336299,265.976994455,0,455,0
evidence/2026-08-10-parametric-level-set/fields/W4_vm_f1,75417,0.680020558321,90297,0.0649896855258,846.288138726,175.234785187,0,1134,0
evidence/2026-08-10-parametric-level-set/fields/W6_vm_f1,75417,0.680020558321,96712,0.048351704252,1137.49868491,235.533654059,0,690,0
evidence/2026-08-10-parametric-level-set/fields/W8_vm_f1,75417,0.680020558321,99007,0.106166111318,518.056085105,107.270139606,0,677,0
evidence/2026-08-10-parametric-level-set/fields/W4s3_vm_f1,75417,0.680020558321,90033,0.0590270785817,931.775742957,192.936087235,0,553,0
evidence/2026-08-10-parametric-level-set/fields/W4s15_vm_f1,75417,0.680020558321,96949,0.0820967153185,669.941541347,138.719966302,0,1553,0
evidence/2026-08-10-parametric-level-set/fields/G2_vm_f1,75417,0.680020558321,89260,0.0413500151734,1330.108339,275.41594688,0,454,0
evidence/2026-08-10-parametric-level-set/fields/G4_vm_f1,75417,0.680020558321,90142,0.0614606298416,894.881815265,185.296727544,0,906,0
evidence/2026-08-10-parametric-level-set/fields/A424_vm_f1,75417,0.680020558321,90133,0.0695461990362,790.841207172,163.753788709,0,924,0
evidence/2026-08-10-parametric-level-set/fields/TRAP-min_vm_f1,75417,0.680020558321,90163,0.0436833546038,1259.06081387,260.704647932,0,729,0
evidence/2026-08-10-parametric-level-set/traj/G2i0005_vm_f1,75404,0.679903339825,89643,0.0416516681496,1320.47532412,273.421307919,0,585,0
evidence/2026-08-10-parametric-level-set/traj/A424i0005_vm_f1,75404,0.679903339825,90594,0.0736992566706,746.276183569,154.526030478,0,987,0
evidence/2026-08-10-parametric-level-set/traj/G2i0010_vm_f1,75315,0.679100843973,89586,0.042163612538,1304.44230675,270.101466572,0,497,0
evidence/2026-08-10-parametric-level-set/traj/A424i0010_vm_f1,75315,0.679100843973,90622,0.0700455788755,785.203018991,162.58632972,0,946,0
evidence/2026-08-10-parametric-level-set/traj/G2i0015_vm_f1,75384,0.679723003679,89483,0.0418453575237,1314.36324732,272.155724229,0,466,0
evidence/2026-08-10-parametric-level-set/traj/A424i0015_vm_f1,75384,0.679723003679,90432,0.0699297834069,786.503222525,162.855553494,0,965,0
evidence/2026-08-10-parametric-level-set/traj/G2i0020_vm_f1,75393,0.679804154945,89370,0.0417043816052,1318.80627126,273.075709173,0,459,0
evidence/2026-08-10-parametric-level-set/traj/A424i0020_vm_f1,75393,0.679804154945,90310,0.0696359676974,789.821723151,163.5426915,0,947,0
evidence/2026-08-10-parametric-level-set/traj/G2i0025_vm_f1,75417,0.680020558321,89260,0.0413500151734,1330.108339,275.41594688,0,454,0
evidence/2026-08-10-parametric-level-set/traj/A424i0025_vm_f1,75417,0.680020558321,90133,0.0695461990362,790.841207172,163.753788709,0,924,0
evidence/2026-08-10-parametric-level-set/sources/C2it0005,75404,0.679903339825,22935,0.027122926384,2027.80478851,419.882921969,1,680,1
evidence/2026-08-10-parametric-level-set/sources/C2it0010,75315,0.679100843973,20208,0.0213678797232,2573.95683205,532.970689183,1,538,1
evidence/2026-08-10-parametric-level-set/sources/C2it0015,75384,0.679723003679,19575,0.0207166578567,2654.86838565,549.72446141,1,509,1
evidence/2026-08-10-parametric-level-set/sources/C2it0020,75393,0.679804154945,19460,0.0173391449725,3172.01338861,656.805949803,1,507,1
evidence/2026-08-10-parametric-level-set/sources/C2it25,75417,0.680020558321,19250,0.0272958302979,2014.95977223,417.22319703,1,500,1
evidence/2026-08-10-parametric-level-set/sources/simp/rung_0.68,88424,0.797302171247,28374,0.0169004939895,3254.3427449,673.853296213,1,407,1
