field,printed_voxels,achieved_vf,fractional_samples,max_von_mises_mpa,margin_worst_case,margin_effective,accepted,min_feature_violations,load_path_connected,frozen_solid_below_iso,frozen_solid_total,frozen_void_above_iso,frozen_restored,mass_grams
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/W2_vm_f1,75412,0.679975474284,89289,0.0280913873592,1957.89546798,405.407302845,1,484,1,83,40216,88,1,463.730844487
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/W4_vm_f1,76322,0.688180768953,90297,0.0195823345253,2808.65388797,581.567716951,1,580,1,2301,40216,1396,1,469.36952624
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/W6_vm_f1,77413,0.698018105749,96712,0.0213152185494,2580.31602503,534.28744144,1,492,1,6554,40216,4558,1,476.065845138
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/W8_vm_f1,82383,0.742831638174,99007,0.0170319787727,3229.21961881,668.651231571,1,486,1,9979,40216,3013,1,506.66353369
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/W4s3_vm_f1,75776,0.683257592152,90033,0.0229761136891,2393.79038354,495.664921256,1,497,1,775,40216,416,1,465.95065268
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/W4s15_vm_f1,77096,0.695159777826,96949,0.0171617693415,3204.7977633,663.594373973,1,445,1,6593,40216,4914,1,474.141191497
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/G2_vm_f1,75413,0.679984491091,89260,0.0280267108941,1962.41364917,406.342850058,1,478,1,40,40216,44,1,463.761589753
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/G4_vm_f1,76136,0.68650364279,90142,0.020211777883,2721.18565315,563.456300003,1,509,1,1452,40216,733,1,468.195057086
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/A424_vm_f1,75723,0.682779701363,90133,0.0170767080429,3220.76127682,666.899823659,1,477,1,1275,40216,969,1,465.673945288
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-variant-margin-tolerance-f0902f/evidence/2026-08-10-parametric-level-set/fields/TRAP-min_vm_f1,75819,0.683645314867,90163,0.0184884791948,2974.82553435,615.97568207,1,514,1,939,40216,537,1,466.258105338
