rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1786325681714,0.0042011018,0.633478,0,881,0,0,1,300,0,0,1.000000,94210.246,0.000,2.212,0.153,94178.260,94164.664,13.575,26.061,1.261,0.804,1.494,16.356,571.266,6052.621,4122.653,80654.125,2546.257,198.469,1,3760,1674,3,500,0,419.78,436.05,35.56,3055.27,112,0
0,2,1786325696764,0.003363267927,0.642622,0,1095,0,0,1,300,0,16,1.000000,15049.775,0.010,1.885,0.154,15025.749,15012.904,12.839,20.515,1.174,0.043,0.255,13.078,603.585,5966.867,5123.304,1.750,0.000,3302.921,1,2316,1674,5,1095,4610,487.56,534.47,23.03,3153.58,112,0
0,3,1786325710737,0.00271717069,0.652093,0,939,0,0,1,300,0,16,1.000000,13973.214,0.012,1.959,0.154,13948.815,13936.794,12.019,20.205,1.015,0.813,0.252,10.918,557.537,6011.776,4404.756,1.752,0.000,2948.705,1,2160,1674,5,939,4610,494.24,615.23,40.98,3121.83,112,0
0,4,1786325718642,0.002522719838,0.663893,0,999,0,0,0,0,0,16,1.000000,7905.039,0.002,1.900,0.162,7880.459,7868.335,12.123,21.177,1.046,0.044,0.250,11.551,0.000,0.000,4770.540,1.698,0.000,3083.286,1,1017,1674,5,999,4610,421.19,615.23,19.36,3294.58,112,0
0,5,1786325725409,0.002454032329,0.675471,0,850,0,0,0,0,0,16,1.000000,6766.908,0.003,1.921,0.165,6743.125,6731.227,11.896,20.377,1.034,0.046,0.240,10.318,0.000,0.000,3987.185,1.816,0.000,2730.646,1,868,1674,5,850,4610,422.77,615.23,19.34,3303.16,112,0
0,6,1786325731454,0.002427871812,0.678148,0,745,0,0,0,0,0,16,1.000000,6044.105,0.002,1.908,0.160,6019.247,6007.432,11.814,21.463,1.029,0.055,0.244,9.585,0.000,0.000,3502.651,1.679,0.000,2492.291,1,763,1674,5,745,4610,413.33,615.23,19.33,3328.88,112,0
0,7,1786325738364,0.002418675285,0.678763,0,866,0,0,0,0,0,16,1.000000,6910.415,0.003,1.936,0.156,6886.163,6874.116,12.047,20.493,1.022,0.403,0.241,10.739,0.000,0.000,4093.314,1.719,0.000,2767.079,1,884,1674,5,866,4610,420.63,615.23,19.48,3320.02,112,0
0,8,1786325744854,0.002414043521,0.679086,0,807,0,0,0,0,0,16,1.000000,6490.010,0.014,1.970,0.165,6465.365,6453.563,11.801,21.171,1.042,0.054,0.243,10.227,0.000,0.000,3800.934,1.721,0.000,2639.508,1,825,1674,5,807,4610,413.81,615.23,19.44,3384.00,112,0
0,9,1786325750770,0.002410994922,0.679209,0,733,0,0,0,0,0,16,1.000000,5915.766,0.002,1.912,0.157,5893.193,5881.293,11.899,19.196,1.023,0.045,0.240,10.253,0.000,0.000,3419.739,1.722,0.000,2448.396,1,751,1674,5,733,4610,414.67,615.23,19.42,3351.48,112,0
0,10,1786325756287,0.002408679538,0.679343,0,667,0,0,0,0,0,16,1.000000,5517.290,0.012,1.857,0.155,5493.304,5481.344,11.960,20.629,1.044,0.047,0.254,10.468,0.000,0.000,3148.015,1.706,0.000,2319.968,1,685,1674,5,667,4610,413.05,615.23,19.41,3394.45,112,0
0,11,1786325762310,0.00240680237,0.679565,0,741,0,0,0,0,0,16,1.000000,6022.156,0.003,1.831,0.157,5993.726,5981.621,12.102,23.776,1.024,0.809,0.833,10.458,0.000,0.000,3487.329,1.750,0.000,2480.249,1,759,1674,5,741,4610,388.63,615.23,73.66,3151.11,112,0
0,12,1786325767786,0.002405487887,0.679699,0,656,0,0,0,0,0,16,1.000000,5476.598,0.008,1.907,0.151,5451.193,5439.253,11.938,21.980,1.092,0.043,0.232,12.558,0.000,0.000,3116.400,1.735,0.000,2306.945,1,674,1674,5,656,4610,413.45,615.23,104.36,3418.28,112,0
0,13,1786325774300,0.002404627084,0.679768,0,783,0,0,0,0,0,16,1.000000,6514.120,0.009,1.864,0.156,6489.134,6477.124,12.008,21.421,1.028,0.265,0.253,10.754,0.000,0.000,3855.437,1.720,0.000,2608.046,1,801,1674,5,783,4610,409.80,615.23,101.02,3489.61,112,0
