rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1786329689711,0.0042011018,0.633478,0,881,0,0,1,300,0,0,1.000000,109045.651,0.000,3.941,0.212,109005.694,108991.861,13.825,32.970,1.330,0.419,1.086,34.882,638.640,8494.271,6340.601,90317.199,2907.880,253.617,1,3760,1674,3,500,0,426.63,426.63,84.67,3326.19,210,0
0,2,1786329709215,0.003363076698,0.642629,0,1128,0,0,1,300,0,16,1.000000,19503.264,0.024,2.080,0.166,19474.673,19461.529,13.137,24.711,1.103,0.265,0.266,17.380,597.072,7799.505,7041.882,1.815,0.000,4001.970,1,2350,1674,5,1128,4610,488.47,548.22,92.41,3095.55,210,0
0,3,1786329728170,0.002716941788,0.652105,0,891,0,0,1,300,0,16,1.000000,18955.857,0.015,2.509,0.169,18899.344,18877.570,21.766,49.274,1.378,0.834,2.347,20.558,591.060,7956.819,6637.986,1.914,0.000,3665.399,1,2113,1674,5,891,4610,490.56,548.22,203.86,2923.59,210,0
0,4,1786329736176,0.002522505731,0.663892,0,623,0,0,0,0,0,16,1.000000,8005.713,0.020,3.444,0.173,7963.233,7950.518,12.712,37.424,1.073,0.064,0.303,23.467,0.000,0.000,4984.445,1.827,0.000,2938.136,1,641,1674,5,623,4610,408.45,548.22,128.94,3051.84,210,0
0,5,1786329742830,0.002454073725,0.675471,0,578,0,0,0,0,0,16,1.000000,6653.600,0.009,1.940,0.165,6621.188,6608.557,12.627,25.975,1.052,2.941,0.339,13.943,0.000,0.000,3930.680,1.874,0.000,2660.307,1,596,1674,5,578,4610,418.74,548.22,121.14,3174.69,210,0
0,6,1786329747784,0.002427885581,0.678149,0,460,0,0,0,0,0,16,1.000000,4954.080,0.003,2.057,0.165,4925.375,4912.718,12.654,25.108,1.049,0.050,0.275,11.603,0.000,0.000,2805.969,1.787,0.000,2091.645,1,478,1674,5,460,4610,417.14,548.22,121.00,3205.83,210,0
0,7,1786329751794,0.002418493497,0.678764,0,341,0,0,0,0,0,16,1.000000,4009.645,0.003,2.124,0.159,3979.041,3967.017,12.022,26.169,1.071,0.777,0.304,11.563,0.000,0.000,2148.608,1.749,0.000,1803.377,1,359,1674,5,341,4610,389.34,548.22,120.95,3267.91,210,0
0,8,1786329755276,0.00241412503,0.679088,0,270,0,0,0,0,0,16,1.000000,3482.438,0.022,2.016,0.160,3454.807,3441.978,12.826,24.062,1.047,0.045,0.302,11.646,0.000,0.000,1782.671,1.747,0.000,1644.257,1,288,1674,5,270,4610,417.56,548.22,120.89,3198.42,210,0
0,9,1786329758132,0.002411437486,0.679214,0,220,0,0,0,0,0,16,1.000000,2855.306,0.002,2.048,0.159,2823.151,2810.765,12.382,28.484,1.038,0.057,0.370,11.146,0.000,0.000,1354.599,1.780,0.000,1441.376,1,238,1674,5,220,4610,417.56,548.22,120.86,3176.78,210,0
0,10,1786329760803,0.002409033258,0.679342,0,200,0,0,0,0,0,16,1.000000,2671.741,0.002,1.993,0.173,2645.768,2633.862,11.904,22.496,1.026,0.045,0.241,11.185,0.000,0.000,1192.458,1.775,0.000,1426.721,1,218,1674,5,200,4610,412.08,548.22,120.86,3152.20,210,0
0,11,1786329763050,0.002407339126,0.679563,0,164,0,0,0,0,0,16,1.000000,2246.141,0.002,2.040,0.276,2218.470,2206.383,12.084,23.995,1.035,0.051,0.274,10.104,0.000,0.000,947.669,1.727,0.000,1245.230,1,182,1674,5,164,4610,412.08,548.22,120.83,3125.05,210,0
0,12,1786329765217,0.002405885436,0.679701,0,147,0,0,0,0,0,16,1.000000,2167.567,0.011,2.022,0.166,2138.258,2126.231,12.025,25.721,1.055,0.061,0.284,10.749,0.000,0.000,874.228,1.784,0.000,1237.748,1,165,1674,5,147,4610,411.81,548.22,120.81,3146.42,210,0
0,13,1786329767379,0.002404907498,0.679768,0,135,0,0,0,0,0,16,1.000000,2161.988,0.003,2.066,0.168,2131.668,2119.487,12.178,26.606,1.040,0.157,0.283,10.717,0.000,0.000,874.450,1.802,0.000,1230.870,1,153,1674,5,135,4610,411.81,548.22,120.78,3111.56,210,0
0,14,1786329769539,0.002404204481,0.679816,0,130,0,0,0,0,0,16,1.000000,2160.086,0.003,2.122,0.161,2129.913,2117.927,11.985,26.530,1.041,0.047,0.271,10.868,0.000,0.000,886.772,1.741,0.000,1216.824,1,148,1674,5,130,4610,389.52,548.22,120.78,3142.58,210,0
0,15,1786329771743,0.00240366047,0.679835,0,131,0,0,0,0,0,16,1.000000,2204.265,0.002,2.030,0.162,2169.279,2156.748,12.529,30.726,1.067,0.036,0.964,10.705,0.000,0.000,897.175,1.774,0.000,1244.645,1,149,1674,5,131,4610,413.13,548.22,120.92,3116.14,210,0
0,16,1786329774258,0.002403168287,0.679872,0,130,0,0,0,0,0,16,1.000000,2514.329,0.002,2.037,0.167,2486.394,2473.963,12.429,24.220,1.086,0.132,0.293,14.709,0.000,0.000,1045.801,2.240,0.000,1408.617,1,148,1674,5,130,4610,413.11,548.22,120.92,3117.41,210,0
0,17,1786329776521,0.002402802073,0.679892,0,125,0,0,0,0,0,16,1.000000,2263.351,0.003,1.963,0.164,2229.514,2217.184,12.326,30.300,1.065,0.050,0.295,10.819,0.000,0.000,935.769,1.955,0.000,1266.977,1,143,1674,5,125,4610,416.28,548.22,121.22,3147.03,210,0
0,18,1786329778748,0.00240250789,0.679913,0,125,0,0,0,0,0,16,1.000000,2226.675,0.011,2.098,0.165,2198.958,2182.160,16.795,23.883,1.064,0.059,0.448,11.041,0.000,0.000,893.458,1.756,0.000,1274.121,1,143,1674,5,125,4610,422.16,548.22,121.19,3105.08,210,0
0,19,1786329781076,0.002402291805,0.679920,0,121,0,0,0,0,0,16,1.000000,2327.965,0.004,2.027,0.167,2297.172,2284.774,12.395,26.445,1.039,0.846,0.270,11.347,0.000,0.000,942.055,1.807,0.000,1323.127,1,139,1674,5,121,4610,422.99,548.22,141.61,2608.31,210,0
0,20,1786329782570,0.002402248735,0.679924,0,55,0,0,0,0,0,16,1.000000,1494.169,0.003,2.051,0.180,1466.611,1453.616,12.991,23.962,1.053,0.051,0.260,14.433,0.000,0.000,377.040,1.828,0.000,1058.608,1,73,1674,5,55,4610,429.66,548.22,127.62,2776.47,210,0
0,21,1786329784837,0.002401966481,0.679929,0,131,0,0,0,0,0,16,1.000000,2266.394,0.003,2.252,0.166,2235.955,2223.627,12.325,26.567,1.141,0.059,0.254,11.107,0.000,0.000,936.202,1.744,0.000,1272.828,1,149,1674,5,131,4610,416.28,548.22,122.36,2816.12,210,0
0,22,1786329786202,0.002402022313,0.679931,0,46,0,0,0,0,0,16,1.000000,1364.840,0.009,2.054,0.166,1331.036,1316.676,14.358,29.614,1.098,0.046,0.825,11.556,0.000,0.000,276.976,1.776,0.000,1023.693,1,64,1674,5,46,4610,416.28,548.22,121.30,2992.42,210,0
0,23,1786329788324,0.002401531771,0.679936,0,129,0,0,0,0,0,16,1.000000,2122.600,0.004,2.067,0.164,2095.192,2083.315,11.876,23.804,1.043,0.047,0.282,13.558,0.000,0.000,825.930,1.741,0.000,1240.367,1,147,1674,5,129,4610,416.58,548.22,121.23,3189.17,210,0
0,24,1786329789643,0.002401679252,0.679939,0,44,0,0,0,0,0,16,1.000000,1318.329,0.003,1.985,0.160,1289.108,1276.969,12.136,25.648,1.065,0.047,0.315,10.509,0.000,0.000,296.896,1.790,0.000,966.060,1,62,1674,5,44,4610,416.64,548.22,121.23,3401.78,210,0
0,25,1786329791618,0.002401252668,0.679941,0,121,0,0,0,0,0,16,1.000000,1975.123,0.002,2.043,0.164,1946.974,1935.040,11.932,24.543,1.072,0.058,0.269,12.445,0.000,0.000,737.910,1.764,0.000,1181.264,1,139,1674,5,121,4610,422.86,548.22,121.16,3390.81,210,0
0,26,1786329792916,0.002401436157,0.679944,1,43,0,0,0,0,0,16,1.000000,1298.570,0.006,2.111,0.162,1268.914,1256.484,12.427,25.976,1.060,0.047,0.302,11.764,0.000,0.000,268.889,1.743,0.000,972.413,1,61,1674,5,43,4610,409.80,548.22,121.16,3400.72,210,0
1,1,1786329852982,0.003603120914,0.499469,0,990,0,0,0,0,0,16,1.000000,10510.046,0.000,2.215,0.180,10476.595,10463.782,12.806,29.595,1.111,0.065,0.285,21.254,0.000,0.000,6620.641,1.812,0.000,3818.083,1,1008,1674,5,990,4610,458.19,548.22,139.89,3099.70,230,0
1,2,1786329861021,0.003200122444,0.512580,0,758,0,0,0,0,0,16,1.000000,8039.004,0.008,1.975,0.161,8007.609,7994.706,12.898,27.607,1.343,0.057,0.252,12.792,0.000,0.000,4941.030,1.739,0.000,3036.644,1,776,1674,5,758,4610,485.03,548.22,190.83,2955.92,230,0
1,3,1786329869249,0.002891236632,0.516282,0,602,0,0,0,0,0,16,1.000000,8226.855,0.012,2.215,0.157,8183.285,8169.096,14.185,37.473,1.190,0.072,2.462,12.250,0.000,0.000,5057.653,1.837,0.000,3095.393,1,620,1674,5,602,4610,484.11,548.22,193.05,3174.59,230,0
1,4,1786329876728,0.002790849588,0.516947,0,546,0,0,0,0,0,16,1.000000,7478.256,0.007,2.061,0.160,7437.512,7424.418,13.091,36.910,1.107,0.071,0.436,14.287,0.000,0.000,4650.486,1.795,0.000,2755.162,1,564,1674,5,546,4610,468.05,548.22,195.80,3080.88,230,0
1,5,1786329882656,0.002731318431,0.517031,0,441,0,0,0,0,0,16,1.000000,5928.034,0.008,2.250,0.160,5887.169,5874.768,12.398,34.893,1.545,0.057,1.960,14.741,0.000,0.000,3464.785,1.795,0.000,2391.345,1,459,1674,5,441,4610,476.83,548.22,206.30,2910.17,230,0
1,6,1786329888264,0.002684014719,0.517490,0,463,0,0,0,0,0,16,1.000000,5607.625,0.003,2.042,0.158,5567.467,5554.580,12.886,36.052,1.247,0.048,0.611,17.026,0.000,0.000,3263.954,1.773,0.000,2269.330,1,481,1674,5,463,4610,489.22,548.22,201.34,2762.95,230,0
1,7,1786329894229,0.002645270135,0.518234,0,454,0,0,0,0,0,16,1.000000,5965.291,0.003,2.349,0.172,5933.531,5920.148,13.380,27.061,1.168,0.028,0.982,17.725,0.000,0.000,3508.269,2.297,0.000,2389.611,1,472,1674,5,454,4610,491.64,548.22,189.14,2966.08,230,0
1,8,1786329899810,0.002618546834,0.518882,0,435,0,0,0,0,0,16,1.000000,5580.862,0.007,2.122,0.243,5545.699,5532.169,13.526,30.981,1.246,0.048,0.522,13.486,0.000,0.000,3043.823,1.779,0.000,2469.632,1,453,1674,5,435,4610,500.17,548.22,213.30,2836.02,230,0
1,9,1786329903868,0.002602556529,0.519255,0,316,0,0,0,0,0,16,1.000000,4057.878,0.003,2.305,0.163,4023.619,4011.482,12.136,30.391,1.042,0.066,0.292,15.697,0.000,0.000,2119.126,1.795,0.000,1873.068,1,334,1674,5,316,4610,478.34,548.22,185.89,2719.80,230,0
1,10,1786329907087,0.002593102432,0.519413,0,267,0,0,0,0,0,16,1.000000,3218.694,0.011,1.977,0.160,3187.203,3174.399,12.804,27.170,1.052,0.062,1.070,12.062,0.000,0.000,1619.912,1.738,0.000,1538.869,1,285,1674,5,267,4610,481.84,548.22,185.88,2893.19,230,0
1,11,1786329910658,0.002586483479,0.519516,0,267,0,0,0,0,0,16,1.000000,3571.097,0.003,2.155,0.175,3539.732,3526.588,13.141,27.604,1.067,0.056,0.308,12.189,0.000,0.000,1879.362,1.768,0.000,1630.622,1,285,1674,5,267,4610,485.27,548.22,188.89,2969.39,230,0
1,12,1786329913474,0.002581487062,0.519616,0,216,0,0,0,0,0,16,1.000000,2815.676,0.019,2.021,0.161,2786.254,2773.792,12.460,25.793,1.059,0.050,0.338,12.756,0.000,0.000,1323.418,1.776,0.000,1434.044,1,234,1674,5,216,4610,477.80,548.22,186.03,3016.64,230,0
1,13,1786329916406,0.002577605846,0.519715,0,203,0,0,0,0,0,16,1.000000,2931.681,0.003,2.313,0.158,2901.128,2888.585,12.540,26.609,1.140,0.051,0.283,11.377,0.000,0.000,1446.070,1.776,0.000,1427.414,1,221,1674,5,203,4610,491.55,548.22,192.69,3082.25,230,0
1,14,1786329918364,0.002575764035,0.519781,0,125,0,0,0,0,0,16,1.000000,1958.199,0.011,1.999,0.179,1930.213,1918.077,12.136,24.463,1.027,0.056,0.261,14.572,0.000,0.000,728.201,1.749,0.000,1171.762,1,143,1674,5,125,4610,493.25,548.22,185.94,3001.36,230,32768
1,15,1786329920702,0.002573375384,0.519832,0,159,0,0,0,0,0,16,1.000000,2338.087,0.003,2.086,0.164,2306.982,2294.568,12.412,27.468,1.075,0.044,0.268,11.921,0.000,0.000,976.427,1.730,0.000,1302.742,1,177,1674,5,159,4610,481.92,548.22,186.08,2972.47,230,32768
1,16,1786329923008,0.002571675794,0.519871,0,158,0,0,0,0,0,16,1.000000,2305.457,0.003,1.978,0.169,2276.280,2263.514,12.764,25.669,1.039,0.055,0.268,11.077,0.000,0.000,960.341,1.744,0.000,1288.491,1,176,1674,5,158,4610,482.69,548.22,186.06,2955.70,230,32768
