iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
1,0.00870153360602,75415,75415,0.680002524706,0.909004941765,0.0483362901927,1.04620081051e-08,4.60960136598e-10,1153,1,0,107764.493042,14.867000103,61028,0,0,0.320945939333,0.999889597463,0,0.1,0.368103697458,1,51889.6388706,0,1.90423743818,157.369274834
2,0.00783036254724,75414,75414,0.679993507899,-0.00886851965781,0.0483362901927,7.91296119869e-09,3.50373050214e-10,2269,1,0,17078.4394579,12.1579170227,62977,0,0,0.320260974886,0.999947169896,0,0.1,0.366571440303,1,51628.9759314,0,1.79100140337,52.4114467907
3,0.00710591533604,75414,75414,0.679993507899,-0.0105584575267,0.0483362901927,5.57569081854e-09,2.71488212632e-10,2243,1,0,16690.795125,11.8244590759,63381,0,0,0.319562860059,0.999889597463,0,0.1,0.365893042597,1,51212.4262018,0,1.69799144543,52.1633299161
4,0.00652997295526,75415,75415,0.680002524706,-0.00946025713336,0.0483362901927,3.68071433109e-09,2.16187796313e-10,2218,1,0,16664.1068749,12.3682918549,63687,0,0,0.320674936296,0.999889597463,0,0.1,0.366352969806,1,50575.2677259,0,1.62487792615,51.1834788332
5,0.00604865255065,75414,75414,0.679993507899,-0.0107004583747,0.0483362901927,2.25159887564e-09,1.78264542293e-10,2177,1,0,16874.5128341,12.3820409775,63863,0,0,0.294622036748,0.999893535433,0,0.1,0.367300906453,1,49734.0056451,0,1.56512365475,67.627880625
6,0.00540688791926,75415,75415,0.680002524706,-0.0057952167464,0.0483362901927,1.64200964946e-09,1.27651178442e-10,2204,1,0,16554.5089159,12.1479167938,63683,0,0,0.294000671535,0.999893535433,0,0.1,0.372578215781,1,51224.9736714,0,1.46279068629,50.658356417
7,0.00514813078859,75415,75415,0.680002524706,-0.00330951745228,0.0483362901927,1.51617022638e-09,1.13210470401e-10,2213,1,0,16540.2780843,12.0368328094,63574,0,0,0.293830644328,0.999893535433,0,0.1,0.370466572492,1,49995.9904348,0,1.43431130362,50.3691496253
8,0.00483463616758,75414,75414,0.679993507899,-0.0202941893304,0.0483362901927,1.07453992096e-09,9.85369285169e-11,2211,1,0,16793.509584,12.4033751488,62474,0,0,0.292996399971,0.999893535433,0,0.1,0.369416289249,1,48611.0577596,0,1.40058388906,51.3793383748
9,0.00462237013411,75414,75414,0.679993507899,-0.0079432227222,0.0483362901927,7.75440211921e-10,9.04110409417e-11,2200,1,0,16142.2008748,11.7058753967,61356,0,0,0.292693026788,0.999893535433,0,0.1,0.366603787164,1,47064.3086418,0,1.3785173352,50.4644716671
10,0.00449747064805,75414,75414,0.679993507899,0.00666220579446,0.0483362901927,6.15445748427e-10,8.66486570451e-11,2207,1,0,16263.2357502,13.5242500305,60281,0,0,0.291470260849,0.999967451744,0,0.1,0.3662139822,1,45351.9256374,0,1.36630852041,67.8592431666
11,0.00433814488777,75414,75414,0.679993507899,-0.000554745099846,0.0483362901927,5.03454924451e-10,7.15794209649e-11,2230,1,0,16976.2458749,13.1507911682,57944,0,0,0.289679585149,0.999967451744,0,0.1,0.353105597896,1,44572.5647206,0,1.33432753959,52.9389290423
12,0.0041723014541,75414,75414,0.679993507899,-0.0102483573966,0.0483362901927,5.96473149492e-10,6.6488827243e-11,2271,1,0,16900.8057079,12.2617917061,56408,0,0,0.288612738072,0.999967451744,0,0.1,0.348990059982,1,42774.296116,0,1.31545080691,53.547109541
13,0.00406636200217,75414,75414,0.679993507899,0.00226287550514,0.0483362901927,5.93941500077e-10,6.43688810746e-11,2302,1,0,17011.7139163,12.0501670837,54386,0,0,0.289514726981,0.999967451744,0,0.1,0.350579923252,1,40904.14035,0,1.30376167966,53.854763458
14,0.00397388345428,75415,75415,0.680002524706,0.00322068489748,0.0483362901927,5.45606774852e-10,6.33132327356e-11,2346,1,0,17365.6887503,12.0529999733,52938,0,0,0.291304493885,0.999967451744,0,0.1,0.352897591251,1,39022.2893616,0,1.29354923864,53.9769910839
15,0.0038048852758,75414,75414,0.679993507899,-0.0253307876512,0.0483362901927,6.70057828551e-10,5.70444798784e-11,2361,1,0,17524.8987498,12.2352910042,50817,0,0,0.309348225306,0.999935226367,0,0.1,0.358972131321,1,37314.6908041,0,1.27292560508,71.1185726668
16,0.00367997025536,75414,75414,0.679993507899,0.000329276151746,0.0483362901927,6.41531712894e-10,5.04676949127e-11,2605,1,0,19107.7950411,12.3445839882,47259,0,0,0.309787662984,0.999935226367,0,0.1,0.365160881606,1,34919.191657,0,1.24185331957,58.5581920003
17,0.00359129141576,75415,75415,0.680002524706,-0.00745188389328,0.0483362901927,6.37271349894e-10,4.93124090959e-11,2644,1,0,19468.046,12.1349577904,45759,0,0,0.31017977945,0.999935226367,0,0.1,0.367926500256,1,33197.3728408,0,1.23068261524,58.5560908327
18,0.00350757602794,75414,75414,0.679993507899,-0.00852996908906,0.0483362901927,5.49835111327e-10,4.78990513324e-11,2697,1,0,19788.6008329,12.0253329277,44542,0,0,0.311047740301,0.999935226367,0,0.1,0.369554311895,1,31519.2051771,0,1.21965889419,59.4702299577
19,0.00347279592637,75414,75414,0.679993507899,0.0110128706709,0.0483362901927,4.83875424039e-10,5.02534926845e-11,2779,1,0,20981.4638333,12.6371669769,43478,0,0,0.312915506728,0.999935226367,0,0.1,0.371234477215,1,29828.4141997,0,1.21564104368,61.1129938751
20,0.0034267751702,75414,75414,0.679993507899,0.00395846446617,0.0483362901927,4.07850943602e-10,5.1269723968e-11,2852,1,0,20869.7733331,11.8616671562,42506,0,0,0.315783414372,0.998527895469,0,0.1,0.373677330276,1,28238.823922,0,1.20953206927,78.27141775
21,0.00330262297073,75414,75414,0.679993507899,-0.00952941628829,0.0483362901927,3.16926602714e-10,5.7484248513e-11,2963,1,0,21860.6954169,12.736374855,34289,0,0,0.316319145426,0.998527895469,0,0.1,0.377783177109,1,23984.2430135,0,1.17756657187,67.1255722921
22,0.00327279841194,75414,75414,0.679993507899,0.00254007826378,0.0483362901927,2.62507228447e-10,5.96226885122e-11,2976,1,0,21783.263083,12.2812080383,33391,0,0,0.317394184567,0.998527895469,0,0.1,0.377477710383,1,22978.3979067,0,1.17363998166,67.423682333
23,0.0032406931868,75415,75415,0.680002524706,-0.000433699322045,0.0483362901927,2.13093758179e-10,6.08814514962e-11,2994,1,0,21995.9428344,12.9535827637,32589,0,0,0.318919903662,0.998527895469,0,0.1,0.377592063142,1,22026.7390628,0,1.16908877065,67.8958051251
24,0.00322355884809,75414,75414,0.679993507899,0.00670195501081,0.0483362901927,2.2606839276e-10,6.35036644785e-11,2994,1,0,22174.3372498,13.0258750916,31813,0,0,0.320878830169,0.998527895469,0,0.1,0.376366320312,1,21193.592625,0,1.16700434477,67.7960455832
25,0.00320427111716,75415,75415,0.680002524706,0.00406999082418,0.0483362901927,2.71915164841e-10,6.47918620339e-11,3045,1,0,22314.5082912,12.388999939,31233,0,0,0.321892519191,0.999389695435,0,0.1,0.375919130379,1,20415.8712495,0,1.16429030042,84.4636835838
26,0.00314343450338,75415,75415,0.680002524706,0.00870717833846,0.0483362901927,2.95215133196e-10,7.07013437613e-11,2946,1,0,22222.1827502,12.6185836792,26175,0,0,0.3224129917,0.999389695435,0,0.1,0.348995302329,1,19085.6837913,0,1.14402252342,66.766735333
27,0.00312281134055,75415,75415,0.680002524706,-0.00199340448188,0.0483362901927,2.96803388812e-10,6.94046480392e-11,2945,1,0,21778.8540831,11.7246251106,25748,0,0,0.322974355931,0.999389695435,0,0.1,0.348688469719,1,18504.0134831,0,1.1403484878,65.9567810833
28,0.00310535543872,75414,75414,0.679993507899,-0.000676941167442,0.0483362901927,2.59215402541e-10,6.79232391763e-11,2966,1,0,21605.3282919,11.8274998665,25331,0,0,0.323745839946,0.999389695435,0,0.1,0.348720460993,1,17987.442721,0,1.1371741871,65.8961030422
29,0.00308904995234,75414,75414,0.679993507899,0.000121364067622,0.0483362901927,2.20843736668e-10,6.59912787557e-11,2968,1,0,22082.3873749,19.476000309,25147,0,0,0.324814811639,0.999389695435,0,0.1,0.348313088195,1,17516.4452005,0,1.13402226638,66.229139125
30,0.00306730490848,75415,75415,0.680002524706,-0.00430216854398,0.0483362901927,1.93431097847e-10,6.28787301571e-11,2967,1,0,21842.7970424,13.178082943,24864,0,0,0.327720383563,0.999672413673,0,0.1,0.34830015068,1,17009.9156097,0,1.12958234871,83.2187609999
31,0.00302277512823,75414,75414,0.679993507899,0.00739702368965,0.0483362901927,1.79943192916e-10,5.87835763423e-11,2875,1,0,21095.8508329,12.1061248779,23009,0,0,0.328319467322,0.999672413673,0,0.1,0.341159404594,1,16522.2427515,0,1.11443315166,65.4975991249
32,0.00300836442626,75414,75414,0.679993507899,-0.00103839368765,0.0483362901927,1.54802826565e-10,5.63717902127e-11,2800,1,0,20708.3641658,11.8610420227,22619,0,0,0.328750075317,0.999672413673,0,0.1,0.33917067133,1,16078.7739998,0,1.11138128807,65.3382973331
33,0.00299806780706,75414,75414,0.679993507899,0.000853630631869,0.0483362901927,1.52341759443e-10,5.45085380023e-11,2801,1,0,20536.1474171,11.9260420799,22370,0,0,0.329493502,0.999672413673,0,0.1,0.337736218939,1,15704.1618856,0,1.1091863148,65.4744643746
