iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
1,0.00456956334937,75415,75415,0.680002524706,0.909004941765,0.0483362901927,3.83905138232e-10,3.00061591588e-11,1153,1,0,114990.804917,16.1130423546,61028,0,0,0.321327754069,0.999889597463,0,0.1,0,0,51889.6388706,1,1,16848,115.211162416
2,0.00433050193645,75414,75414,0.679993507899,-0.0129027118954,0.0483362901927,3.21935082207e-10,2.6709508226e-11,2267,1,0,26420.2684999,12.7504162788,61829,0,0,0.3188236912,0.999889597463,0,0.1,0,0,51959.5989407,1,1,16926,26.5416231253
3,0.0041736972617,75415,75415,0.680002524706,-0.000280381863256,0.0483362901927,2.79537848244e-10,2.48440812311e-11,2252,1,0,26836.7033753,13.4460420609,62227,0,0,0.318824845332,0.999889597463,0,0.1,0,0,51601.7423403,1,1,17660,27.0071308753
4,0.00399375675928,75414,75414,0.679993507899,-0.0133292459959,0.0483362901927,2.31453372338e-10,2.28175314997e-11,2231,1,0,18370.1733747,12.5758333206,62236,0,0,0.319146640069,0.999889597463,0,0.1,0,0,51054.5053935,1,1,17863,18.4906307077
5,0.00385265446214,75415,75415,0.680002524706,-0.00880292043503,0.0483362901927,2.16668894144e-10,2.13943674293e-11,2210,1,0,17568.061666,12.0071249008,62006,0,0,0.292376629758,0.999830848058,0,0.1,0,0,50229.7038839,1,1,17914,34.6127571659
6,0.00360574001531,75414,75414,0.679993507899,-0.0219078001428,0.0483362901927,1.6618117677e-10,1.78934476488e-11,2177,1,0,17853.670166,12.8016672134,63219,0,0,0.29115552908,0.999830848058,0,0.1,0,0,50905.36402,1,1,15957,18.0355376252
7,0.00352591033248,75415,75415,0.680002524706,0.00759988744732,0.0483362901927,1.59208257479e-10,1.72161624654e-11,2209,1,0,18047.308084,12.1956248283,62872,0,0,0.29031176778,0.999830848058,0,0.1,0,0,49762.0301847,1,1,16186,18.1686007502
8,0.00337893378757,75414,75414,0.679993507899,-0.0248275936607,0.0483362901927,1.4086957042e-10,1.55998994548e-11,2205,1,0,18030.592916,13.2935419083,62107,0,0,0.289568303356,0.999830848058,0,0.1,0,0,48516.4813573,1,1,15508,18.155743625
9,0.00327858689027,75415,75415,0.680002524706,-0.0102839497982,0.0483362901927,1.25051625499e-10,1.46234131089e-11,2206,1,0,18713.8594999,13.1387910843,60552,0,0,0.287467056823,0.999830848058,0,0.1,0,0,47148.4962544,1,1,15037,18.898093625
10,0.00323311063378,75414,75414,0.679993507899,0.0121175755735,0.0483362901927,1.18766903552e-10,1.4422418237e-11,2223,1,0,17458.0472093,12.4927077293,59518,0,0,0.290039608449,0.999912164291,0,0.1,0,0,45663.7398534,1,1,17038,34.5239632502
