iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.81200352287e-10,3.47969083407e-11,1172,1,0,115154.102916,12.7217087746,57176,0,0,0.412195202996,0.999757555175,0,0.1,0.486300222028,1,78635.5391012,1,1,115.273925917
2,0.00392597820063,75415,75415,0.680002524706,-0.0283984098406,0.0483362901927,2.41723869029e-10,2.78331429044e-11,2240,1,0,28990.622458,12.6529173851,56919,0,0,0.400185404289,0.999931273737,0,0.1,0.485464878617,1,79480.2630148,1,1,29.1025316669
3,0.00345271473483,75414,75414,0.679993507899,-0.0457961473726,0.0483362901927,2.62624806884e-10,2.20695850496e-11,2202,1,0,28411.897625,12.4402079582,59137,0,0,0.395034313113,0.99930519182,0,0.1,0.490151125106,1,77481.6597417,1,1,28.5260225409
4,0.00339808325977,75415,75415,0.680002524706,0.0237085392347,0.0483362901927,2.63079958291e-10,2.08239459146e-11,2199,1,0,19824.7527089,12.0214161873,57916,0,0,0.396585277995,0.999928301477,0,0.1,0.492895199644,1,74364.0953671,1,1,19.9369868748
5,0.00318098666824,75414,75414,0.679993507899,-0.0278353847624,0.0483362901927,2.39060303992e-10,1.85734090113e-11,2199,1,0,19786.1016669,12.0115828514,54177,0,0,0.363572602253,0.999961186865,0,0.1,0.487989233324,1,70200.224878,1,1,37.123476333
6,0.0031990868047,75414,75414,0.679993507899,-0.0289233280201,0.0483362901927,2.1996575713e-10,2.44572713041e-11,2272,1,0,22680.148458,12.7212920189,38381,0,0,0.357379478327,0.999961186865,0,0.1,0.483543501119,1,58660.2036507,1,1,22.79331725
7,0.00312403293865,75415,75415,0.680002524706,0.00974441593717,0.0483362901927,2.21510005402e-10,2.2777012501e-11,2524,1,0,26200.8496666,12.3476662636,38646,0,0,0.357022304047,0.999961186865,0,0.1,0.486252594544,1,55833.3665233,1,1,26.3191941669
8,0.00291508304195,75414,75414,0.679993507899,-0.0395064361672,0.0483362901927,1.86446474503e-10,1.56175562388e-11,2524,1,0,23220.1169171,12.6235408783,39483,0,0,0.34456571911,0.999961186865,0,0.1,0.48930874369,1,53032.7998915,1,1,23.3324822909
9,0.00288599703569,75415,75415,0.680002524706,0.00564911010797,0.0483362901927,1.56135235029e-10,1.58377351488e-11,2713,1,0,24818.7654171,13.2238330841,37856,0,0,0.349340100582,0.999961186865,0,0.1,0.491010601481,1,48770.3650254,1,1,24.9331314173
10,0.00282092959654,75415,75415,0.680002524706,-0.00551026158526,0.0483362901927,1.23076443467e-10,1.40754249968e-11,2867,1,0,25731.3872914,12.3139166832,32260,0,0,0.354546990145,0.999842950715,0,0.1,0.48377718096,1,45319.0796325,1,1,43.606745542
11,0.00285204683563,75414,75414,0.679993507899,0.00622124560107,0.0483362901927,1.23339919491e-10,1.71741443901e-11,3066,1,0,28113.2962909,13.1150417328,26912,0,0,0.355248839651,0.999842950715,0,0.1,0.494922430365,1,38149.9341092,1,1,28.2328160419
12,0.00279530599196,75414,75414,0.679993507899,0.00760260155467,0.0483362901927,1.16197435948e-10,1.49907545018e-11,3106,1,0,28503.2324586,12.7735834122,25403,0,0,0.35603419631,0.999842950715,0,0.1,0.496561993403,1,35477.0774488,1,1,28.612063833
13,0.00274992393181,75415,75415,0.680002524706,0.00596459163889,0.0483362901927,1.02669076228e-10,1.34873976985e-11,3146,1,0,29033.114583,12.5267500877,23866,0,0,0.357647109211,0.999842950715,0,0.1,0.498237366998,1,32591.3146813,1,1,29.1420692499
14,0.00268444642042,75414,75414,0.679993507899,-0.019412798702,0.0483362901927,8.18472087569e-11,1.05610015664e-11,3158,1,0,28475.3586249,12.2822504044,21125,0,0,0.358094442774,0.999842950715,0,0.1,0.499608974309,1,29844.1350751,1,1,28.5810527923
15,0.00266079150327,75414,75414,0.679993507899,0.00323568552259,0.0483362901927,6.86188774922e-11,1.00640187816e-11,3197,1,0,28948.504333,12.5516252518,20169,0,0,0.373247635677,0.999914194791,0,0.1,0.497747373093,1,26548.9965585,1,1,46.4323799578
16,0.00264086564331,75415,75415,0.680002524706,0.00778574402442,0.0483362901927,5.12646023685e-11,1.15981099792e-11,3378,1,0,31084.752708,12.5509171486,14382,0,0,0.374110003696,0.999914194791,0,0.1,0.493189049017,1,18399.6323784,1,1,31.187005084
17,0.00263163334347,75415,75415,0.680002524706,0.00664943686647,0.0483362901927,4.49659949192e-11,1.12422074306e-11,3385,1,0,31012.0875421,12.8557500839,13151,0,0,0.375135144938,0.999914194791,0,0.1,0.483590742003,1,17146.1966551,1,1,31.1388889579
18,0.00262123809135,75415,75415,0.680002524706,0.00036240085289,0.0483362901927,4.16440514146e-11,1.07742888546e-11,3385,1,0,30545.3642921,12.6138329506,12513,0,0,0.375650004907,0.999914194791,0,0.1,0.477476442809,1,15969.8509076,1,1,30.6441602907
19,0.00261284589216,75414,75414,0.679993507899,-0.000282328485145,0.0483362901927,3.78350044258e-11,1.04586482605e-11,3368,1,0,30501.4718328,12.3406672478,12024,0,0,0.376153736625,0.999914194791,0,0.1,0.472547426771,1,14941.0494431,1,1,30.607688
20,0.0026064405357,75414,75414,0.679993507899,0.000514325456725,0.0483362901927,3.71060201294e-11,1.02766392136e-11,3370,1,0,40659.7696247,13.2788329124,11498,0,0,0.374310980793,0.999901372668,0,0.1,0.46546596046,1,14134.384333,1,1,58.7859956669
21,0.00260100233732,75414,75414,0.679993507899,0.0055790090777,0.0483362901927,3.27577442293e-11,1.03750423229e-11,2953,1,0,27301.7195826,12.9680423737,9190,0,0,0.37478994557,0.999901372668,0,0.1,0.406711322796,1,12576.5748603,1,1,27.4257362918
22,0.00259660930057,75415,75415,0.680002524706,-0.00113471564062,0.0483362901927,3.50942386928e-11,9.96189126404e-12,2955,1,0,27123.510417,12.209499836,8912,0,0,0.374776424878,0.999901372668,0,0.1,0.398411662532,1,12456.6023406,1,1,27.2159981248
23,0.00259345456229,75415,75415,0.680002524706,0.000384345660834,0.0483362901927,3.53060029331e-11,9.66213521513e-12,2964,1,0,27198.0844998,12.537042141,8685,0,0,0.37499721993,0.999901372668,0,0.1,0.389870360481,1,12337.7075605,1,1,27.2917565419
24,0.0025912572539,75414,75414,0.679993507899,0.00214906821543,0.0483362901927,3.31040291129e-11,9.4549119295e-12,2966,1,0,27364.2486248,12.968416214,8439,0,0,0.375400983487,0.999901372668,0,0.1,0.381390684397,1,12224.8777065,1,1,27.4610870001
25,0.00258894263198,75415,75415,0.680002524706,0.000984528404359,0.0483362901927,2.91676563613e-11,9.23860249042e-12,2959,1,0,27600.701375,13.0559163094,8202,0,0,0.370656821918,0.999883473541,0,0.1,0.372335164011,1,12119.6199043,1,1,44.9638708751
