iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
1,0.00413803058637,75415,75415,0.680002524706,0.514799724591,0.0483362901927,1.43539915319e-10,4.76417780179e-11,1124,1,0,103946.190875,14.8754167557,70109,0,0,0.393535756094,0.999757555175,0,0.1,0.505196442032,4,59668.7271255,1,1,104.114581375
2,0.00380864971387,75415,75415,0.680002524706,-0.0236226515285,0.0483362901927,1.4201309032e-10,4.1963369144e-11,2018,1,0,22524.1743331,12.0495419502,70109,0,0,0.393308055401,0.999870727539,0,0.1,0.504743499346,4,60159.5380622,1,1,22.6362778749
3,0.00348383984565,75415,75415,0.680002524706,-0.0386679358072,0.0483362901927,1.30987115621e-10,3.68804443394e-11,1989,1,0,22507.530334,12.8287501335,70386,0,0,0.393066958611,0.999819018601,0,0.1,0.504622031547,4,60285.7339064,1,1,22.6743032909
4,0.00337223318145,75414,75414,0.679993507899,0.00660302441348,0.0483362901927,1.23807396306e-10,3.4000169753e-11,1986,1,0,15161.0419168,12.0005421638,70378,0,0,0.392658723037,0.999812374508,0,0.1,0.50405050924,4,58873.0263401,1,1,15.2753168331
5,0.00319443008881,75415,75415,0.680002524706,-0.0202191398644,0.0483362901927,1.0908753227e-10,3.07605640565e-11,1969,1,0,15007.3245001,11.9728341103,70358,0,0,0.392204413914,0.999765696689,0,0.1,0.503296705024,4,57411.6020504,1,1,15.1227967502
6,0.00304430403389,75415,75415,0.680002524706,-0.0218852480932,0.0483362901927,9.28665025893e-11,2.78878701189e-11,1947,1,0,15661.4075828,12.2179169655,70280,0,0,0.391680518306,0.99996572604,0,0.1,0.502380857515,4,55362.2072998,1,1,15.7903532088
7,0.00297864828072,75415,75415,0.680002524706,0.00392725646143,0.0483362901927,8.30040792201e-11,2.65240310199e-11,1890,1,0,14460.565042,12.2680830956,69453,0,0,0.390261643704,0.999719439823,0,0.1,0.500400445754,4,52674.134922,1,1,14.6011917079
8,0.00286673639189,75415,75415,0.680002524706,-0.0251289368832,0.0483362901927,7.29827326306e-11,2.41484972125e-11,1877,1,0,14411.893209,11.8359160423,68980,0,0,0.390783767688,0.999757321205,0,0.1,0.498863755543,4,49746.3263906,1,1,14.5288627497
9,0.00275828673175,75414,75414,0.679993507899,-0.0370295614978,0.0483362901927,6.4227832677e-11,2.1229478578e-11,1887,1,0,14506.1166248,12.3602919579,68859,0,0,0.3941811331,0.999615018045,0,0.1,0.497994113212,4,46430.0801515,1,1,14.6273483331
10,0.00272519028604,75414,75414,0.679993507899,0.00119620080432,0.0483362901927,5.92253218368e-11,2.04532386253e-11,1887,1,0,14750.8616247,11.9249582291,68559,0,0,0.393618679421,0.999558690224,0,0.1,0.497036294158,4,43034.6200444,1,1,14.8961290419
11,0.00270115974916,75415,75415,0.680002524706,0.00239417226339,0.0483362901927,5.42815061485e-11,1.99831809981e-11,1885,1,0,14523.8109999,12.3340001106,65951,0,0,0.394125038622,0.999637760528,0,0.1,0.492534922213,4,39562.0906183,1,1,14.6674425839
12,0.00267674316305,75414,75414,0.679993507899,-0.00178181606254,0.0483362901927,4.88532928765e-11,1.92682670767e-11,1919,1,0,14747.0839591,12.2419576645,64341,0,0,0.392386109369,0.999809972714,0,0.1,0.489719124562,4,36133.6998243,1,1,14.8656503749
13,0.00265460268511,75415,75415,0.680002524706,-0.00257345452263,0.0483362901927,4.34035924871e-11,1.83634362102e-11,1946,1,0,14946.9520421,11.7955408096,61664,0,0,0.391668345692,1.02840877738,0,0.1,0.484523647838,4,32850.488983,1,1,15.0847121254
14,0.00263263582908,75415,75415,0.680002524706,-0.00474609720483,0.0483362901927,3.78269214828e-11,1.7082064993e-11,1982,1,0,15301.591959,11.9248332977,59543,0,0,0.391179743197,1.05897072432,0,0.1,0.48055143659,4,29787.0219355,1,1,15.4202036252
15,0.00259866919624,75415,75415,0.680002524706,-0.0193667687187,0.0483362901927,3.08295689867e-11,1.42976383775e-11,2007,1,0,15379.1424584,12.2519578934,52610,0,0,0.391699200307,1.09135318908,0,0.1,0.494188745835,4,27116.0003935,1,1,15.5143349157
16,0.00259238038901,75415,75415,0.680002524706,0.00715351306478,0.0483362901927,2.79921619913e-11,1.38449046974e-11,2059,1,0,15657.6820002,12.1412081718,50684,0,0,0.392449198589,1.14673958071,0,0.1,0.493503463831,4,24380.1534899,1,1,15.7771586254
17,0.00260082244959,75415,75415,0.680002524706,0.0218052744945,0.0483362901927,2.68351075028e-11,1.50233411387e-11,2177,1,0,16539.7234588,12.704750061,49689,0,0,0.393969977862,1.20246337924,0,0.1,0.492004104658,4,21657.7999364,1,1,16.6650129999
18,0.00259300561816,75414,75414,0.679993507899,0.00089976925029,0.0483362901927,2.43078246779e-11,1.43172578214e-11,2244,1,0,17346.7429161,12.0694999695,47652,0,0,0.397032090768,1.25849961034,0,0.1,0.489816879069,4,19386.0089341,1,1,17.4650254161
19,0.00259172067158,75414,75414,0.679993507899,0.00800833442446,0.0483362901927,2.21157372816e-11,1.45756797786e-11,2374,1,0,18310.2549582,12.8764996529,42187,0,0,0.398516366234,1.31212095279,0,0.1,0.476399166653,4,17314.0165508,1,1,18.455221375
20,0.00259160048373,75414,75414,0.679993507899,0.00948153475558,0.0483362901927,2.17666602659e-11,1.5010727539e-11,2542,1,0,19233.124167,11.7690830231,39688,0,0,0.399792933202,1.36934529223,0,0.1,0.468029452769,4,15482.724076,1,1,19.3436674578
21,0.00259103131126,75415,75415,0.680002524706,0.00880516279936,0.0483362901927,2.35062395428e-11,1.52620841565e-11,2651,1,0,20306.7676668,12.1287503242,37743,0,0,0.398480757928,1.42540145659,0,0.1,0.466391672396,4,13930.0464986,1,1,20.4522459581
22,0.00259025444852,75415,75415,0.680002524706,0.00807535980033,0.0483362901927,2.45905953452e-11,1.5389021826e-11,2731,1,0,20623.7471671,12.0489997864,35218,0,0,0.39830065061,1.47965287525,0,0.1,0.469780293139,4,12660.3549357,1,1,20.762478
23,0.00258807538794,75415,75415,0.680002524706,0.00510236739673,0.0483362901927,2.45415762705e-11,1.51145019496e-11,2843,1,0,21454.8456659,11.8235840797,29563,0,0,0.399260619641,1.53694909189,0,0.1,0.467922089903,4,11659.2874468,1,1,21.5617834171
24,0.00258851485544,75414,75414,0.679993507899,0.00842748523411,0.0483362901927,2.4032197433e-11,1.50407695928e-11,2853,1,0,21707.2107091,14.6489162445,26715,0,0,0.400472765983,1.59166427341,0,0.1,0.466411300938,4,10821.8553462,1,1,21.8834009157
25,0.00258707028357,75415,75415,0.680002524706,0.00435751485811,0.0483362901927,2.24000292612e-11,1.43192454864e-11,2829,1,0,21556.142292,12.2796664238,24417,0,0,0.401708810755,1.64886848168,0,0.1,0.46617386887,4,10174.2201863,1,1,21.6645136666
26,0.00258785288845,75414,75414,0.679993507899,0.00730840423068,0.0483362901927,2.16790917041e-11,1.38173232083e-11,2842,1,0,21440.3650408,12.2136249542,22215,0,0,0.40226637306,1.7060772844,0,0.1,0.469589628858,4,9646.25742896,1,1,21.5400652923
27,0.00258914761127,75415,75415,0.680002524706,0.00772229762193,0.0483362901927,2.13304444795e-11,1.33148242874e-11,2905,1,0,22467.056459,12.3174581528,21315,0,0,0.404088286511,1.73789047501,0,0.1,0.467656803682,4,9232.93313466,1,1,22.6064774594
28,0.00259022981647,75415,75415,0.680002524706,0.00684109848995,0.0483362901927,2.15907570959e-11,1.27411221793e-11,2899,1,0,21887.5612082,12.3585000038,19547,0,0,0.40553108888,1.76972331445,0,0.1,0.459053609669,4,8930.23407494,1,1,21.9860774581
29,0.00259082492473,75414,75414,0.679993507899,0.00499398851167,0.0483362901927,2.19411128506e-11,1.20707643176e-11,2815,1,0,21326.164834,11.7804999352,16153,0,0,0.406847680799,1.81080492042,0,0.1,0.431480591328,4,8722.10038635,1,1,21.4194295839
30,0.00259244744159,75414,75414,0.679993507899,0.00685679037578,0.0483362901927,2.23324983554e-11,1.15507689034e-11,2716,1,0,20590.6500411,12.4328746796,15384,0,0,0.407801887416,1.85338919518,0,0.1,0.423683698519,4,8543.63577427,1,1,20.7350609996
31,0.00259380363456,75414,75414,0.679993507899,0.00549435369195,0.0483362901927,2.23638738061e-11,1.10819924942e-11,2680,1,0,20298.8720412,11.6278748512,14920,0,0,0.409003832219,1.8738310792,0,0.1,0.418155323057,4,8395.55716823,1,1,20.3919443749
32,0.00259398889265,75414,75414,0.679993507899,0.00228092019215,0.0483362901927,2.21168738946e-11,1.06203471434e-11,2684,1,0,20451.791667,11.7928748131,14352,0,0,0.410303992144,1.89644141308,0,0.1,0.409588975249,4,8292.10419401,1,1,20.5532908328
33,0.00259473004965,75414,75414,0.679993507899,0.00240352895476,0.0483362901927,2.20382934216e-11,1.03261801234e-11,2678,1,0,20418.3150001,12.4119997025,13059,0,0,0.411253258536,1.91228085515,0,0.1,0.388266985482,4,8203.38335394,1,1,20.5367397922
