iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
1,0.00413803058637,75415,75415,0.680002524706,0.514799724591,0.0483362901927,1.61528435777e-10,6.92666982742e-11,1124,1,0,108052.75075,13.857916832,70109,0,0,0.393621831477,0.999735531313,0,0.1,0.505196442032,8,59668.7271255,1,1,108.222779166
2,0.00383760156995,75415,75415,0.680002524706,-0.0199481329556,0.0483362901927,1.58323834618e-10,6.25327352256e-11,2021,1,0,23552.6899157,15.0577502251,70109,0,0,0.39336900867,0.999870727539,0,0.1,0.504529048173,8,59997.939588,1,1,23.7693728749
3,0.00351170160055,75414,75414,0.679993507899,-0.0391323959407,0.0483362901927,1.45299768962e-10,5.65251947002e-11,1991,1,0,23166.3060002,13.6281657219,70394,0,0,0.393276766414,0.99974902089,0,0.1,0.504214334791,8,60213.6504335,1,1,23.3911925829
4,0.00339117497615,75414,75414,0.679993507899,0.00298454496052,0.0483362901927,1.37778335064e-10,5.17164293167e-11,1983,1,0,15356.6801672,12.3349995613,70402,0,0,0.392962369395,0.999836429939,0,0.1,0.503457250287,8,58933.5551471,1,1,15.4756012079
5,0.00322032349719,75415,75415,0.680002524706,-0.0181351918395,0.0483362901927,1.22831104134e-10,4.72219442504e-11,1968,1,0,15319.5681672,12.1265830994,70373,0,0,0.38427877947,0.999949768771,0,0.1,0.502372483399,8,57560.0123175,1,1,31.991447709
6,0.00304622763624,75414,75414,0.679993507899,-0.0334604623646,0.0483362901927,1.13145803405e-10,2.88714675796e-11,1991,1,0,15672.6829996,11.9075832367,70307,0,0,0.382773436193,0.999949768771,0,0.1,0.493653969086,8,55734.3674435,1,1,15.7984775002
7,0.00300844750781,75414,75414,0.679993507899,0.00401160099154,0.0483362901927,1.03507093741e-10,2.89167926657e-11,1999,1,0,15483.1550422,11.775832653,69970,0,0,0.380477381467,0.999949768771,0,0.1,0.492749132488,8,53008.3921901,1,1,15.6022857092
8,0.00292681548935,75414,75414,0.679993507899,-0.0222337409355,0.0483362901927,9.66074475122e-11,2.81838622763e-11,1976,1,0,15367.7641249,12.2465829849,68938,0,0,0.378950419747,0.999949768771,0,0.1,0.490734235198,8,49904.0099598,1,1,15.492969167
9,0.00285583922141,75414,75414,0.679993507899,-0.0269468358941,0.0483362901927,8.83304494407e-11,2.68543181633e-11,1952,1,0,15602.664916,13.1637921333,66630,0,0,0.377630351682,0.999949768771,0,0.1,0.486680543774,8,46475.6646072,1,1,15.7957071667
10,0.00289625669628,75415,75415,0.680002524706,0.0156720928711,0.0483362901927,8.85353990658e-11,3.10922246072e-11,1956,1,0,15281.0909581,12.0325837135,65028,0,0,0.39046830607,0.999972094886,0,0.1,0.48354407997,8,43075.0253853,1,1,32.1294360831
11,0.00332535660323,75415,75415,0.680002524706,0.0241028524143,0.0483362901927,9.84800242053e-11,4.60624076335e-11,2086,1,0,17047.2936673,16.6433749199,60493,0,0,0.388518097025,0.999972094886,0,0.1,0.477560394194,8,37507.2399236,1,1,17.2035602499
12,0.00332589051887,75415,75415,0.680002524706,-0.0127348798575,0.0483362901927,1.8577371094e-10,4.7129145652e-11,2149,1,0,25727.9127917,13.3132081032,58063,0,0,0.384991499842,0.999972094886,0,0.1,0.473007299228,8,34272.0167845,1,1,25.9787925002
13,0.00333064313315,75414,75414,0.679993507899,-0.00837047557789,0.0483362901927,2.4466213418e-10,4.98749438265e-11,2242,1,0,20465.7042503,12.8789997101,54548,0,0,0.381721814598,0.999972094886,0,0.1,0.470619622204,8,31189.3845266,1,1,20.6472221669
14,0.0033996828592,75414,75414,0.679993507899,0.0123041159875,0.0483362901927,3.66973854768e-10,6.20856907128e-11,2433,1,0,21155.0756254,12.838083744,48508,0,0,0.380583654955,0.999972094886,0,0.1,0.475118510392,8,28317.005787,1,1,21.3526271251
15,0.0033958409975,75415,75415,0.680002524706,-0.00263079091478,0.0483362901927,4.59442298283e-10,6.45376676701e-11,2555,1,0,23207.3719583,13.178208828,41897,0,0,0.392737292825,0.999750162546,0,0.1,0.486713916159,8,25571.8754779,1,1,41.4718643753
16,0.00354777244998,75414,75414,0.679993507899,-0.0413742030568,0.0483362901927,2.10224173988e-09,8.13994093148e-11,3036,1,0,31763.35075,15.5116248131,30200,0,0,0.39236797772,0.999750162546,0,0.1,0.485374964401,8,17473.2164972,1,1,31.9806198748
17,0.00348740539102,75414,75414,0.679993507899,-0.00583852244575,0.0483362901927,1.42166669896e-09,6.97809120412e-11,3069,1,0,27075.8659997,12.8399581909,27676,0,0,0.392467712959,0.999750162546,0,0.1,0.481776256512,8,15783.9492013,1,1,27.284428291
18,0.0034441294182,75414,75414,0.679993507899,4.80895896095e-05,0.0483362901927,8.42624267474e-10,6.30256421889e-11,3055,1,0,26702.4046659,16.6809587479,25534,0,0,0.393429544871,0.999750162546,0,0.1,0.480655866709,8,14280.7145865,1,1,26.9513952909
19,0.00340258726109,75415,75415,0.680002524706,0.000248834617235,0.0483362901927,5.17024861293e-10,5.64115091668e-11,3058,1,0,26153.6488328,14.4180831909,23114,0,0,0.39452314989,0.999750162546,0,0.1,0.478570866395,8,12943.1384624,1,1,26.4140225002
20,0.00335419012659,75415,75415,0.680002524706,-0.00453718052193,0.0483362901927,4.5438923271e-10,4.63370712829e-11,3100,1,0,26035.8439589,12.6617083549,20900,0,0,0.387629969361,0.999909122793,0,0.1,0.476257331256,8,11757.0481437,1,1,43.8500050413
21,0.00343874377714,75415,75415,0.680002524706,-0.00987546692946,0.0483362901927,6.40591822607e-10,5.17451303252e-11,3220,1,0,26028.4402089,12.9665408134,10445,0,0,0.386845765138,0.999909122793,0,0.1,0.372663913182,8,6951.27207712,1,1,26.156421042
22,0.00341104456563,75414,75414,0.679993507899,0.00464400912725,0.0483362901927,5.55312235295e-10,5.23390241704e-11,3248,1,0,25952.1298747,14.6260843277,10034,0,0,0.387178519063,0.999909122793,0,0.1,0.367323003458,8,6764.32983431,1,1,26.0650462923
23,0.00337450023869,75414,75414,0.679993507899,-0.000245509017792,0.0483362901927,5.13308868767e-10,5.13701420048e-11,3266,1,0,26132.9294591,12.913875103,9716,0,0,0.387343907619,0.999909122793,0,0.1,0.362632584087,8,6618.82684176,1,1,26.2250925829
24,0.00334634218894,75414,75414,0.679993507899,0.00378196045882,0.0483362901927,4.83747659347e-10,5.12251962551e-11,3281,1,0,27619.6520419,14.1027503014,9405,0,0,0.387959712536,0.999909122793,0,0.1,0.357435845457,8,6480.67620226,1,1,27.806690583
