iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
1,0.00413803058637,75415,75415,0.680002524706,0.514799724591,0.0483362901927,1.25551394861e-10,2.60168577616e-11,1124,1,0,112989.1515,14.4245409966,70109,0,0,0.393729183164,0.999915581963,0,0.1,0,0,59668.7271255,1,1,113.223213791
2,0.00376804229287,75414,75414,0.679993507899,-0.0293233882918,0.0483362901927,1.24759959033e-10,2.10617257379e-11,2016,1,0,23990.8322082,12.7642498016,70084,0,0,0.393622220077,0.999870727539,0,0.1,0,0,60650.193635,1,1,24.1176562919
3,0.00341352193458,75414,75414,0.679993507899,-0.0466113150101,0.0483362901927,1.17272795751e-10,1.65965224303e-11,1990,1,0,24077.8762093,13.2670826912,70331,0,0,0.393080242996,0.999867301625,0,0.1,0,0,60949.0808945,1,1,24.2088216669
4,0.00337891932277,75415,75415,0.680002524706,0.0306075801829,0.0483362901927,1.13749401688e-10,1.66853854791e-11,2012,1,0,16988.2106671,13.3820419312,68856,0,0,0.392480611006,0.999746915968,0,0.1,0,0,59147.989205,1,1,17.1183378329
5,0.00315916508962,75415,75415,0.680002524706,-0.0328172455205,0.0483362901927,9.74551243268e-11,1.40448998352e-11,1992,1,0,17428.1435409,14.7771673203,68866,0,0,0.386772794608,0.99995297305,0,0.1,0,0,57830.7387679,1,1,35.3755123327
6,0.00298558252065,75415,75415,0.680002524706,-0.0289406161321,0.0483362901927,8.52714142851e-11,1.26963010399e-11,2025,1,0,16739.6220407,12.8156251907,69975,0,0,0.385305823348,0.99995297305,0,0.1,0,0,53826.7615854,1,1,16.9267957499
7,0.00293174751415,75415,75415,0.680002524706,0.00907166944088,0.0483362901927,7.59614516002e-11,1.20964382235e-11,1941,1,0,15965.4412909,12.4875001907,68995,0,0,0.38345075239,0.99995297305,0,0.1,0,0,52093.653296,1,1,16.0864308332
8,0.00281189318073,75414,75414,0.679993507899,-0.0320794197722,0.0483362901927,6.74239205411e-11,1.01551075494e-11,2009,1,0,16149.6263328,12.5861668587,68791,0,0,0.38189179838,0.99995297305,0,0.1,0,0,50085.1763954,1,1,16.2764828331
9,0.00276425648185,75415,75415,0.680002524706,0.000603747762319,0.0483362901927,6.22919859257e-11,9.58925673515e-12,1998,1,0,16042.7884579,12.1317920685,65819,0,0,0.380741880927,0.99995297305,0,0.1,0,0,47595.4319177,1,1,16.1656222087
10,0.00271086575121,75414,75414,0.679993507899,-0.00852553243833,0.0483362901927,5.61579567101e-11,8.77822612838e-12,2005,1,0,16589.6789579,13.2644171715,64803,0,0,0.392582711629,0.999847178376,0,0.1,0,0,45042.7593491,1,1,33.8460326251
11,0.00268214779855,75415,75415,0.680002524706,-0.00940816329991,0.0483362901927,5.06829397526e-11,9.04831162081e-12,2127,1,0,16664.993125,11.8076252937,64055,0,0,0.389525380377,0.999847178376,0,0.1,0.480086863835,0.2,40437.1153242,1,1,16.7866643332
12,0.00265148405126,75414,75414,0.679993507899,0.000908693613967,0.0483362901927,4.58720136254e-11,8.56863126218e-12,2208,1,0,17232.592917,13.0844583511,61645,0,0,0.386120318926,0.999847178376,0,0.1,0.477495310466,0.4,38295.0295242,1,1,17.3726261668
13,0.00262874453522,75414,75414,0.679993507899,0.00111583909599,0.0483362901927,4.10779110783e-11,8.3080099043e-12,2297,1,0,17914.7605419,12.4337916374,57297,0,0,0.384326372466,0.999847178376,0,0.1,0.478953009722,0.6,35797.8463955,1,1,18.0674766251
14,0.00260749769341,75415,75415,0.680002524706,-0.00298938996022,0.0483362901927,3.602100567e-11,8.01483406661e-12,2387,1,0,18553.078083,13.607542038,50988,0,0,0.383248549795,0.999847178376,0,0.1,0.485756692647,0.8,33226.8222768,1,1,18.6825478747
15,0.00257947222707,75415,75415,0.680002524706,-0.0165699326089,0.0483362901927,3.0085530345e-11,7.2595765859e-12,2441,1,0,19271.2236657,11.8665423393,49111,0,0,0.391381602438,0.999886954896,0,0.1,0.486831063235,1,30766.9081459,1,1,36.3276857906
16,0.00257263952019,75414,75414,0.679993507899,-0.0168374534365,0.0483362901927,2.47965349478e-11,7.96502269597e-12,2823,1,0,23153.1087499,12.4259171486,37694,0,0,0.387235987057,0.999886954896,0,0.1,0.492875587294,1.2,22430.9336397,1,1,23.2679793336
17,0.00256294033558,75415,75415,0.680002524706,0.00403813577274,0.0483362901927,2.21256129852e-11,7.52430589486e-12,2783,1,0,22406.4299588,12.8716659546,35302,0,0,0.391129056468,0.999886954896,0,0.1,0.492201477301,1.4,21180.8070435,1,1,22.59369175
18,0.00256136402293,75415,75415,0.680002524706,0.0108765871739,0.0483362901927,1.98925396459e-11,7.5635713115e-12,2791,1,0,21708.3735423,11.9899578094,32154,0,0,0.392666572603,0.999886954896,0,0.1,0.489825810648,1.6,19885.476204,1,1,21.8183973343
19,0.00255799577486,75414,75414,0.679993507899,0.00275766727982,0.0483362901927,1.71464966835e-11,7.43933413502e-12,2775,1,0,21391.6106253,11.9876246452,30695,0,0,0.393169956807,0.999886954896,0,0.1,0.48684501344,1.8,18644.3875567,1,1,21.4973879578
20,0.00255569281888,75414,75414,0.679993507899,0.0018866303574,0.0483362901927,1.43968661584e-11,7.35071384441e-12,2795,1,0,21522.4867496,13.0329580307,29579,0,0,0.390999302478,0.999851635478,0,0.1,0.484333489851,2,17480.8238387,1,1,38.2074903753
21,0.00256888302112,75414,75414,0.679993507899,-0.00817637861073,0.0483362901927,2.18073860425e-11,9.36268150896e-12,2710,1,0,21340.7471662,11.7252922058,20259,0,0,0.387745038562,0.999851635478,0,0.1,0.427246671557,2.2,13465.6331832,1,1,21.4387040841
22,0.00256716188793,75415,75415,0.680002524706,0.0026668869276,0.0483362901927,1.54297096073e-11,9.06736821776e-12,2715,1,0,21334.7130418,14.0059580803,19646,0,0,0.388291549415,0.999851635478,0,0.1,0.423565872782,2.4,13166.9334045,1,1,21.5137156672
23,0.00256627126088,75414,75414,0.679993507899,0.00160979847023,0.0483362901927,1.19189201383e-11,8.87735787154e-12,2717,1,0,20919.97825,11.7170829773,18941,0,0,0.388935226837,0.999851635478,0,0.1,0.419679083441,2.6,12857.4851986,1,1,21.0157724591
24,0.00256602444366,75415,75415,0.680002524706,0.000843701489504,0.0483362901927,1.22717209297e-11,8.72818377651e-12,2709,1,0,21050.4490414,12.2475838661,18248,0,0,0.389433326932,0.999851635478,0,0.1,0.414846793671,2.8,12545.3491062,1,1,21.145490041
