iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
1,0.00413803058637,75415,75415,0.680002524706,0.514799724591,0.0483362901927,1.25551394861e-10,2.60168577616e-11,1124,1,0,113957.741666,13.2404999733,70109,0,0,0.393729183164,0.999915581963,0,0.1,0,0,59668.7271255,1,1,114.13108875
2,0.00376804229287,75414,75414,0.679993507899,-0.0293233882918,0.0483362901927,1.24759959033e-10,2.10617257379e-11,2016,1,0,28168.091917,13.3746666908,70084,0,0,0.393622220077,0.999870727539,0,0.1,0,0,60650.193635,1,1,28.3452307503
3,0.00341352193458,75414,75414,0.679993507899,-0.0466113150101,0.0483362901927,1.17272795751e-10,1.65965224303e-11,1990,1,0,27589.6756253,13.4284996986,70331,0,0,0.393080242996,0.999867301625,0,0.1,0,0,60949.0808945,1,1,27.7636175421
4,0.00337891932277,75415,75415,0.680002524706,0.0306075801829,0.0483362901927,1.13749401688e-10,1.66853854791e-11,2012,1,0,18781.5099173,13.7098326683,68856,0,0,0.392480611006,0.999746915968,0,0.1,0,0,59147.989205,1,1,18.946978542
5,0.00315916508962,75415,75415,0.680002524706,-0.0328172455205,0.0483362901927,9.74551243268e-11,1.40448998352e-11,1992,1,0,18281.773417,12.9070420265,68866,0,0,0.386772794608,0.99995297305,0,0.1,0,0,57830.7387679,1,1,36.609685333
6,0.00298558252065,75415,75415,0.680002524706,-0.0289406161321,0.0483362901927,8.52714142851e-11,1.26963010399e-11,2025,1,0,19549.5372076,13.30245924,69975,0,0,0.385305823348,0.99995297305,0,0.1,0,0,53826.7615854,1,1,19.7039718749
7,0.00293174751415,75415,75415,0.680002524706,0.00907166944088,0.0483362901927,7.59614516002e-11,1.20964382235e-11,1941,1,0,18702.5814161,12.2749171257,68995,0,0,0.38345075239,0.99995297305,0,0.1,0,0,52093.653296,1,1,18.8331906251
8,0.00281189318073,75414,75414,0.679993507899,-0.0320794197722,0.0483362901927,6.74239205411e-11,1.01551075494e-11,2009,1,0,18659.7474155,12.0360841751,68791,0,0,0.38189179838,0.99995297305,0,0.1,0,0,50085.1763954,1,1,18.8222340839
9,0.00276425648185,75415,75415,0.680002524706,0.000603747762319,0.0483362901927,6.22919859257e-11,9.58925673515e-12,1998,1,0,18191.8310418,12.7616662979,65819,0,0,0.380741880927,0.99995297305,0,0.1,0,0,47595.4319177,1,1,18.3590364167
10,0.00271086575121,75414,75414,0.679993507899,-0.00852553243833,0.0483362901927,5.61579567101e-11,8.77822612838e-12,2005,1,0,18057.7290831,12.0574998856,64803,0,0,0.392582711629,0.999847178376,0,0.1,0,0,45042.7593491,1,1,35.719537375
11,0.00268214779855,75415,75415,0.680002524706,-0.00940816329991,0.0483362901927,5.01560063314e-11,8.86710467787e-12,2127,1,0,19385.8217916,13.2685832977,64055,0,0,0.38979509984,0.999847178376,0,0.1,0,0,40437.1153242,1,1,19.5955672497
