iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,iteration_wall_s
1,0.00456956334937,75415,75415,0.680002524706,0.909004941765,0.0483362901927,3.83905138232e-10,3.00061591588e-11,1153,1,0,115234.465917,13.5026659966,61028,0,0,0.321012751743,0.999889597463,0,0.1,0,0,51889.6388706,1,1,115.407643417
2,0.00430679752844,75414,75414,0.679993507899,-0.0148020723784,0.0483362901927,3.09038522794e-10,2.63447124759e-11,2265,1,0,29949.5599589,13.9895830154,62501,0,0,0.3182588441,0.999889597463,0,0.1,0,0,51940.8415313,1,1,30.1719498332
3,0.00414037378506,75414,75414,0.679993507899,0.00110636311704,0.0483362901927,2.59247917675e-10,2.44119089919e-11,2247,1,0,28689.8834581,14.5351247787,62428,0,0,0.318634114272,0.999889597463,0,0.1,0,0,51521.6464778,1,1,28.9483898329
4,0.0039739167284,75414,75414,0.679993507899,-0.00419173274537,0.0483362901927,2.10405859873e-10,2.26113997381e-11,2217,1,0,18871.359334,13.1003332138,61810,0,0,0.318949673827,0.999889597463,0,0.1,0,0,50845.3239634,1,1,19.0126715829
5,0.0037706848423,75414,75414,0.679993507899,-0.0227429277558,0.0483362901927,2.07082213564e-10,2.03097666776e-11,2199,1,0,19646.7356253,13.0415420532,61842,0,0,0.29375129905,0.999855744382,0,0.1,0,0,50052.7065421,1,1,37.1168145412
6,0.00359776956167,75414,75414,0.679993507899,-0.00530677278691,0.0483362901927,1.76190144867e-10,1.79604426086e-11,2179,1,0,20538.0377088,13.7141251564,63181,0,0,0.292509831091,0.999855744382,0,0.1,0,0,50535.1823945,1,1,20.7549070409
7,0.0034752952593,75415,75415,0.680002524706,-0.00842333554857,0.0483362901927,1.63117880042e-10,1.66935760244e-11,2204,1,0,23225.4885831,14.3530826569,63004,0,0,0.292116275252,0.999855744382,0,0.1,0,0,49289.4907198,1,1,23.4365540831
8,0.00332721333551,75415,75415,0.680002524706,-0.0256380668213,0.0483362901927,1.41173053341e-10,1.50898026396e-11,2200,1,0,22527.7401252,12.57670784,61067,0,0,0.289979027764,0.999855744382,0,0.1,0,0,47933.4062668,1,1,22.6519329171
9,0.00325455951414,75414,75414,0.679993507899,0.00500651875598,0.0483362901927,1.26697846976e-10,1.45347760571e-11,2212,1,0,23923.5180831,13.4669165611,59386,0,0,0.289660975313,0.999855744382,0,0.1,0,0,46415.6344285,1,1,24.1240299582
10,0.00318994381671,75414,75414,0.679993507899,0.00651194973066,0.0483362901927,1.12601654443e-10,1.40918624454e-11,2211,1,0,21900.3467503,12.662083149,58405,0,0,0.288839508115,0.999965473606,0,0.1,0,0,44766.6611595,1,1,40.1629463332
11,0.00311958745043,75414,75414,0.679993507899,-0.0147260686922,0.0483362901927,1.04645635949e-10,1.33479643204e-11,2243,1,0,22632.129292,14.2063751221,56998,0,0,0.285048865525,0.999965473606,0,0.1,0,0,43888.0872835,1,1,22.8604435003
12,0.00303784282404,75415,75415,0.680002524706,-0.0111878356014,0.0483362901927,9.57795210666e-11,1.25008917015e-11,2247,1,0,22740.1680841,13.0443749428,55447,0,0,0.284844171953,0.999965473606,0,0.1,0,0,42336.750465,1,1,22.9077498331
13,0.00298677164844,75415,75415,0.680002524706,0.0047900815441,0.0483362901927,8.78655171927e-11,1.21255741231e-11,2205,1,0,22344.3412499,14.8946251869,52841,0,0,0.285880998199,0.999965473606,0,0.1,0,0,40664.1010231,1,1,22.6060584583
14,0.00291839807479,75414,75414,0.679993507899,-0.0107813692276,0.0483362901927,8.62970127326e-11,1.1372690235e-11,2296,1,0,24156.5120001,45.9959578514,51240,0,0,0.287497380881,0.999965473606,0,0.1,0,0,39072.5286378,1,1,24.463394125
15,0.00285944259576,75414,75414,0.679993507899,-0.00841053931027,0.0483362901927,8.13748680571e-11,1.07313125896e-11,2320,1,0,24590.566834,13.087416172,49215,0,0,0.307293206014,0.999928249226,0,0.1,0,0,37427.6104946,1,1,43.189975875
16,0.00283003410385,75414,75414,0.679993507899,0.00288915945819,0.0483362901927,8.55200821245e-11,1.092766971e-11,2616,1,0,26271.3753753,13.5998749733,46116,0,0,0.307939731932,0.999928249226,0,0.1,0,0,34803.8339205,1,1,26.4637249592
17,0.00279558223167,75414,75414,0.679993507899,0.00268162498963,0.0483362901927,8.00784803085e-11,1.06177038633e-11,2678,1,0,29484.6821671,28.0323328972,45171,0,0,0.308770694087,0.999928249226,0,0.1,0,0,33329.1715127,1,1,29.8754017497
18,0.00275196115583,75414,75414,0.679993507899,-0.00982911574427,0.0483362901927,7.19260713627e-11,1.00379432352e-11,2691,1,0,28497.1300831,13.4348340034,44350,0,0,0.309743345826,0.999928249226,0,0.1,0,0,31941.3633072,1,1,28.687813167
19,0.00272707014966,75415,75415,0.680002524706,0.00601187941033,0.0483362901927,6.55390711614e-11,9.87861679447e-12,2795,1,0,28174.559042,13.3820409775,43652,0,0,0.311765335493,0.999928249226,0,0.1,0,0,30466.8569444,1,1,28.3678484582
20,0.00269784236177,75414,75414,0.679993507899,-0.00170167850235,0.0483362901927,5.80848565366e-11,9.53163435571e-12,2857,1,0,29737.413166,13.8612918854,42080,0,0,0.316130946144,0.999648831714,0,0.1,0,0,29129.7022255,1,1,48.44720275
21,0.00265946651461,75415,75415,0.680002524706,-0.00919993763913,0.0483362901927,5.19867542316e-11,9.61496073677e-12,2952,1,0,30184.6754999,13.35120821,35303,0,0,0.317149304073,0.999648831714,0,0.1,0,0,25583.9785584,1,1,30.3784416672
22,0.0026434762224,75415,75415,0.680002524706,0.00402134924515,0.0483362901927,4.78977056781e-11,9.32017567223e-12,2933,1,0,29042.4116249,12.4758329391,34833,0,0,0.318357998018,0.999648831714,0,0.1,0,0,24871.9849584,1,1,29.1699860003
23,0.00262402931264,75414,75414,0.679993507899,-0.00399413149475,0.0483362901927,4.72898481026e-11,8.89098566765e-12,2929,1,0,29163.809833,17.2999172211,34143,0,0,0.319934238514,0.999648831714,0,0.1,0,0,24131.8432116,1,1,29.4412674583
24,0.00261387453242,75415,75415,0.680002524706,0.00721337691823,0.0483362901927,4.57722031114e-11,8.73748491455e-12,2936,1,0,28945.3748751,17.0820417404,33641,0,0,0.32168885717,0.999648831714,0,0.1,0,0,23420.5341315,1,1,29.261522667
25,0.00259975273316,75414,75414,0.679993507899,-0.00137409676376,0.0483362901927,4.31710208281e-11,8.38989305518e-12,2937,1,0,29092.977375,16.392083168,33131,0,0,0.322765130115,0.997772990716,0,0.1,0,0,22762.5315927,1,1,48.2611926668
26,0.00259004279642,75414,75414,0.679993507899,0.00220308107175,0.0483362901927,5.46896795779e-11,8.53464959295e-12,2923,1,0,27671.4934173,13.0590829849,28947,0,0,0.323499648611,0.997772990716,0,0.1,0,0,21551.3594556,1,1,27.8523484161
27,0.0025788163386,75414,75414,0.679993507899,-0.003787713197,0.0483362901927,5.09324478267e-11,8.05772112211e-12,2914,1,0,30854.9975829,13.0909590721,28835,0,0,0.324256940654,0.997772990716,0,0.1,0,0,21371.699348,1,1,31.0443548751
28,0.00256900378654,75415,75415,0.680002524706,-0.00401627371842,0.0483362901927,4.66212891514e-11,7.70279968973e-12,2905,1,0,30546.0168333,12.7004170418,28940,0,0,0.325230729006,0.997772990716,0,0.1,0,0,21044.6768928,1,1,30.741698334
29,0.00256024883522,75415,75415,0.680002524706,-0.00388092118655,0.0483362901927,4.20935504009e-11,7.3768471852e-12,2895,1,0,29710.456708,20.1003751755,28994,0,0,0.326689946665,0.997772990716,0,0.1,0,0,20700.3383663,1,1,29.961428083
30,0.00255265912191,75414,75414,0.679993507899,-0.00350998583003,0.0483362901927,3.75991961857e-11,7.0970417638e-12,2884,1,0,26133.9061251,13.7636666298,28896,0,0,0.330917857801,0.998456621314,0,0.1,0,0,20370.1254445,1,1,43.9263722077
31,0.0025523344487,75415,75415,0.680002524706,0.00515049014916,0.0483362901927,3.1262133361e-11,7.20361333688e-12,2864,1,0,25404.1228328,13.0577502251,27289,0,0,0.331694221337,0.998456621314,0,0.1,0,0,20127.1179762,1,1,25.565684834
32,0.0025460800851,75414,75414,0.679993507899,-0.00289895538024,0.0483362901927,2.73399905463e-11,6.84054788862e-12,2854,1,0,25831.4066248,12.8034582138,27356,0,0,0.332574135147,0.998456621314,0,0.1,0,0,20118.9977897,1,1,25.9999986668
33,0.00254102009455,75414,75414,0.679993507899,-0.00241477204473,0.0483362901927,2.38499920315e-11,6.60159529342e-12,2843,1,0,24307.5808749,16.4922499657,27379,0,0,0.333784182289,0.998456621314,0,0.1,0,0,19945.754485,1,1,24.5154136657
34,0.00253758478429,75414,75414,0.679993507899,0.0002258686908,0.0483362901927,2.22557757775e-11,6.45026687844e-12,2854,1,0,23924.6845422,11.9639167786,27521,0,0,0.335393714277,0.998456621314,0,0.1,0,0,19737.2465729,1,1,24.063839375
35,0.00253455976324,75414,75414,0.679993507899,0.000465744765375,0.0483362901927,2.05914873771e-11,6.3035481004e-12,2830,1,0,23667.7748747,12.0350842476,27698,0,0,0.336158066355,0.997711391709,0,0.1,0,0,19545.6062181,1,1,41.359035959
36,0.00253492392665,75415,75415,0.680002524706,-0.000228552106017,0.0483362901927,2.41369291345e-11,6.3869901114e-12,2851,1,0,24314.5483751,12.6937918663,26142,0,0,0.336690707939,0.997711391709,0,0.1,0,0,19397.6689619,1,1,24.5074509592
