iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.81200352287e-10,3.47969083407e-11,1172,1,0,83644.5557504,14.6184997559,57176,0,0,0.412195202996,0.999757555175,0,0.1,0.486300222028,1,78635.5391012,1,1,0,83.8152869171
2,0.00392597820063,75415,75415,0.680002524706,-0.0283984098406,0.0483362901927,2.41723869025e-10,2.78331429044e-11,2240,1,0,20134.505208,12.4270420074,56919,0,0,0.400185404289,0.999931273737,0,0.1,0.485464878617,1,79480.2630148,1,1,0,20.2379687498
3,0.00345271473482,75414,75414,0.679993507899,-0.0457961473726,0.0483362901927,2.62624806837e-10,2.20695850497e-11,2205,1,0,20082.8841667,12.6827082634,59137,0,0,0.395034313113,0.99930519182,0,0.1,0.490151125106,1,77481.6597417,1,1,0,20.2505422081
4,0.00339808325976,75415,75415,0.680002524706,0.0237085392347,0.0483362901927,2.63079958347e-10,2.08239459145e-11,2196,1,0,14003.9561253,12.1105408669,57916,0,0,0.396585277995,0.999928301477,0,0.1,0.492895199645,1,74364.0953668,1,1,0,14.1089051249
5,0.00318098666825,75414,75414,0.679993507899,-0.0278353847624,0.0483362901927,2.39060303985e-10,1.85734090113e-11,2200,1,0,13395.6039162,12.3625001907,54177,0,0,0.363572588652,0.99996454359,0,0.1,0.487989233324,1,70200.2248778,1,1,0,25.2095566248
6,0.0031990928013,75415,75415,0.680002524706,-0.0289217018409,0.0483362901927,2.19963828685e-10,2.44574577194e-11,2272,1,0,14207.2063751,19.5333337784,38382,0,0,0.357380909909,0.99996454359,0,0.1,0.483537106953,1,58660.218419,1,1,0,14.4844574998
7,0.00312408510669,75415,75415,0.680002524706,0.00974512734972,0.0483362901927,2.21509797087e-10,2.27787252846e-11,2525,1,0,15480.6755409,11.8616251945,38644,0,0,0.357023458851,0.99996454359,0,0.1,0.486254958961,1,55834.5275004,1,1,0,15.5819949163
8,0.00291507833034,75414,75414,0.679993507899,-0.0395223517229,0.0483362901927,1.86440879408e-10,1.56173230513e-11,2524,1,0,15515.4858332,11.8938336372,39484,0,0,0.344564772164,0.99996454359,0,0.1,0.489302462871,1,53034.4153861,1,1,0,15.6152785406
9,0.00288606750875,75414,75414,0.679993507899,0.00566394312671,0.0483362901927,1.56137209964e-10,1.58415850697e-11,2712,1,0,17149.0447922,12.4777078629,37856,0,0,0.349344761542,0.99996454359,0,0.1,0.49100526675,1,48771.1953691,1,1,0,17.3140290407
10,0.00282088670794,75415,75415,0.680002524706,-0.00550852263726,0.0483362901927,1.23078270428e-10,1.40726280953e-11,2865,1,0,17352.88975,11.6624164581,32262,0,0,0.35454670695,0.999840426974,0,0.1,0.483798420633,1,45321.65508,1,1,0,28.6618672921
11,0.00285192209661,75415,75415,0.680002524706,0.0061197103808,0.0483362901927,1.23330427089e-10,1.71740327639e-11,3063,1,0,18768.8440409,11.8913750648,26914,0,0,0.355253075402,0.999840426974,0,0.1,0.494822399679,1,38152.853466,1,1,0,18.9238198334
12,0.00279557307421,75415,75415,0.680002524706,0.00777137155891,0.0483362901927,1.16209999023e-10,1.50084534878e-11,3107,1,0,19806.4230828,12.7579174042,25406,0,0,0.356035381695,0.999840426974,0,0.1,0.496574202583,1,35479.8647695,1,1,0,20.0368295419
13,0.00275012589248,75415,75415,0.680002524706,0.0059027634141,0.0483362901927,1.02668872091e-10,1.3496607387e-11,3147,1,0,19065.3977499,12.0050420761,23873,0,0,0.357650193388,0.999840426974,0,0.1,0.498258498524,1,32594.9595282,1,1,0,19.1664746669
14,0.00268448578465,75415,75415,0.680002524706,-0.0195286612353,0.0483362901927,8.18174967588e-11,1.05571506612e-11,3158,1,0,18885.4036674,11.9441666603,21122,0,0,0.358096007946,0.999840426974,0,0.1,0.499644958389,1,29845.484416,1,1,0,19.0256595002
15,0.00266093546385,75415,75415,0.680002524706,0.00327654533739,0.0483362901927,6.8600505328e-11,1.00645169645e-11,3197,1,0,21417.8032503,12.9469575882,20169,0,0,0.37327417021,0.999898502937,0,0.1,0.497722111958,1,26546.9977989,1,1,0,33.5745948749
16,0.0026409561301,75415,75415,0.680002524706,0.00770589545559,0.0483362901927,5.11963256615e-11,1.16103638741e-11,3376,1,0,20429.9334998,12.757417202,14381,0,0,0.374119598034,0.999898502937,0,0.1,0.493170879564,1,18396.2152882,1,1,0,20.5855060839
17,0.00263161646819,75415,75415,0.680002524706,0.00652313517968,0.0483362901927,4.49447740328e-11,1.12414112342e-11,3385,1,0,20260.2380004,11.9390826225,13158,0,0,0.375105611818,0.999898502937,0,0.1,0.483656367345,1,17142.9793284,1,1,0,20.3461144171
18,0.00262111275528,75415,75415,0.680002524706,0.000170107672663,0.0483362901927,4.15633194466e-11,1.07605469825e-11,3385,1,0,20604.2296252,12.0042500496,12509,0,0,0.375601666783,0.999898502937,0,0.1,0.477544107018,1,15967.9447334,1,1,0,20.6953630405
19,0.00261286519199,75415,75415,0.680002524706,6.44336540261e-05,0.0483362901927,3.75415397042e-11,1.04541828664e-11,3371,1,0,20144.4137077,11.7161250114,12031,0,0,0.376161630922,0.999898502937,0,0.1,0.472584941248,1,14938.6628851,1,1,0,20.2545685843
20,0.00260666223428,75414,75414,0.679993507899,0.000822811972746,0.0483362901927,3.70744708313e-11,1.02840628251e-11,3369,1,0,20666.9150419,12.4120001793,11500,0,0,0.374303876683,0.999897391205,0,0.1,0.465253323324,1,14130.7295831,1,1,0,31.931754333
21,0.00260095220728,75415,75415,0.680002524706,0.00483187323547,0.0483362901927,3.26324794069e-11,1.0364240246e-11,2952,1,0,17774.6152921,11.6899580956,9180,0,0,0.374719865835,0.999897391205,0,0.1,0.406534333582,1,12579.9767537,1,1,0,17.9178382088
22,0.00259681126665,75415,75415,0.680002524706,-0.000659935609743,0.0483362901927,3.50779156748e-11,9.97194345184e-12,2957,1,0,18074.2287498,12.0492081642,8907,0,0,0.374725225528,0.999897391205,0,0.1,0.398293595849,1,12456.7673509,1,1,0,18.1549296249
23,0.00259379935811,75415,75415,0.680002524706,0.000859504565192,0.0483362901927,3.52797428119e-11,9.68241613239e-12,2966,1,0,18005.9893341,12.9808330536,8691,0,0,0.3750306113,0.999897391205,0,0.1,0.389626091845,1,12335.5106097,1,1,0,18.2113362909
24,0.00259106296513,75414,75414,0.679993507899,0.000615678900427,0.0483362901927,3.300494626e-11,9.44372218602e-12,2966,1,0,18117.0726662,11.5531668663,8434,0,0,0.37530528579,0.999897391205,0,0.1,0.381473941292,1,12223.1051801,1,1,0,18.1983953328
25,0.00258891462195,75415,75415,0.680002524706,0.0016002518576,0.0483362901927,2.91070997604e-11,9.24376017854e-12,2956,1,0,18610.6732922,12.4540829659,8206,0,0,0.37062478645,0.999898154752,0,0.1,0.372461809286,1,12116.2397648,1,1,0,29.7634247919
