arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
A2_all,0.68,0.680000,0.679994,60,4146.283635,0.002750,0.000000,0.000000,0.000000,-1,155478,310964,101684,50229,3565,27092,2.110057,12.295515,8.560515,0.440738,4.918698,9.456038,10.075545,7.910292,9.831712,9.231903,36101,113226,374471.698816,3.410559,5212,external,1.705279,57246,50282,16460,32249,0.125826,0.214568,0.772086
A3_seed16_perim,0.68,0.680000,0.679994,60,1613.437533,0.002704,0.000000,0.000000,0.000000,-1,163894,327836,104263,55970,3661,28038,2.109076,13.068583,8.786932,0.433538,5.022440,9.777255,11.179312,7.757596,10.258376,9.068806,37132,115189,371801.106626,3.410559,4984,external,1.705279,59368,50948,18725,33820,0.134700,0.229700,0.739296
N1_c4_norefit,0.68,0.680000,0.680003,60,1244.123011,0.003102,0.000000,0.000000,0.000000,-1,156176,312368,107824,44818,3534,27814,1.408031,11.973476,5.382090,0.409403,4.668112,8.846625,8.937281,7.718382,9.745288,8.838100,35105,116745,371949.407480,3.410559,5211,external,1.705279,58352,53160,13243,31588,0.106106,0.180940,0.819552
P1_c1,0.68,0.680000,0.679994,60,1972.516736,0.002709,0.000000,0.000000,0.000000,-1,168106,336428,104137,60329,3640,28057,2.070551,12.323078,8.372242,0.429308,4.941344,10.444457,12.709772,7.767969,10.356678,9.104866,36802,115673,372332.930534,3.410559,5137,external,1.705279,60183,50863,19047,34928,0.142301,0.242662,0.719795
P2_c2,0.68,0.680000,0.680003,60,1606.524204,0.002778,0.000000,0.000000,0.000000,-1,162144,324364,106178,52396,3570,28098,1.658590,12.214405,7.076934,0.414284,4.884982,9.398171,10.318205,7.841246,10.092062,8.975995,36282,116079,371565.171552,3.410559,5300,external,1.705279,58924,52779,13097,33178,0.118680,0.202382,0.800741
P3_c4,0.68,0.680000,0.679994,60,1774.673370,0.003026,0.000000,0.000000,0.000000,-1,154868,309756,106281,45042,3545,27578,1.393141,12.113322,5.638419,0.408995,4.733050,8.658677,8.106981,7.775812,9.703848,8.881501,35403,115131,371172.215881,3.410559,5258,external,1.705279,57362,53630,8689,31118,0.094539,0.161216,0.874574
P4_c8,0.68,0.680000,0.679994,60,1704.164061,0.004824,0.000000,0.000000,0.000000,-1,232010,464764,143379,84980,3651,35847,1.856957,12.293779,7.050904,0.533987,4.327803,14.798116,15.382721,13.502523,15.451332,12.422106,51344,140802,382390.196113,3.410559,11202,external,1.705279,81401,48272,66630,60638,0.228954,0.390431,0.307266
PR_c4_ramp,0.68,0.680000,0.679994,60,1490.850962,0.002898,0.000000,0.000000,0.000000,-1,175916,352124,106951,65294,3671,29352,2.161081,13.605239,9.904258,0.435966,5.251683,11.840145,14.798477,8.604304,11.211656,9.934966,38029,122569,371241.956637,3.410559,5615,external,1.705279,61758,51027,29579,37808,0.157566,0.268694,0.657427
RB1_volcount,0.68,0.680000,0.680003,60,1701.524384,0.002717,0.000000,0.000000,0.000000,-1,187564,375532,103690,80147,3727,31138,2.665990,14.043647,10.732044,0.485687,5.470409,11.798342,14.377949,8.196961,11.289143,9.647168,40924,119918,371578.883081,3.410559,7192,external,1.705279,64277,49080,27170,40789,0.173622,0.296073,0.578514
S0_seed16,0.68,0.680000,0.680003,60,1863.473480,0.002700,0.000000,0.000000,0.000000,-1,179424,359088,102698,73014,3712,30561,2.661476,13.932507,10.497583,0.485124,5.415615,10.817791,12.820567,7.993827,11.016457,9.296529,39928,118908,372278.532153,3.410559,5307,external,1.705279,63420,49022,27023,38273,0.165468,0.282170,0.613775
