field,printed_voxels,achieved_vf,fractional_samples,max_von_mises_mpa,margin_worst_case,margin_effective,accepted,min_feature_violations,load_path_connected,frozen_solid_below_iso,frozen_solid_total,frozen_void_above_iso,frozen_restored,mass_grams
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A2_all/snap/it0001,75415,0.680002524706,61028,0.0906099488037,606.997363161,125.686569001,1,1586,1,0,40216,0,0,464.050595252
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A2_all/snap/it0010,75414,0.679993507899,60281,0.038104512516,1443.39859949,298.874144569,1,2138,1,0,40216,0,0,463.87227271
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A2_all/snap/it0020,75414,0.679993507899,42506,0.0311998724225,1762.82772106,365.016030458,1,1297,1,0,40216,0,0,463.810782179
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A2_all/snap/it0030,75415,0.680002524706,24864,0.0208376162145,2639.45738485,546.533416551,1,765,1,0,40216,0,0,463.792335019
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A2_all/snap/it0040,75415,0.680002524706,20416,0.0178977653328,3073.00933817,636.30589466,1,684,1,0,40216,0,0,463.761589753
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A2_all/snap/it0050,75414,0.679993507899,18180,0.0212001066033,2594.32657718,537.188505491,1,625,1,0,40216,0,0,463.77388786
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A2_all/snap/it0060,75414,0.679993507899,17545,0.0190954098416,2880.27334613,596.397441949,1,609,1,0,40216,0,0,463.761589753
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A3_seed16_perim/snap/it0001,75415,0.680002524706,61028,0.0906099488037,606.997363161,125.686569001,1,1586,1,0,40216,0,0,464.050595252
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A3_seed16_perim/snap/it0010,75415,0.680002524706,57828,0.041280015585,1332.36383806,275.882976812,1,2156,1,0,40216,0,0,463.87227271
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A3_seed16_perim/snap/it0020,75415,0.680002524706,38903,0.0397330190866,1384.23913572,286.624420803,1,1187,1,0,40216,0,0,463.767738806
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A3_seed16_perim/snap/it0030,75415,0.680002524706,22752,0.0281066420767,1956.83283154,405.187270375,1,844,1,0,40216,0,0,463.767738806
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A3_seed16_perim/snap/it0040,75415,0.680002524706,19204,0.0196748703805,2795.44408356,578.832457965,1,734,1,0,40216,0,0,463.767738806
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A3_seed16_perim/snap/it0050,75415,0.680002524706,18458,0.01623225922,3388.31454419,701.593871078,1,695,1,0,40216,0,0,463.77388786
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/A3_seed16_perim/snap/it0060,75414,0.679993507899,18725,0.0171988518542,3197.88788614,662.163595514,1,667,1,0,40216,0,0,463.786185966
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/N1_c4_norefit/snap/it0001,75415,0.680002524706,70109,0.0875223941606,628.410597396,130.120453076,1,4814,1,0,40216,0,0,465.040592812
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/N1_c4_norefit/snap/it0010,75414,0.679993507899,68559,0.0356212076015,1544.02401556,319.709924208,1,4100,1,0,40216,0,0,463.810782179
