arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
RB1_volcount,0.68,0.680000,0.680003,60,0.000000,0.002510,0.000000,0.000000,0.000000,-1,186468,373336,103172,79577,3719,31106,2.764275,14.050063,11.071483,0.491017,5.646036,11.599084,14.132153,8.022313,11.319121,9.438787,41051,119579,370871.172818,3.410559,6928,external,1.705279,64541,49079,27602,40675,0.176974,0.301790,0.576742
S0_seed16,0.68,0.680000,0.680003,60,0.000000,0.002517,0.000000,0.000000,0.000000,-1,179424,359088,102698,73014,3712,30561,2.661476,13.932507,10.497583,0.485124,5.415615,10.817791,12.820567,7.993827,11.016457,9.296529,39928,118908,372278.532153,3.410559,5307,external,1.705279,63420,49022,27023,38273,0.165468,0.282170,0.613775
P1_c1,0.68,0.680000,0.679994,60,0.000000,0.002542,0.000000,0.000000,0.000000,-1,168106,336428,104137,60329,3640,28057,2.070551,12.323078,8.372242,0.429308,4.941344,10.444457,12.709772,7.767969,10.356678,9.104866,36802,115673,372332.930534,3.410559,5137,external,1.705279,60183,50863,19047,34928,0.142301,0.242662,0.719795
P2_c2,0.68,0.680000,0.679994,60,0.000000,0.002603,0.000000,0.000000,0.000000,-1,161048,322144,106314,51149,3585,27942,1.606728,12.337983,6.929426,0.415246,4.843164,9.409676,10.386312,7.806715,10.014418,8.969387,36084,116100,371564.873771,3.410559,5213,external,1.705279,59001,53021,13186,32771,0.114392,0.195070,0.811602
P3_c4,0.68,0.680000,0.680003,60,0.000000,0.002773,0.000000,0.000000,0.000000,-1,154886,309788,106391,44951,3544,27539,1.368620,11.985048,5.508963,0.409080,4.684952,8.695529,8.217831,7.785903,9.735266,8.891318,35405,115230,371373.348163,3.410559,5316,external,1.705279,57428,53683,8710,31102,0.093456,0.159368,0.874027
P4_c8,0.68,0.680000,0.680003,60,0.000000,0.003007,0.000000,0.000000,0.000000,-1,155858,311720,107986,44366,3506,28966,1.397295,11.882731,5.339722,0.416148,4.571301,8.615223,7.657698,7.881370,9.735344,8.941547,36032,116377,371222.350009,3.410559,5782,external,1.705279,57863,54455,8032,31305,0.090145,0.153722,0.881265
PR_c4_ramp,0.68,0.680000,0.680003,60,0.000000,0.002651,0.000000,0.000000,0.000000,-1,159424,318920,106108,49674,3642,27633,1.536900,11.501736,6.071970,0.421247,4.397935,9.182854,9.930166,7.705077,9.954209,8.875711,35782,116038,371453.101914,3.410559,4988,external,1.705279,58641,53232,11989,32305,0.107387,0.183125,0.829252
N1_c4_norefit,0.68,0.680000,0.679994,60,0.000000,0.002549,0.000000,0.000000,0.000000,-1,155384,310772,107936,43918,3530,27797,1.397621,11.860724,5.342722,0.408757,4.656807,8.823311,8.843859,7.716308,9.707667,8.838499,34952,116820,371898.338815,3.410559,5052,external,1.705279,58143,53134,13318,31305,0.100325,0.171082,0.824437
A2_all,0.68,0.680000,0.679994,60,0.000000,0.002814,0.000000,0.000000,0.000000,-1,155070,310152,101640,49851,3579,26962,2.138244,12.326595,8.686468,0.440722,4.999004,9.435334,10.067610,7.856847,9.839553,9.211047,36190,113137,374564.814948,3.410559,5209,external,1.705279,57100,50067,17545,32143,0.124291,0.211950,0.770401
A3_seed16_perim,0.68,0.680000,0.679994,60,0.000000,0.002552,0.000000,0.000000,0.000000,-1,163894,327836,104263,55970,3661,28038,2.109076,13.068583,8.786932,0.433538,5.022440,9.777255,11.179312,7.757596,10.258376,9.068806,37132,115189,371801.106626,3.410559,4984,external,1.705279,59368,50948,18725,33820,0.134700,0.229700,0.739296
