iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
1,0.00413837730484,75415,75415,0.680002524706,0.495183095336,0.0483362901927,2.01845750863e-10,5.10996807164e-11,1136,1,0,96490.5723748,12.7386660576,56562,0,0,0.400050538274,0.999936538532,0,0.1,0,0,79415.0968344,1,1,0,107.125646875
2,0.00356013125376,75415,75415,0.680002524706,0.0016238540411,0.0483362901927,1.02163481094e-10,3.32711834868e-11,1922,1,0,20670.5052919,12.2740411758,57637,0,0,0.402196343066,0.999752002793,0,0.1,0,0,79029.8097665,1,1,0,31.072962834
3,0.00315653044053,75414,75414,0.679993507899,-0.00912435352802,0.0483362901927,9.04909175507e-11,2.06076307854e-11,1911,1,0,20505.0045829,11.8454580307,56577,0,0,0.400009927282,0.999867301625,0,0.1,0,0,77346.3209109,1,1,0,30.8965597078
4,0.00297431250922,75414,75414,0.679993507899,-0.000580027699471,0.0483362901927,7.66396929792e-11,1.52304386592e-11,1930,1,0,13937.39925,11.9584999084,57115,0,0,0.398003682339,0.999313315497,0,0.1,0,0,74059.1226445,1,1,0,24.3438698333
5,0.00288084363259,75415,75415,0.680002524706,0.00629089772701,0.0483362901927,7.09799658874e-11,1.27523718674e-11,1941,1,0,14065.7876253,11.642999649,55111,0,0,0.35596345015,0.999877935944,0,0.1,0,0,70838.0667034,1,1,0,40.8032217501
6,0.0027862127819,75414,75414,0.679993507899,0.0019047409296,0.0483362901927,8.18448666013e-11,1.0515031424e-11,1975,1,0,14459.8155842,12.5391249657,48912,0,0,0.353846678101,0.999877935944,0,0.1,0,0,62157.0849429,1,1,0,24.9534409167
7,0.00278785812708,75414,75414,0.679993507899,0.0258218497038,0.0483362901927,8.0059461698e-11,1.13686284388e-11,2154,1,0,15582.5132923,12.1131248474,47220,0,0,0.355248064405,0.999877935944,0,0.1,0,0,60932.0259722,1,1,0,26.0427170829
8,0.0027419765166,75415,75415,0.680002524706,-0.00239945948124,0.0483362901927,7.37981481996e-11,9.91931863078e-12,2256,1,0,16244.9883332,11.8113341331,42171,0,0,0.351673307165,0.999877935944,0,0.1,0,0,59128.0234702,1,1,0,26.7949283752
9,0.00274259841952,75415,75415,0.680002524706,0.0174250453711,0.0483362901927,6.59940707382e-11,1.08338713847e-11,2317,1,0,16571.0566249,12.5015830994,39884,0,0,0.352455817739,0.999877935944,0,0.1,0,0,57234.8812937,1,1,0,26.9935528338
10,0.00270348812642,75415,75415,0.680002524706,-0.00718496739864,0.0483362901927,5.20040976753e-11,9.24561422469e-12,2326,1,0,16680.9373326,13.1238751411,39635,0,0,0.341335617261,0.999959531259,0,0.1,0,0,54700.5872401,1,1,0,43.4466681671
