iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
1,0.00929731823728,75415,75415,0.680002524706,0.489760562778,0.0483362901927,7.91989350113e-09,9.24442743981e-10,1104,1,0,123377.376209,16.2844581604,56557,0,0,0.399471577839,0.999378996449,0,0.1,0,0,79575.2362195,0,2.2496459599,0,0,0,195.260458041
2,0.00642650633569,75415,75415,0.680002524706,0.00270940363407,0.0483362901927,2.17465311814e-09,3.07533923207e-10,2096,1,0,23236.3608751,13.4627919197,57751,0,0,0.401263687987,0.999842014759,0,0.1,0,0,79412.8467424,0,1.76780454399,0,0,0,70.1950382078
3,0.00515049273745,75415,75415,0.680002524706,0.00404976308346,0.0483362901927,6.08272836685e-10,1.45039381072e-10,2067,1,0,21296.9677906,14.2949590683,56189,0,0,0.400774849862,0.999867301625,0,0.1,0,0,78103.9999117,0,1.53379010176,0,0,0,74.0663001249
4,0.00437803071227,75415,75415,0.680002524706,-0.00316090881824,0.0483362901927,3.78667512557e-10,8.18328954267e-11,1947,1,0,22655.8126249,14.4099583626,57480,0,0,0.398921764298,0.99930519182,0,0.1,0,0,76177.950462,0,1.39136914822,0,0,0,70.3233761671
5,0.00393262465478,75414,75414,0.679993507899,-0.00458545982838,0.0483362901927,5.78268908282e-10,5.51118773031e-11,2068,1,0,21012.4316659,17.013625145,56479,0,0,0.356120585044,0.999936260593,0,0.1,0,0,73648.1089399,0,1.30979179964,0,0,0,89.5185725
6,0.00364533705129,75414,75414,0.679993507899,0.0167537480593,0.0483362901927,5.69292840359e-10,4.99312556125e-11,2125,1,0,24468.743958,13.4091248512,51071,0,0,0.355292629347,0.999936260593,0,0.1,0,0,65697.102519,0,1.25319330637,0,0,0,74.8675383329
7,0.00352886690182,75414,75414,0.679993507899,0.00520087778568,0.0483362901927,4.75258936594e-10,4.25306120937e-11,2277,1,0,21551.526917,12.4068751335,49413,0,0,0.354844127591,0.999936260593,0,0.1,0,0,63848.5907335,0,1.23469140749,0,0,0,67.2240242078
8,0.00343548555135,75414,75414,0.679993507899,0.00413991510868,0.0483362901927,3.85578195612e-10,3.84720137776e-11,2386,1,0,23680.1934581,14.7163329124,44585,0,0,0.352992829832,0.999936260593,0,0.1,0,0,62088.0471333,0,1.219928929,0,0,0,69.5189251662
9,0.00336312437355,75415,75415,0.680002524706,0.00528506934643,0.0483362901927,5.6850885829e-10,3.78009861078e-11,2501,1,0,21532.9577093,14.0847907066,42021,0,0,0.353312026622,0.999936260593,0,0.1,0,0,60021.9991706,0,1.21047413936,0,0,0,72.2823526249
10,0.0033391191412,75415,75415,0.680002524706,0.0119563192129,0.0483362901927,6.62220665814e-10,3.79812727361e-11,2594,1,0,24545.3928752,13.0689167976,42038,0,0,0.342922259837,0.999936738804,0,0.1,0,0,58061.8886372,0,1.20853891886,0,0,0,92.8338945
11,0.00330814271639,75415,75415,0.680002524706,0.027221813798,0.0483362901927,7.17352010618e-10,3.99488883221e-11,2644,1,0,30052.387042,16.3148331642,38734,0,0,0.3452518089,0.999936738804,0,0.1,0,0,52291.718552,0,1.2028945522,0,0,0,88.9933712496
12,0.00329997381733,75414,75414,0.679993507899,0.0064093619585,0.0483362901927,4.48440891346e-10,4.00924220927e-11,2627,1,0,26420.1070833,14.3460416794,38121,0,0,0.346196189111,0.999936738804,0,0.1,0,0,51207.2923201,0,1.20416687968,0,0,0,82.2157524591
13,0.00329627396824,75414,75414,0.679993507899,0.00511817634106,0.0483362901927,2.36081739461e-10,4.15604333407e-11,2669,1,0,29259.3457088,12.8958754539,36604,0,0,0.346607051057,0.999936738804,0,0.1,0,0,50216.8097114,0,1.20654161645,0,0,0,84.8789657089
14,0.00327576036796,75415,75415,0.680002524706,0.00155083835125,0.0483362901927,2.33362354362e-10,4.15791160114e-11,2645,1,0,29766.9361253,13.9919576645,35920,0,0,0.347174689696,0.999936738804,0,0.1,0,0,49167.3977669,0,1.20440968901,0,0,0,86.5855393331
15,0.00328255486798,75415,75415,0.680002524706,0.00467412173748,0.0483362901927,2.18378113672e-10,4.25045073408e-11,2660,1,0,28452.5672913,15.2929997444,36093,0,0,0.339563044936,0.99974446788,0,0.1,0,0,48500.3537877,0,1.20775085332,0,0,0,101.817533542
16,0.00324488716152,75415,75415,0.680002524706,0.0135857611895,0.0483362901927,2.00298311915e-10,4.15399292535e-11,2662,1,0,27100.9629159,14.6215839386,33278,0,0,0.340781946124,0.99974446788,0,0.1,0,0,46168.8792828,0,1.19887095708,0,0,0,87.8332048333
17,0.00325976121407,75414,75414,0.679993507899,0.00484846532345,0.0483362901927,1.44028808963e-10,4.16590365328e-11,2662,1,0,26685.5606251,18.4840421677,33668,0,0,0.340847128501,0.99974446788,0,0.1,0,0,46414.9401216,0,1.20321732908,0,0,0,81.8430980421
18,0.00325658994672,75414,75414,0.679993507899,-0.00126324594021,0.0483362901927,1.35834421781e-10,4.07933960693e-11,2487,1,0,25690.7075,14.7269172668,33338,0,0,0.341349687693,0.99974446788,0,0.1,0,0,46199.4329531,0,1.20341320579,0,0,0,84.6382008344
19,0.00325655494766,75415,75415,0.680002524706,0.00214762985706,0.0483362901927,1.36356772361e-10,4.07872248089e-11,2662,1,0,27917.2892923,13.5917077065,33629,0,0,0.341238810951,0.99974446788,0,0.1,0,0,46268.9240627,0,1.20314924981,0,0,0,84.2134975409
20,0.00324681537038,75414,75414,0.679993507899,-0.0023428350687,0.0483362901927,1.09009408629e-10,3.97857419304e-11,2661,1,0,28994.8759174,14.1342077255,33129,0,0,0.334013117456,0.999911725671,0,0.1,0,0,45932.6300314,0,1.20172736896,0,0,0,103.1053745
21,0.00322666887105,75415,75415,0.680002524706,0.0168520957232,0.0483362901927,1.05778612833e-10,3.92717553803e-11,2663,1,0,27357.4039159,21.4166250229,32979,0,0,0.336023790912,0.999911725671,0,0.1,0,0,45393.2463448,0,1.19478924039,0,0,0,89.6315546674
22,0.003228893942,75414,75414,0.679993507899,-7.11530447006e-05,0.0483362901927,9.190268176e-11,3.80656971356e-11,2661,1,0,27035.2354159,14.7348337173,32234,0,0,0.336426095234,0.999911725671,0,0.1,0,0,45293.5695202,0,1.19616526296,0,0,0,82.8205116247
23,0.00323830269115,75414,75414,0.679993507899,0.00349171459675,0.0483362901927,6.79123254386e-11,3.7138499836e-11,2662,1,0,26803.3294582,13.9301667213,33184,0,0,0.337107368416,0.999911725671,0,0.1,0,0,45595.3763074,0,1.19682232427,0,0,0,88.5028683753
24,0.00324168846629,75414,75414,0.679993507899,-0.0011321157217,0.0483362901927,6.67859362583e-11,3.80345375205e-11,2660,1,0,24676.6497502,14.0659589767,32317,0,0,0.337222134908,0.999911725671,0,0.1,0,0,45306.1888531,0,1.19858678024,0,0,0,83.5471816673
25,0.00322494106009,75415,75415,0.680002524706,0.000591948628426,0.0483362901927,6.3392486009e-11,3.60920829595e-11,2662,1,0,24986.938375,13.7136669159,32982,0,0,0.348785010698,0.999838253815,0,0.1,0,0,45376.8802702,0,1.19333396628,0,0,0,98.5771598336
26,0.00321832595495,75414,75414,0.679993507899,0.0131282955408,0.0483362901927,8.60130954139e-11,3.66662663496e-11,2656,1,0,27299.0085421,13.0269169807,31854,0,0,0.352404141158,0.999838253815,0,0.1,0,0,44474.2465211,0,1.19095263603,0,0,0,84.2244845
27,0.00320295824866,75414,75414,0.679993507899,0.00112615525723,0.0483362901927,6.96850461545e-11,3.42877557447e-11,2662,1,0,25808.5739999,13.82954216,32350,0,0,0.352606966968,0.999838253815,0,0.1,0,0,44703.424641,0,1.18627533346,0,0,0,84.6145398752
28,0.00321817542209,75414,75414,0.679993507899,0.00087134540081,0.0483362901927,8.75408511122e-11,3.55556643809e-11,2653,1,0,27168.376708,14.8456249237,31881,0,0,0.353354696954,0.999838253815,0,0.1,0,0,44571.0073187,0,1.19083004117,0,0,0,87.017204958
29,0.00320252373185,75415,75415,0.680002524706,-2.27242708206e-05,0.0483362901927,9.74704335871e-11,3.39488529857e-11,2659,1,0,28692.0305829,13.8383750916,32363,0,0,0.353174937547,0.999838253815,0,0.1,0,0,44720.645351,0,1.18574670057,0,0,0,85.8186146249
30,0.00321134689483,75415,75415,0.680002524706,-0.000805780291557,0.0483362901927,8.13970104753e-11,3.48302922548e-11,2653,1,0,26978.8198328,19.4031252861,31786,0,0,0.335442141605,0.999736918165,0,0.1,0,0,44461.5512258,0,1.18905502886,0,0,0,104.915818125
31,0.00318359346849,75415,75415,0.680002524706,0.0143077224493,0.0483362901927,6.92388722829e-11,3.28013546583e-11,2657,1,0,26936.4876251,14.0183339119,31720,0,0,0.338258220006,0.999736918165,0,0.1,0,0,44016.6432287,0,1.17954475628,0,0,0,83.3507530829
