iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.72151509651e-10,3.21882058996e-11,1172,1,0,130259.761833,16.7294173241,57176,0,0,0.411808710001,0.999757555175,0,0.1,0,0,78635.5391012,1,1,0,128215.518843,0.3,130.5544965
2,0.00397595953503,75414,75414,0.679993507899,-0.0232717846656,0.0483362901927,2.38082976029e-10,2.435900274e-11,2240,1,0,33056.487875,18.5004582405,57136,0,0,0.39935749415,0.999750228233,0,0.1,0,0,79374.0873861,1,1,0,124376.84115,0.3,33.3482756251
3,0.00353276271749,75414,75414,0.679993507899,-0.0369330631177,0.0483362901927,2.53850801202e-10,1.80204656963e-11,2209,1,0,33541.096375,19.0994577408,58409,0,0,0.394766078281,0.999867301625,0,0.1,0,0,78080.407282,1,1,0,120843.214161,0.3,33.8537894576
4,0.00341157028045,75414,75414,0.679993507899,0.00838624426342,0.0483362901927,2.5760201806e-10,1.67656079053e-11,2210,1,0,27030.972084,14.7065830231,59738,0,0,0.395229455854,0.999783342752,0,0.1,0,0,75325.7935649,1,1,0,117526.252329,0.3,27.3700310001
5,0.00322146740572,75415,75415,0.680002524706,-0.0173118218103,0.0483362901927,2.37580350188e-10,1.47309931506e-11,2196,1,0,23684.196291,25.6037921906,57064,0,0,0.360399699415,0.999898109494,0,0.1,0,0,72241.1260113,1,1,0,114276.022772,0.3,42.3095894582
6,0.00309056074273,75415,75415,0.680002524706,-0.0163396672464,0.0483362901927,2.1154257508e-10,1.46624235932e-11,2285,1,0,25013.3775001,14.7284169197,46718,0,0,0.356424315045,0.999898109494,0,0.1,0,0,65148.5885987,1,1,0,128481.933123,0.3,25.3392843748
7,0.00302958129976,75415,75415,0.680002524706,0.00704382884552,0.0483362901927,2.24842363838e-10,1.40018849344e-11,2417,1,0,26292.0127497,14.9115829468,44552,0,0,0.35552816985,0.999898109494,0,0.1,0,0,63254.374738,1,1,0,125463.078406,0.3,26.6094095418
8,0.00294184694497,75414,75414,0.679993507899,-0.00748178836401,0.0483362901927,2.11500194294e-10,1.27955504216e-11,2466,1,0,30490.4424996,13.7350831032,44343,0,0,0.353995918048,0.999898109494,0,0.1,0,0,61001.8059728,1,1,0,122582.155417,0.3,30.77800425
9,0.00286130087404,75415,75415,0.680002524706,-0.0101945338964,0.0483362901927,1.78096626649e-10,1.17135763503e-11,2511,1,0,27169.7927923,12.975291729,43982,0,0,0.352966744743,0.999898109494,0,0.1,0,0,58330.2505107,1,1,0,119686.39094,0.3,27.3645954588
10,0.00278446666667,75415,75415,0.680002524706,-0.0130796859782,0.0483362901927,1.36919489974e-10,1.05043692887e-11,2515,1,0,27483.1265421,13.6416659355,43300,0,0,0.345544753564,0.999920385796,0,0.1,0,0,55676.0940002,1,1,0,116840.785535,0.3,45.8347019162
11,0.00276915487757,75414,75414,0.679993507899,0.00610428189943,0.0483362901927,1.29431481056e-10,1.10819266807e-11,2914,1,0,35183.1272502,14.4059576988,36542,0,0,0.347548712122,0.999920385796,0,0.1,0,0,50307.554307,1,1,0,123190.196759,0.3,35.4926399998
12,0.00272956101829,75415,75415,0.680002524706,0.00332483772606,0.0483362901927,1.28568965969e-10,1.01419081349e-11,2964,1,0,32250.6394172,13.3305830956,34908,0,0,0.348925792925,0.999920385796,0,0.1,0,0,48734.1247849,1,1,0,120675.943545,0.3,32.5513960831
13,0.00269465435611,75415,75415,0.680002524706,0.00168746939527,0.0483362901927,1.17004850047e-10,9.38711939534e-12,3003,1,0,32824.7757092,13.7057499886,34210,0,0,0.351067397874,0.999920385796,0,0.1,0,0,46616.9935834,1,1,0,118425.68982,0.3,33.1292741657
14,0.00265177793211,75414,75414,0.679993507899,-0.00804132907459,0.0483362901927,9.75834752729e-11,8.36475601989e-12,3026,1,0,33281.5927911,13.0309171677,32830,0,0,0.349428437365,0.999920385796,0,0.1,0,0,44374.4528079,1,1,0,116360.479141,0.3,33.5930976253
15,0.00261736643283,75415,75415,0.680002524706,-0.00704055730803,0.0483362901927,8.08542170238e-11,7.57421178798e-12,2971,1,0,34907.8179998,13.2871251106,31499,0,0,0.355283095337,0.999806883023,0,0.1,0,0,41792.6752164,1,1,0,114529.541502,0.3,53.8239048747
16,0.00259478561449,75414,75414,0.679993507899,-0.000525591193792,0.0483362901927,6.86488982286e-11,7.73933047231e-12,3305,1,0,35523.6951251,16.196082592,26553,0,0,0.35619171983,0.999806883023,0,0.1,0,0,34043.2401317,1,1,0,120385.569546,0.3,35.8388704997
17,0.00258244687374,75414,75414,0.679993507899,0.00201014329813,0.0483362901927,5.3461032877e-11,7.28972906004e-12,3308,1,0,35777.6646662,12.2146248817,25436,0,0,0.357210331687,0.999806883023,0,0.1,0,0,32644.6893051,1,1,0,118305.935774,0.3,35.956056959
18,0.00257102253602,75414,75414,0.679993507899,-0.000876874541231,0.0483362901927,3.91781918553e-11,7.01129625177e-12,3326,1,0,38177.0072079,13.0920000076,24359,0,0,0.358304572135,0.999806883023,0,0.1,0,0,31186.764989,1,1,0,116476.321347,0.3,38.488470417
19,0.00256166077876,75415,75415,0.680002524706,-0.00039117901344,0.0483362901927,2.73059552608e-11,6.73599783474e-12,3330,1,0,35108.5305424,13.2454166412,23557,0,0,0.359433065066,0.999806883023,0,0.1,0,0,29924.6512164,1,1,0,114769.483794,0.3,35.3996742079
