iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.81200352287e-10,3.47969083407e-11,1172,1,0,105190.359875,12.7853751183,57176,0,0,0.412195202996,0.999757555175,0,0.1,0.486300222028,1,78635.5391012,1,1,0,0,0,105.424453333
2,0.00392597820063,75415,75415,0.680002524706,-0.0283984098406,0.0483362901927,2.41723869025e-10,2.78331429044e-11,2240,1,0,23091.9529171,12.2118749619,56919,0,0,0.400185404289,0.999931273737,0,0.1,0.485464878617,1,79480.2630148,1,1,0,0,0,23.2632911671
3,0.00345271473482,75414,75414,0.679993507899,-0.0457961473726,0.0483362901927,2.62624806837e-10,2.20695850497e-11,2205,1,0,22415.1205001,11.6031250954,59137,0,0,0.395034313113,0.99930519182,0,0.1,0.490151125106,1,77481.6597417,1,1,0,0,0,22.5830768747
4,0.00339808325976,75415,75415,0.680002524706,0.0237085392347,0.0483362901927,2.63079958347e-10,2.08239459145e-11,2196,1,0,16112.385417,13.3218331337,57916,0,0,0.396585277995,0.999928301477,0,0.1,0.492895199645,1,74364.0953668,1,1,0,0,0,16.3016241668
5,0.00318098666825,75414,75414,0.679993507899,-0.0278353847624,0.0483362901927,2.39060303985e-10,1.85734090113e-11,2200,1,0,16003.2544169,11.6228752136,54177,0,0,0.363572588652,0.99996454359,0,0.1,0.487989233324,1,70200.2248778,1,1,0,0,0,32.4290293329
6,0.0031990928013,75415,75415,0.680002524706,-0.0289217018409,0.0483362901927,2.19963828685e-10,2.44574577194e-11,2272,1,0,16615.5666251,12.2393751144,38382,0,0,0.357380909909,0.99996454359,0,0.1,0.483537106953,1,58660.218419,1,1,0,0,0,16.8059985
7,0.00312408510669,75415,75415,0.680002524706,0.00974512734972,0.0483362901927,2.21509797087e-10,2.27787252846e-11,2525,1,0,18223.0144582,11.7854576111,38644,0,0,0.357023458851,0.99996454359,0,0.1,0.486254958961,1,55834.5275004,1,1,0,0,0,18.3857043749
8,0.00291507833034,75414,75414,0.679993507899,-0.0395223517229,0.0483362901927,1.86440879408e-10,1.56173230513e-11,2524,1,0,17889.58775,11.7307500839,39484,0,0,0.344564772164,0.99996454359,0,0.1,0.489302462871,1,53034.4153861,1,1,0,0,0,18.049788625
9,0.00288606750875,75414,75414,0.679993507899,0.00566394312671,0.0483362901927,1.56137209964e-10,1.58415850697e-11,2712,1,0,19237.3517923,11.6332497597,37856,0,0,0.349344761542,0.99996454359,0,0.1,0.49100526675,1,48771.1953691,1,1,0,0,0,19.395762708
10,0.00282088670794,75415,75415,0.680002524706,-0.00550852263726,0.0483362901927,1.23078270428e-10,1.40726280953e-11,2865,1,0,20553.0465002,11.7296247482,32262,0,0,0.35454670695,0.999840426974,0,0.1,0.483798420633,1,45321.65508,1,1,0,0,0,37.0880527082
11,0.00285192209661,75415,75415,0.680002524706,0.0061197103808,0.0483362901927,1.23330427089e-10,1.71740327639e-11,3063,1,0,22046.804708,11.7313752174,26914,0,0,0.355253075402,0.999840426974,0,0.1,0.494822399679,1,38152.853466,1,1,0,0,0,22.2431460419
12,0.00279557307421,75415,75415,0.680002524706,0.00777137155891,0.0483362901927,1.16209999023e-10,1.50084534878e-11,3107,1,0,22708.4803329,17.0674171448,25406,0,0,0.356035381695,0.999840426974,0,0.1,0.496574202583,1,35479.8647695,1,1,0,0,0,22.9663397088
13,0.00275012589248,75415,75415,0.680002524706,0.0059027634141,0.0483362901927,1.02668872091e-10,1.3496607387e-11,3147,1,0,23108.3181672,12.2433748245,23873,0,0,0.357650193388,0.999840426974,0,0.1,0.498258498524,1,32594.9595282,1,1,0,0,0,23.2592064594
