iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
1,0.00413279173835,75415,75415,0.680002524706,0.489760562778,0.0483362901927,2.13413468959e-10,6.59311234615e-11,1104,1,0,103926.187792,13.1522502899,56557,0,0,0.399053921994,0.999757555175,0,0.1,0.485091019826,1,79575.2362195,1,1,0,0,0,108.319601375
2,0.0035284996936,75415,75415,0.680002524706,0.000517442822456,0.0483362901927,1.49443760667e-10,4.12449775937e-11,2075,1,0,21813.5758748,13.3150000572,57163,0,0,0.400526158662,0.999850904065,0,0.1,0.485949931661,1,79342.7789383,1,1,0,0,0,25.5524308342
3,0.0032199216914,75414,75414,0.679993507899,0.000803545117378,0.0483362901927,1.47937821754e-10,3.0529921524e-11,2052,1,0,21561.9972501,11.9064998627,56531,0,0,0.399990517474,0.999469354963,0,0.1,0.486730162396,1,77504.5012811,1,1,0,0,0,25.1886966252
4,0.00299153685139,75415,75415,0.680002524706,-0.00889711081982,0.0483362901927,1.45567866237e-10,2.28386918605e-11,2034,1,0,14968.133625,12.5115408897,57762,0,0,0.397296280118,0.999927235179,0,0.1,0.491864530262,1,74729.2995495,1,1,0,0,0,18.675006167
5,0.00281688257981,75414,75414,0.679993507899,-0.0176351517439,0.0483362901927,1.44686525421e-10,1.70688874627e-11,2002,1,0,15317.3227081,12.6159996986,55080,0,0,0.357313739808,0.99978424181,0,0.1,0.487459982258,1,71612.6181581,1,1,0,0,0,35.2117546252
6,0.00274632301846,75414,75414,0.679993507899,-0.00416375696659,0.0483362901927,1.22919563024e-10,1.42790509913e-11,2186,1,0,16582.9976249,11.9222502708,48347,0,0,0.354351326311,0.99978424181,0,0.1,0.463734242514,1,62208.5020125,1,1,0,0,0,20.2556304578
7,0.00270242254745,75414,75414,0.679993507899,-0.000614300370216,0.0483362901927,9.43196790688e-11,1.25460729606e-11,2186,1,0,16332.5201249,13.0286669731,41552,0,0,0.3535742441,0.99978424181,0,0.1,0.475097674873,1,58960.3254987,1,1,0,0,0,20.2790312087
8,0.00266423875489,75414,75414,0.679993507899,-0.00466369092464,0.0483362901927,7.13378201677e-11,1.079744896e-11,2281,1,0,16351.2885833,11.9512085915,39150,0,0,0.351253780431,0.99978424181,0,0.1,0.484318746836,1,55609.166765,1,1,0,0,0,19.9893497908
9,0.00263375759085,75415,75415,0.680002524706,-0.00492297112942,0.0483362901927,6.24873435935e-11,9.30706855503e-12,2363,1,0,17013.3109999,12.2937083244,36760,0,0,0.350792753627,0.99978424181,0,0.1,0.488446330859,1,52218.0253691,1,1,0,0,0,20.6071327501
10,0.00262053818207,75415,75415,0.680002524706,0.00600256025791,0.0483362901927,6.77666863785e-11,8.6427542784e-12,2520,1,0,18529.8989997,12.9556660652,34288,0,0,0.345968542858,0.999703294213,0,0.1,0.496065005468,1,49061.9755728,1,1,0,0,0,38.4745423328
11,0.00260940298649,75415,75415,0.680002524706,0.0115301460028,0.0483362901927,6.97007049776e-11,8.27728397094e-12,2623,1,0,18941.4068336,11.9721250534,30388,0,0,0.347106135328,0.999703294213,0,0.1,0.488164335061,1,42907.3633835,1,1,0,0,0,22.5548940413
12,0.00260228300326,75415,75415,0.680002524706,0.00922195613384,0.0483362901927,6.18525255515e-11,8.10582392397e-12,2711,1,0,19639.7795,11.804833889,28717,0,0,0.348164964596,0.999703294213,0,0.1,0.487579582879,1,41015.0305639,1,1,0,0,0,23.3881757078
13,0.00259669230847,75415,75415,0.680002524706,0.0073503702879,0.0483362901927,4.99312255771e-11,8.00887031506e-12,2734,1,0,20348.362875,12.460334301,27390,0,0,0.348914749902,0.999703294213,0,0.1,0.485524168366,1,39190.3750232,1,1,0,0,0,24.0367270829
14,0.00259218515101,75414,75414,0.679993507899,0.00593326985836,0.0483362901927,4.22481067389e-11,7.95133321955e-12,2714,1,0,20608.2038751,11.8602919579,26793,0,0,0.350420952275,0.999703294213,0,0.1,0.482506537331,1,37541.1304474,1,1,0,0,0,24.2264447082
15,0.00258961267275,75414,75414,0.679993507899,0.00661350786686,0.0483362901927,3.4030235263e-11,7.99477146695e-12,2677,1,0,20221.3174171,11.9994578362,24692,0,0,0.339874932708,0.999634979316,0,0.1,0.48606766008,1,36191.0502616,1,1,0,0,0,40.5327100833
16,0.00258631964447,75415,75415,0.680002524706,0.00836737453938,0.0483362901927,2.84140372962e-11,8.50360127502e-12,2655,1,0,19161.5969591,12.4877500534,22751,0,0,0.340407140532,0.999634979316,0,0.1,0.46656898557,1,32205.0841033,1,1,0,0,0,22.8738497091
17,0.00258525375201,75414,75414,0.679993507899,0.00215508043766,0.0483362901927,3.19999897466e-11,8.4520306241e-12,2663,1,0,19148.7043753,12.297290802,22320,0,0,0.3410356597,0.999634979316,0,0.1,0.463027032605,1,31683.4818563,1,1,0,0,0,22.7670564172
18,0.00258428306569,75415,75415,0.680002524706,0.0015277415514,0.0483362901927,3.07462557531e-11,8.33459291748e-12,2659,1,0,19132.291625,13.2082080841,21576,0,0,0.341817673831,0.999634979316,0,0.1,0.45740759229,1,31233.1867722,1,1,0,0,0,22.8310170411
19,0.00258389919713,75414,75414,0.679993507899,0.00194273889065,0.0483362901927,2.51031370748e-11,8.26428238745e-12,2653,1,0,19017.1097922,12.5891246796,21102,0,0,0.342450322907,0.999634979316,0,0.1,0.45265808871,1,30937.3808378,1,1,0,0,0,22.6421649167
20,0.00258296742419,75415,75415,0.680002524706,0.000469759106636,0.0483362901927,2.50811384087e-11,8.14176069837e-12,2654,1,0,19234.0541248,11.8737502098,20763,0,0,0.333084738743,0.999947115045,0,0.1,0.449294361092,1,30571.2952291,1,1,0,0,0,39.1559467921
21,0.00258147882693,75414,75414,0.679993507899,0.00289492309093,0.0483362901927,2.21512419087e-11,7.87306697626e-12,2648,1,0,19188.78125,11.8979578018,20217,0,0,0.333812108743,0.999947115045,0,0.1,0.435481571335,1,29543.525762,1,1,0,0,0,22.8092879169
22,0.00258003239252,75415,75415,0.680002524706,-0.00217817723751,0.0483362901927,2.0672268261e-11,7.75922027276e-12,2652,1,0,19211.392333,11.8674168587,19874,0,0,0.333899014559,0.999947115045,0,0.1,0.433316077636,1,29248.5475293,1,1,0,0,0,22.8452499169
23,0.00258085992634,75415,75415,0.680002524706,0.00370554625988,0.0483362901927,1.692622458e-11,7.80565321863e-12,2647,1,0,19485.2554588,12.9404582977,19773,0,0,0.335079633116,0.999947115046,0,0.1,0.430422610176,1,29265.8140327,1,1,0,0,0,23.1035361248
24,0.00257952576782,75415,75415,0.680002524706,-0.00142566859722,0.0483362901927,1.4779802661e-11,7.64417035696e-12,2652,1,0,19169.891458,12.4753746986,19584,0,0,0.335089485293,0.999947115046,0,0.1,0.427518186215,1,29079.9626956,1,1,0,0,0,22.82932575
25,0.00257960759469,75415,75415,0.680002524706,0.00135488808155,0.0483362901927,1.48088771614e-11,7.65933733908e-12,2643,1,0,19925.165875,11.874417305,19413,0,0,0.327258065166,0.999890403106,0,0.1,0.423805651185,1,28990.4170171,1,1,0,0,0,40.0122020422
