arm,rung,requested_vf,achieved_vf,iterations,wall_s,compliance,margin_worst_case,margin_effective,max_von_mises_mpa,accepted,verts,tris,n_cad,n_cut,n_ambiguous,n_oblique,obl_all_rms_mm,obl_all_max_mm,obl_all_p99_mm,obl_cad_rms_mm,obl_cut_rms_mm,dihedral_all_deg,dihedral_cut_deg,dihedral_cad_deg,dihedral_refcut_deg,dihedral_refcad_deg,n_refcut,n_refcad,volume_mm3,min_section_mm2,min_feature_violations,field_lattice,field_spacing_mm,boundary_samples,binary_boundary,fractional_samples,crossings,crossing_rms_frac,crossing_rms_mm,midpoint_share
SIMP,0.68,0.680000,0.679951,27,0.000000,0.000000,3254.356637,673.856173,0.016900,1,142354,284704,112583,26191,3580,28365,1.060542,10.333206,4.784076,0.429291,3.745211,8.407493,7.552074,7.584248,10.189099,8.590452,40928,121418,440550.901897,3.410559,5464,design,1.705279,54081,47965,28374,29803,0.076042,0.129674,0.852800
SIMP,0.52,0.520000,0.520005,127,0.000000,0.000000,3389.417071,701.822163,0.016227,1,145550,291100,102843,38975,3732,27041,1.668416,10.386693,6.160131,0.450660,4.169128,9.235320,9.633753,7.902345,10.088480,9.170355,37474,116749,403281.985389,3.410559,5047,design,1.705279,60567,60563,45194,33848,0.001329,0.002266,0.999586
SIMP,0.38,0.380000,0.380000,140,0.000000,0.000000,3290.912400,681.425511,0.016713,1,165096,330212,94724,66549,3823,26963,2.920980,14.315680,10.808754,0.439357,5.795062,9.810777,10.458037,8.055534,9.937820,9.516837,36429,109262,330882.206697,3.410559,5134,design,1.705279,63131,63130,55060,35386,0.003265,0.005568,0.999915
SIMP,0.26,0.260000,0.259996,153,0.000000,0.000000,3014.120054,624.112115,0.018247,1,167778,335588,89254,74646,3878,26388,3.487837,15.599243,12.902407,0.437524,6.419456,9.941336,10.265723,8.303072,9.865943,9.831157,35896,104643,288713.430385,3.410559,5523,design,1.705279,64679,64678,63381,36453,0.001746,0.002978,0.999890
F0_none,0.68,0.680000,0.679994,50,0.000000,0.002530,0.000000,0.000000,0.000000,-1,181304,363008,102083,75488,3733,29365,2.543500,14.050828,10.192238,0.472599,5.290847,11.573025,14.316747,7.980542,11.011890,9.335972,40023,118011,372270.898251,3.410559,5378,external,1.705279,63548,54323,16527,39372,0.156443,0.266778,0.638626
FA_r1,0.68,0.680000,0.680003,50,0.000000,0.002583,0.000000,0.000000,0.000000,-1,173192,346524,103637,65863,3692,28113,2.141551,12.345968,8.559675,0.461442,4.809445,10.569365,12.401381,8.171029,10.101235,9.505816,37081,117061,376134.441490,3.410559,4447,external,1.705279,63814,51730,70688,39421,0.156887,0.267536,0.532153
FA_r2,0.68,0.680000,0.680003,50,0.000000,0.002613,0.000000,0.000000,0.000000,-1,171044,342204,104845,62728,3471,28016,2.220866,12.006019,8.345690,0.490148,4.894492,10.019594,11.647993,7.674313,9.591349,9.071967,35382,117352,372905.479703,3.410559,4142,external,1.705279,60727,46056,70688,35758,0.172060,0.293410,0.529084
FA_r3,0.68,0.680000,0.680003,50,0.000000,0.002647,0.000000,0.000000,0.000000,-1,166806,333708,105906,57471,3429,27783,2.032847,12.181293,7.977347,0.533122,4.708660,9.689035,11.081013,7.487891,9.606796,8.928056,35494,116727,372390.908720,3.410559,4384,external,1.705279,59707,45171,70688,34212,0.169836,0.289617,0.553110
FB_robust,0.68,0.680000,0.680003,50,0.000000,0.003153,0.000000,0.000000,0.000000,-1,158958,317968,101900,53378,3680,26633,2.291995,11.890722,8.481095,0.472580,4.975391,10.475001,12.351611,8.294568,10.520911,9.638582,38668,115501,386547.267679,3.410559,4845,external,1.705279,64276,50839,70688,40558,0.168360,0.287100,0.516470
FC_r03,0.68,0.680000,0.680003,50,0.000000,0.002528,0.000000,0.000000,0.000000,-1,182808,366076,102227,76848,3733,29433,2.559640,14.057853,10.132808,0.469394,5.307704,11.729977,14.544884,7.997748,11.117475,9.362160,40100,118231,372166.420088,3.410559,5167,external,1.705279,63738,54344,17055,39575,0.158269,0.269893,0.633632
FC_r30,0.68,0.680000,0.679994,50,0.000000,0.002527,0.000000,0.000000,0.000000,-1,188022,376664,103120,81144,3758,30824,2.644362,14.065038,10.511114,0.480741,5.318955,12.368945,15.439561,8.198107,11.227865,9.753900,40347,120031,371919.806166,3.410559,6548,external,1.705279,64480,54244,18770,40750,0.161744,0.275819,0.613988
FP_perim1,0.68,0.680000,0.679994,50,0.000000,0.002561,0.000000,0.000000,0.000000,-1,160494,321008,103651,53175,3668,27880,1.996811,12.693034,8.419663,0.426065,4.936918,8.944741,9.107740,7.765517,9.874076,8.899521,36380,115159,371687.542185,3.410559,5064,external,1.705279,58959,54262,8779,33031,0.110989,0.189268,0.808937
FX_best_perim,0.68,0.680000,0.680003,50,0.000000,0.002578,0.000000,0.000000,0.000000,-1,163746,327504,103784,56281,3681,27955,2.134405,12.761344,8.414512,0.431109,4.995596,9.586076,10.431621,7.946615,9.709596,9.248551,35778,114492,371810.318612,3.410559,4724,external,1.705279,60110,53453,70688,34157,0.121006,0.206348,0.625113
