iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.72151509651e-10,3.21882058996e-11,1172,1,0,105061.6255,12.7492499352,57176,0,0,0.411861671939,0.999666124678,0,0.1,0,0,78635.5391012,1,1,0,128215.518843,105.278436333
2,0.0045269125877,75415,75415,0.680002524706,-0.00480698860236,0.0483362901927,2.48587649237e-10,3.18425753332e-11,2270,1,0,23088.9572921,12.1920418739,58189,0,0,0.411079166402,0.999775137994,0,0.1,0,0,78577.4798569,1,1,0,120986.499722,23.2528954577
3,0.00449764572475,75414,75414,0.679993507899,-0.00829905227798,0.0483362901927,2.80978474304e-10,3.10930431605e-11,2267,1,0,23029.1331658,11.8029999733,58293,0,0,0.409352712363,0.999405909031,0,0.1,0,0,78498.7721722,1,1,0,114167.584484,23.2115596249
4,0.00446100630477,75415,75415,0.680002524706,-0.00931482386652,0.0483362901927,3.00963516902e-10,3.0271517578e-11,2259,1,0,16266.3276248,11.8214583397,58817,0,0,0.399834673355,0.999792128372,0,0.1,0,0,78179.4494404,1,1,0,107662.891105,16.417768959
5,0.0044297975065,75415,75415,0.680002524706,-0.00998852975359,0.0483362901927,3.04028226753e-10,2.96939317726e-11,2251,1,0,16282.58075,12.6241669655,59928,0,0,0.354387026349,0.999892563936,0,0.1,0,0,77618.1914024,1,1,0,101550.596889,32.7426379998
6,0.00469666934291,75415,75415,0.680002524706,0.00129771744025,0.0483362901927,4.59457935833e-10,3.3136690617e-11,2363,1,0,17199.5568342,12.1740407944,57238,0,0,0.35346549914,0.999892563936,0,0.1,0,0,77227.5373862,1,1,0,124896.734129,17.3639145419
7,0.0046717039888,75415,75415,0.680002524706,-0.00468011784903,0.0483362901927,4.27967553276e-10,3.28874239519e-11,2358,1,0,16846.0708747,12.1882081032,57753,0,0,0.353195169742,0.999892563936,0,0.1,0,0,76936.2704803,1,1,0,118614.629832,17.017036167
8,0.00463966264789,75414,75414,0.679993507899,-0.00445338283797,0.0483362901927,4.04004334964e-10,3.26045406308e-11,2342,1,0,16798.795083,12.0746250153,58580,0,0,0.353241063618,0.999892563936,0,0.1,0,0,76643.8039356,1,1,0,112810.458804,16.9599555829
9,0.00458337987692,75415,75415,0.680002524706,-0.0058582392976,0.0483362901927,3.65413733446e-10,3.18696596874e-11,2345,1,0,16717.1369581,11.916457653,59377,0,0,0.354196534528,0.999892563936,0,0.1,0,0,76427.4718233,1,1,0,107321.64039,16.8772397079
10,0.00453656195901,75414,75414,0.679993507899,-0.00356782100486,0.0483362901927,3.22015527905e-10,3.13788805133e-11,2349,1,0,16955.438333,12.4810838699,60003,0,0,0.341902972751,0.999594067449,0,0.1,0,0,76206.9052093,1,1,0,102060.224703,33.4573390828
