iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00435107363924,75415,75415,0.680002524706,0.514799724591,0.0483362901927,1.89395345603e-09,3.12394171803e-11,1156,1,0,110913.534583,20.0927920341,54131,0,0,0.393673142565,0.999723654298,0,0.1,0,0,164232.648325,1,1,0,44382,97296.50806,536.873625126,208.180916496,111.876138583
2,0.00374281218289,75415,75415,0.680002524706,-0.0308307553784,0.0483362901927,3.06144308692e-10,1.83509397003e-11,2287,1,0,27003.1940417,11.9958753586,50323,0,0,0.393519832833,0.999882240204,0,0.1,0,0,117763.857887,1,1,0,41382,90762.0652708,534.921959043,185.750542209,27.8350696252
3,0.00334935514682,75414,75414,0.679993507899,-0.040490745777,0.0483362901927,2.94578501817e-10,1.27756447936e-11,2233,1,0,25428.4154167,12.6684999466,47301,0,0,0.392971652605,0.999958960681,0,0.1,0,0,102374.090959,1,1,0,39174,83228.6728744,523.597000167,202.241790481,26.2834383752
4,0.00332749854453,75414,75414,0.679993507899,0.0327390664263,0.0483362901927,2.83828868912e-10,1.28068484349e-11,2226,1,0,17961.3590837,11.9837913513,46110,0,0,0.392240798356,0.999874644007,0,0.1,0,0,103058.615738,1,1,0,35585,78773.9970929,536.70095792,165.645790752,18.7728902912
5,0.00326306282055,75414,75414,0.679993507899,0.0201371302666,0.0483362901927,2.51659412525e-10,1.31410559628e-11,2294,1,0,18401.2636666,11.8924160004,44450,0,0,0.37395682572,0.999900480002,0,0.1,0,0,91668.46613,1,1,0,35722,72532.0528721,523.398291785,158.252624795,35.9336886671
6,0.00305318182379,75414,75414,0.679993507899,-0.0336487799686,0.0483362901927,1.47582658282e-10,1.29073649977e-11,2543,1,0,19934.1775413,13.2617917061,42117,0,0,0.375608980169,0.999900480002,0,0.1,0,0,64137.9548754,1,1,0,36150,60953.3589701,521.644875407,154.590332881,20.8271520832
7,0.0030244471745,75414,75414,0.679993507899,0.0182549810405,0.0483362901927,1.75855524312e-10,1.3015678891e-11,2685,1,0,21408.920917,11.9304161072,41064,0,0,0.370894947817,0.999900480002,0,0.1,0,0,62722.3496397,1,1,0,35216,59254.4136523,558.415666223,135.456750169,22.216628334
8,0.00295438615191,75415,75415,0.680002524706,-0.00235392776882,0.0483362901927,1.39345073374e-10,1.18744018974e-11,2709,1,0,21724.3975,13.5495839119,41099,0,0,0.370135942063,0.999900480002,0,0.1,0,0,60928.708526,1,1,0,30374,57407.5332502,523.38545816,142.374624964,22.5792630003
9,0.00286334322395,75414,75414,0.679993507899,-0.0170596806632,0.0483362901927,1.33187280074e-10,1.08344113298e-11,2756,1,0,21922.348875,53.3949580193,41353,0,0,0.37020794871,0.999900480002,0,0.1,0,0,59257.40305,1,1,0,28103,56020.4510175,529.576667119,211.019499693,22.9951881249
10,0.00279690282726,75414,75414,0.679993507899,-0.00848145252762,0.0483362901927,1.25509825115e-10,1.00332743453e-11,2850,1,0,22838.0306249,12.5381250381,41314,0,0,0.366427438255,0.999849413626,0,0.1,0,0,57345.3600043,1,1,0,24300,54070.66442,539.099249989,147.753875237,40.1964850002
11,0.00276161267886,75414,75414,0.679993507899,0.0117092328402,0.0483362901927,2.30562132127e-10,1.04806837446e-11,3103,1,0,24391.6577501,11.9020829201,32630,0,0,0.364528255354,0.999849413626,0,0.1,0,0,53026.9220198,1,1,0,20986,49376.0248465,539.951417129,120.936540887,25.175190541
12,0.00273791900774,75414,75414,0.679993507899,0.0134070386841,0.0483362901927,2.40858385493e-10,1.11814381373e-11,3209,1,0,25508.2037082,13.1263337135,31087,0,0,0.36143918835,0.999849413626,0,0.1,0,0,49219.1491165,1,1,0,19135,44838.6635196,528.833959252,128.848415799,26.3594080829
13,0.00267581479944,75414,75414,0.679993507899,-0.0142626873493,0.0483362901927,2.45546276558e-10,1.03775762031e-11,3259,1,0,25568.8157082,12.0401248932,27791,0,0,0.358294172956,0.999849413626,0,0.1,0,0,47523.9454692,1,1,0,19299,42487.2976021,529.278332833,115.50129205,26.3296697498
14,0.00263274549707,75414,75414,0.679993507899,-0.00746311140568,0.0483362901927,2.32719876631e-10,9.71037900212e-12,3240,1,0,26054.4760842,12.7804160118,26029,0,0,0.355236049523,0.999849413626,0,0.1,0,0,45261.5422781,1,1,0,18471,39724.9188149,524.696666282,133.622958791,26.9200512911
15,0.00260058785302,75414,75414,0.679993507899,-0.00499843983246,0.0483362901927,2.01682155334e-10,9.10829053244e-12,3232,1,0,25696.6054173,12.0546250343,24532,0,0,0.352917141399,0.99986655508,0,0.1,0,0,43214.6433834,1,1,0,17248,37292.7886338,536.536708008,109.549457673,43.361686917
16,0.00259013862651,75415,75415,0.680002524706,0.00402614191721,0.0483362901927,1.49175585259e-10,9.35885770341e-12,3212,1,0,25911.1428332,12.4971246719,22453,0,0,0.352228442978,0.99986655508,0,0.1,0,0,36349.8944428,1,1,0,14486,31362.6966146,538.164291997,112.975332886,26.748006125
17,0.00257908611671,75414,75414,0.679993507899,0.0017336720898,0.0483362901927,1.31687280094e-10,8.86893514959e-12,3229,1,0,26212.5470839,14.3279161453,22218,0,0,0.352235987979,0.99986655508,0,0.1,0,0,35454.0683076,1,1,0,14078,29979.8729693,535.320333205,114.201625343,27.0765469582
18,0.00256592487297,75414,75414,0.679993507899,-0.00442170612507,0.0483362901927,1.69224103871e-10,7.99299283933e-12,3239,1,0,25998.8573751,12.5723748207,21452,0,0,0.35266055612,0.99986655508,0,0.1,0,0,34609.6611679,1,1,0,13286,28465.4572748,546.904166229,104.950250126,26.8284712918
19,0.00255672224193,75415,75415,0.680002524706,-0.00518943548885,0.0483362901927,1.6678913222e-10,7.36415576703e-12,3240,1,0,25733.7494173,12.7780408859,19926,0,0,0.352743110378,0.99986655508,0,0.1,0,0,32884.5600171,1,1,0,12841,27102.4170343,523.240291979,99.8484576121,26.468123042
20,0.00255491361741,75414,75414,0.679993507899,0.0019281305799,0.0483362901927,9.14391595936e-11,7.05136711653e-12,3234,1,0,26083.5758748,11.689166069,17902,0,0,0.348691553594,0.999929039889,0,0.1,0,0,31537.361652,1,1,0,12526,26408.9260061,529.048583936,97.894708626,43.472441833
21,0.00255427275673,75414,75414,0.679993507899,-0.00623446586391,0.0483362901927,1.30472117171e-10,7.60017631088e-12,3070,1,0,24623.675292,11.8191251755,16124,0,0,0.348476598419,0.999929039889,0,0.1,0,0,28712.4420366,1,1,0,11529,24239.0694019,532.434042078,89.5490422845,25.354702584
22,0.00255015902478,75414,75414,0.679993507899,0.000275089366748,0.0483362901927,8.19530245232e-11,6.97119829297e-12,3013,1,0,24048.933125,12.4074997902,16135,0,0,0.348431155312,0.999929039889,0,0.1,0,0,29016.7409893,1,1,0,11594,24474.322442,526.856124867,100.011749193,24.8572896668
23,0.00254900557691,75415,75415,0.680002524706,0.00265222200191,0.0483362901927,4.47216972168e-11,6.68276150528e-12,2977,1,0,23861.506042,13.384624958,16074,0,0,0.34831610895,0.999929039889,0,0.1,0,0,29273.9367621,1,1,0,11636,24677.8605208,537.315374706,93.5457502492,24.6030130843
24,0.00254631943345,75414,75414,0.679993507899,-0.00159962367852,0.0483362901927,6.65607895071e-11,6.59611600205e-12,2978,1,0,23816.8811669,11.7671251297,15913,0,0,0.348463702995,0.999929039889,0,0.1,0,0,29062.7774689,1,1,0,11510,24537.922622,537.612999789,89.4740428776,24.6330836248
