iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
1,0.00413803058637,75415,75415,0.680002524706,0.514799724591,0.0483362901927,1.25551394861e-10,2.60168577616e-11,1124,1,0,113341.267708,14.7373752594,70109,0,0,0.393729183164,0.999915581963,0,0.1,0,0,59668.7271255,1,1,0,0,0,0,0,113.547402792
2,0.00376804229287,75414,75414,0.679993507899,-0.0293233882918,0.0483362901927,1.24759959033e-10,2.10617257379e-11,2016,1,0,26811.1775413,12.4539999962,70084,0,0,0.393622220077,0.999870727539,0,0.1,0,0,60650.193635,1,1,0,0,0,0,0,26.9243648327
3,0.00341352193458,75414,75414,0.679993507899,-0.0466113150101,0.0483362901927,1.17272795751e-10,1.65965224303e-11,1990,1,0,26151.0240002,13.555290699,70331,0,0,0.393080242996,0.999867301625,0,0.1,0,0,60949.0808945,1,1,0,0,0,0,0,26.365972084
4,0.00337891932277,75415,75415,0.680002524706,0.0306075801829,0.0483362901927,1.13749401688e-10,1.66853854791e-11,2012,1,0,19530.4483342,13.1748747826,68856,0,0,0.392480611006,0.999746915968,0,0.1,0,0,59147.989205,1,1,0,0,0,0,0,19.6523943748
5,0.00315916508962,75415,75415,0.680002524706,-0.0328172455205,0.0483362901927,9.74551243268e-11,1.40448998352e-11,1992,1,0,19478.6087918,12.7918329239,68866,0,0,0.386772750432,0.999958957199,0,0.1,0,0,57830.7387679,1,1,0,0,0,0,0,37.1161574577
6,0.00298558531538,75414,75414,0.679993507899,-0.0289406395282,0.0483362901927,8.52720388122e-11,1.26963293238e-11,2024,1,0,18106.0423341,12.8732910156,69975,0,0,0.385305580211,0.999958957199,0,0.1,0,0,53826.7721032,1,1,0,0,0,0,0,18.2359221252
7,0.00293172812072,75415,75415,0.680002524706,0.0090791642545,0.0483362901927,7.59637391349e-11,1.20958564472e-11,1940,1,0,18173.0519166,13.3447504044,68995,0,0,0.38345027029,0.999958957199,0,0.1,0,0,52094.0229321,1,1,0,0,0,0,0,18.4103042502
8,0.00281186618021,75415,75415,0.680002524706,-0.0320863209869,0.0483362901927,6.74233020793e-11,1.0154524972e-11,2007,1,0,18834.7358332,12.7660832405,68791,0,0,0.381892097854,0.999958957199,0,0.1,0,0,50085.3452931,1,1,0,0,0,0,0,18.9746463331
9,0.00276426438333,75415,75415,0.680002524706,0.000605042124203,0.0483362901927,6.22909563143e-11,9.58965542406e-12,1998,1,0,19545.1995411,12.5706248283,65819,0,0,0.380737893057,0.999958957199,0,0.1,0,0,47594.6861913,1,1,0,0,0,0,0,19.7437171252
10,0.00271091964214,75414,75414,0.679993507899,-0.00848814000657,0.0483362901927,5.61607432682e-11,8.77952275437e-12,2012,1,0,23033.976584,13.9054160118,64803,0,0,0.392571411064,0.999846708995,0,0.1,0,0,45043.2455511,1,1,0,0,0,0,0,41.4483416253
11,0.00268251623323,75414,75414,0.679993507899,-0.00916446191599,0.0483362901927,5.01833903683e-11,8.87722697682e-12,2129,1,0,21078.8206248,13.9805002213,64041,0,0,0.389788430773,0.999846708995,0,0.1,0,0,40439.7446372,1,1,0,0,0,0,0,21.3049115827
12,0.00265216743695,75415,75415,0.680002524706,0.00245834758007,0.0483362901927,4.5226738081e-11,8.23622521615e-12,2205,1,0,21900.7412081,13.830083847,61874,0,0,0.386716786338,0.999846708995,0,0.1,0,0,38708.8034934,1,1,0,0,0,0,0,22.0390220829
13,0.00263212277611,75415,75415,0.680002524706,0.00713186579591,0.0483362901927,4.08147188741e-11,7.87539467075e-12,2303,1,0,23231.0985827,12.8738341331,58337,0,0,0.385186558399,0.999846708995,0,0.1,0,0,36831.1882537,1,1,0,0,0,0,0,23.448861625
14,0.002603260518,75414,75414,0.679993507899,-0.00697799555038,0.0483362901927,3.52721039094e-11,7.24144050656e-12,2370,1,0,30202.7398748,20.0706253052,52273,0,0,0.384527391574,0.999846708995,0,0.1,0,0,34912.4231331,1,1,0,0,0,0,0,30.5286777918
15,0.00257988998763,75414,75414,0.679993507899,-0.00575487289065,0.0483362901927,3.0069905909e-11,6.73415441157e-12,2379,1,0,23624.6577916,13.4175829887,50253,0,0,0.391769572884,0.999944079374,0,0.1,0,0,32936.5983352,1,1,0,0,0,0,0,41.5756136668
16,0.0025564432635,75414,75414,0.679993507899,-0.0150214884191,0.0483362901927,2.55094821338e-11,6.78296317394e-12,2788,1,0,28113.3405423,15.9824995995,41034,0,0,0.391926323883,0.999944079374,0,0.1,0,0,25855.5602122,1,1,0,0,0,0,0,28.3577949577
17,0.00255101589883,75415,75415,0.680002524706,0.0111329409844,0.0483362901927,2.32160572228e-11,6.52217610307e-12,2782,1,0,27541.5779166,12.9583754539,39210,0,0,0.39283606191,0.999944079374,0,0.1,0,0,25312.785951,1,1,0,0,0,0,0,27.6750528328
18,0.00254273649182,75415,75415,0.680002524706,0.00145655683437,0.0483362901927,2.03474171666e-11,6.2037937486e-12,2779,1,0,27356.097209,12.484582901,37197,0,0,0.393415474484,0.999944079374,0,0.1,0,0,24650.3161785,1,1,0,0,0,0,0,27.4802564168
19,0.00253269393072,75415,75415,0.680002524706,-0.00578825703914,0.0483362901927,1.70887088001e-11,5.86310757949e-12,2783,1,0,31144.6686668,13.5585412979,36050,0,0,0.393993455662,0.999944079374,0,0.1,0,0,23881.3605342,1,1,0,0,0,0,0,31.3283866248
20,0.00252477156077,75414,75414,0.679993507899,-0.00461535799839,0.0483362901927,1.39862939214e-11,5.60083888049e-12,2793,1,0,30869.1164579,17.3553333282,35261,0,0,0.391704056831,0.999903006167,0,0.1,0,0,23120.0789398,1,1,0,0,0,0,0,48.8785446249
21,0.00252180798146,75415,75415,0.680002524706,-0.0154275998758,0.0483362901927,6.64612054175e-12,5.95951321247e-12,2709,1,0,26317.3015833,16.6368746758,28179,0,0,0.388347978701,0.999903006167,0,0.1,0,0,19857.9896246,1,1,0,0,0,0,0,26.5411537089
22,0.00251852628002,75415,75415,0.680002524706,0.00273371118604,0.0483362901927,5.47181366173e-12,5.67703108e-12,2712,1,0,26570.9814157,14.5329589844,28195,0,0,0.388705678609,0.999903006167,0,0.1,0,0,20142.7244057,1,1,0,0,0,0,0,26.7704852084
