kind,which,step,pred_dV,fd_dV,relerr_V,pred_dC,fd_dC,relerr_C
random,0,0.001,-213.73998792,-523.4375,1.44894511829,0,0,0
random,0,0.01,-213.73998792,-153.125,-0.28359217435,4.85444684571e-06,2.30599868918e-06,-0.524971894333
random,0,0.1,-213.73998792,-181.953125,-0.148717435745,4.85444684571e-06,2.60265686346e-06,-0.46386129127
random,0,0.3,-213.73998792,-198.4375,-0.0715939402287,0,0,0
random,0,1,-213.73998792,-221.921875,0.0382796273175,0,0,0
random,1,0.001,-158.910051784,-203.125,0.278238838387,0,0,0
random,1,0.01,-158.910051784,-100.78125,-0.365796884031,2.1645692402e-06,1.21470299123e-06,-0.438824608301
random,1,0.1,-158.910051784,-186.484375,0.173521579704,2.1645692402e-06,4.3452162192e-06,1.00742768515
random,1,0.3,-158.910051784,-188.75,0.187778859055,0,0,0
random,1,1,-158.910051784,-130.734375,-0.177305818401,0,0,0
coeff,8991,0.01,-13.1862659424,-12.5,-0.052043993758,0,0,0
coeff,8991,0.1,-13.1862659424,-12.890625,-0.0224203685629,0,0,0
coeff,8991,1,-13.1862659424,-11.75,-0.108921354132,2.23392915334e-07,2.28907299131e-07,0.024684685229
coeff,8990,0.01,-12.7742316863,-11.71875,-0.0826258449234,0,0,0
coeff,8990,0.1,-12.7742316863,-12.8125,0.00299574288372,0,0,0
coeff,8990,1,-12.7742316863,-10.6875,-0.16335477057,1.91384867619e-07,1.65676784141e-07,-0.134326625703
coeff,5999,0.01,-11.9732335324,-12.5,0.0439953389516,0,0,0
coeff,5999,0.1,-11.9732335324,-12.265625,0.0244204263462,0,0,0
coeff,5999,1,-11.9732335324,-10.2578125,-0.143271324973,2.8619186047e-07,2.38382554142e-07,-0.167053340544
