kind,which,step,pred_dV,fd_dV,relerr_V,pred_dC,fd_dC,relerr_C
random,0,0.001,-185.723908117,-523.4375,1.81836358769,0,0,0
random,0,0.01,-185.723908117,-153.125,-0.175523487782,3.49329593974e-06,2.30599868918e-06,-0.3398788053
random,0,0.1,-185.723908117,-181.953125,-0.020303164818,3.49329593974e-06,2.60265686346e-06,-0.254956663176
random,0,0.3,-185.723908117,-198.4375,0.0684542556301,0,0,0
random,0,1,-185.723908117,-221.921875,0.194902030922,0,0,0
random,1,0.001,-185.452322338,-203.125,0.0952949924757,0,0,0
random,1,0.01,-185.452322338,-100.78125,-0.45656517681,3.48010237547e-06,1.21470299123e-06,-0.650957684523
random,1,0.1,-185.452322338,-186.484375,0.00556505655364,3.48010237547e-06,4.3452162192e-06,0.248588619068
random,1,0.3,-185.452322338,-188.75,0.0177818083928,0,0,0
random,1,1,-185.452322338,-130.734375,-0.29505129215,0,0,0
coeff,8991,0.01,-13.1405996065,-12.5,-0.0487496480912,0,0,0
coeff,8991,0.1,-13.1405996065,-12.890625,-0.0190230745941,0,0,0
coeff,8991,1,-13.1405996065,-11.75,-0.105824669206,2.2860548923e-07,2.28907299131e-07,0.00132022158314
coeff,8990,0.01,-12.8628978622,-11.71875,-0.0889494633685,0,0,0
coeff,8990,0.1,-12.8628978622,-12.8125,-0.00391807994952,0,0,0
coeff,8990,1,-12.8628978622,-10.6875,-0.169121910592,1.90682515545e-07,1.65676784141e-07,-0.131138040276
coeff,5999,0.01,-12.2802490161,-12.5,0.0178946683882,0,0,0
coeff,5999,0.1,-12.2802490161,-12.265625,-0.00119085664406,0,0,0
coeff,5999,1,-12.2802490161,-10.2578125,-0.164690187754,2.99185457296e-07,2.38382554142e-07,-0.203228137167
