kind,which,step,pred_dV,fd_dV,relerr_V,pred_dC,fd_dC,relerr_C
random,0,0.001,-192.136958904,-523.4375,1.72429366524,0,0,0
random,0,0.01,-192.136958904,-153.125,-0.20304245017,3.70898582493e-06,2.30599868918e-06,-0.378267052497
random,0,0.1,-192.136958904,-181.953125,-0.0530029930842,3.70898582493e-06,2.60265686346e-06,-0.298283415923
random,0,0.3,-192.136958904,-198.4375,0.032791926821,0,0,0
random,0,1,-192.136958904,-221.921875,0.155019191861,0,0,0
random,1,0.001,-180.750718712,-203.125,0.12378529639,0,0,0
random,1,0.01,-180.750718712,-100.78125,-0.442429602945,3.02350820376e-06,1.21470299123e-06,-0.598247165422
random,1,0.1,-180.750718712,-186.484375,0.0317213471086,3.02350820376e-06,4.3452162192e-06,0.437143849585
random,1,0.3,-180.750718712,-188.75,0.0442558754145,0,0,0
random,1,1,-180.750718712,-130.734375,-0.276714494239,0,0,0
coeff,8991,0.01,-13.045196751,-12.5,-0.0417929113239,0,0,0
coeff,8991,0.1,-13.045196751,-12.890625,-0.0118489398028,0,0,0
coeff,8991,1,-13.045196751,-11.75,-0.0992853366445,2.30603690034e-07,2.28907299131e-07,-0.00735630424103
coeff,8990,0.01,-12.6968023075,-11.71875,-0.0770313882062,0,0,0
coeff,8990,0.1,-12.6968023075,-12.8125,0.00911234889453,0,0,0
coeff,8990,1,-12.6968023075,-10.6875,-0.158252626044,1.9233695086e-07,1.65676784141e-07,-0.138611777921
coeff,7667,0.01,-12.0537719532,-14.0625,0.166647258182,0,0,0
coeff,7667,0.1,-12.0537719532,-13.125,0.0888707743037,0,0,0
coeff,7667,1,-12.0537719532,-9.3046875,-0.228068397503,2.71295636468e-07,2.22561620559e-07,-0.179634352191
