kind,which,step,pred_dV,fd_dV,relerr_V,pred_dC,fd_dC,relerr_C
random,0,0.001,-185.723908117,-185.177243544,-0.00294342596386,0,0,0
random,0,0.01,-185.723908117,-185.028496598,-0.00374432955895,3.36267088764e-06,3.31809515345e-06,-0.0132560502285
random,0,0.1,-185.723908117,-188.462796916,0.0147470986733,3.36267088764e-06,3.26552194619e-06,-0.0288904102424
random,0,0.3,-185.723908117,-192.701222385,0.0375682072288,0,0,0
random,0,1,-185.723908117,-221.001178417,0.189944690789,0,0,0
random,1,0.001,-185.452322338,-186.963578188,0.00814902628599,0,0,0
random,1,0.01,-185.452322338,-187.230444681,0.00958802952698,3.83638814956e-06,3.95855755788e-06,0.0318449029532
random,1,0.1,-185.452322338,-188.975816696,0.0189994620362,3.83638814956e-06,4.03463268884e-06,0.0516747866873
random,1,0.3,-185.452322338,-190.161370018,0.0253922281486,0,0,0
random,1,1,-185.452322338,-131.091357257,-0.293126364749,0,0,0
coeff,8991,0.01,-13.1405996065,-13.1593627477,0.0014278755703,0,0,0
coeff,8991,0.1,-13.1405996065,-13.0605268919,-0.00609353584043,0,0,0
coeff,8991,1,-13.1405996065,-11.7322768379,-0.107173402342,2.19452045187e-07,2.24745274013e-07,0.0241202073171
coeff,8990,0.01,-12.8628978622,-12.8734339236,0.000819104800672,0,0,0
coeff,8990,0.1,-12.8628978622,-12.5976287871,-0.0206228081675,0,0,0
coeff,8990,1,-12.8628978622,-10.5242788879,-0.181811206104,1.84496654671e-07,1.6430958277e-07,-0.109417007785
coeff,5999,0.01,-12.2802490161,-12.3504965373,0.00572036618352,0,0,0
coeff,5999,0.1,-12.2802490161,-12.248868252,-0.00255538500072,0,0,0
coeff,5999,1,-12.2802490161,-10.3554031808,-0.156743225057,2.9005173184e-07,2.38008575074e-07,-0.17942715403
