kind,which,step,pred_dV,fd_dV,relerr_V,pred_dC,fd_dC,relerr_C
random,0,0.001,-192.136958904,-192.298953163,0.000843118679631,0,0,0
random,0,0.01,-192.136958904,-192.202740391,0.000342367689535,3.27169770107e-06,3.19577693289e-06,-0.0232053126904
random,0,0.1,-192.136958904,-193.63116964,0.0077768001787,3.27169770107e-06,3.33976365451e-06,0.0208044751267
random,0,0.3,-192.136958904,-194.62362958,0.0129421777577,0,0,0
random,0,1,-192.136958904,-221.501368847,0.152830616819,0,0,0
random,1,0.001,-180.750718712,-184.123143892,0.0186578797832,0,0,0
random,1,0.01,-180.750718712,-184.250090015,0.0193602068533,3.70425563596e-06,3.98620902092e-06,0.0761160709904
random,1,0.1,-180.750718712,-185.596996093,0.0268119397566,3.70425563596e-06,4.05384433433e-06,0.0943748846512
random,1,0.3,-180.750718712,-190.991260388,0.0566556069578,0,0,0
random,1,1,-180.750718712,-131.406442702,-0.272996292138,0,0,0
coeff,8991,0.01,-13.045196751,-13.0343175049,-0.000833965657344,0,0,0
coeff,8991,0.1,-13.045196751,-13.007924323,-0.00285717637976,0,0,0
coeff,8991,1,-13.045196751,-11.6723901229,-0.105234643395,2.18964614383e-07,2.22998369233e-07,0.0184219485042
coeff,8990,0.01,-12.6968023075,-12.7082425821,0.000901035889071,0,0,0
coeff,8990,0.1,-12.6968023075,-12.5041359868,-0.0151743971497,0,0,0
coeff,8990,1,-12.6968023075,-10.4790470123,-0.1746703809,1.83346538359e-07,1.63726412159e-07,-0.107011162444
coeff,7667,0.01,-12.0537719532,-12.0630449303,0.000769300850815,0,0,0
coeff,7667,0.1,-12.0537719532,-12.462086256,0.0338744008374,0,0,0
coeff,7667,1,-12.0537719532,-9.42654003318,-0.217959318481,2.62566208097e-07,2.22980309347e-07,-0.150765397561
