kind,which,step,pred_dV,fd_dV,relerr_V,pred_dC,fd_dC,relerr_C
random,0,0.001,-264.77590782,-265.991401258,0.00459064968734,0,0,0
random,0,0.01,-264.77590782,-265.992424936,0.00459451589167,5.67532346937e-06,6.27914164867e-06,0.106393614842
random,0,0.1,-264.77590782,-266.11830569,0.00506993963658,5.67532346937e-06,6.27394886381e-06,0.105478638825
random,0,0.3,-264.77590782,-267.147570462,0.00895724486999,0,0,0
random,0,1,-264.77590782,-270.646222935,0.0221708808893,0,0,0
random,1,0.001,-116.250426858,-124.687669257,0.0725781627397,0,0,0
random,1,0.01,-116.250426858,-124.683840053,0.0725452234708,2.43954713181e-06,2.4572562416e-06,0.00725917920079
random,1,0.1,-116.250426858,-124.303002267,0.0692692115357,2.43954713181e-06,2.46861819245e-06,0.0119165808529
random,1,0.3,-116.250426858,-121.218108031,0.0427325843681,0,0,0
random,1,1,-116.250426858,-92.7696503856,-0.201984432288,0,0,0
coeff,73654,0.01,-6.04975951009,-6.49524697255,0.0736372184247,0,0,0
coeff,73654,0.1,-6.04975951009,-6.49456754545,0.0735249119599,0,0,0
coeff,73654,1,-6.04975951009,-6.42809931863,0.0625379914533,1.1130574764e-07,1.25660425454e-07,0.128966186542
coeff,8856,0.01,-6.04159389656,-7.08462864131,0.17264231304,0,0,0
coeff,8856,0.1,-6.04159389656,-7.08375326529,0.17249742147,0,0,0
coeff,8856,1,-6.04159389656,-6.99770031604,0.15825400314,1.07173518121e-07,1.30658434756e-07,0.219129847055
coeff,8904,0.01,-6.03940563968,-7.22708375906,0.196654801854,0,0,0
coeff,8904,0.1,-6.03940563968,-7.22636243026,0.196535364803,0,0,0
coeff,8904,1,-6.03940563968,-7.15539902338,0.184785300125,9.21700945159e-08,1.13247114441e-07,0.228675255628
