== 1. THE SURFACE, AT A MATCHED ITERATION, SIMP IN THE SAME RUN ==
| arm | carved | n_cut | whole | CAD mm | mid % | volume mm3 | achieved vf |
|---|---|---|---|---|---|---|---|
| SIMP | 7.5521 | 26191 | 8.4075 | 0.4293 | 85.28% | 440550.9 | 0.679951 |
| SIMP | 9.6338 | 38975 | 9.2353 | 0.4507 | 99.96% | 403282.0 | 0.520005 |
| SIMP | 10.4580 | 66549 | 9.8108 | 0.4394 | 99.99% | 330882.2 | 0.380000 |
| SIMP | 10.2657 | 74646 | 9.9413 | 0.4375 | 99.99% | 288713.4 | 0.259996 |
| H1_heaviside | 14.0857 | 79542 | 11.6024 | 0.4908 | 57.79% | 371079.6 | 0.680003 |
| F1_frac4 | 15.3541 | 80962 | 12.2208 | 0.4701 | 57.50% | 373616.1 | 0.679994 |
| A2_all | 14.9895 | 78553 | 11.9612 | 0.4708 | 58.78% | 373007.9 | 0.680003 |

== 2. THE MARGIN CURVE, AND WHERE IT SETTLES ==

A2_all
| iteration | 1 | 10 | 20 | 30 | 40 | 50 | 60 |
|---|---|---|---|---|---|---|---|
| margin | 628.4 | 2294.9 | 2560.0 | 2967.8 | 3076.3 | 3392.4 | 3391.1 |
| mass g | 465.04 | 463.78 | 463.84 | 463.79 | 463.81 | 463.77 | 463.82 |
| accepted | 1 | 1 | 1 | 1 | 1 | 1 | 1 |
| load path | 1 | 1 | 1 | 1 | 1 | 1 | 1 |
| | |
SETTLED at iteration 50 (every later certificate within 1% of 3391.1)
PEAK 3392.4 at iteration 50; ENDPOINT 3391.1 at iteration 60 (-0.0% from the peak)
vs SIMP's 3254.34: peak +4.2%, endpoint +4.2%

F1_frac4
| iteration | 1 | 10 | 20 | 30 | 40 | 50 |
|---|---|---|---|---|---|---|
| margin | 628.4 | 2262.5 | 2372.3 | 2606.0 | 3068.4 | 3379.4 |
| mass g | 465.04 | 463.80 | 463.81 | 463.82 | 463.80 | 463.80 |
| accepted | 1 | 1 | 1 | 1 | 1 | 1 |
| load path | 1 | 1 | 1 | 1 | 1 | 1 |
| | |
SETTLED: NO — still moving more than 1% at iteration 50
PEAK 3379.4 at iteration 50; ENDPOINT 3379.4 at iteration 50 (+0.0% from the peak)
vs SIMP's 3254.34: peak +3.8%, endpoint +3.8%

H1_heaviside
| iteration | 1 | 10 | 20 | 30 | 40 | 50 | 60 | 70 | 80 | 90 | 100 | 110 | 120 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| margin | 628.4 | 1915.4 | 1965.5 | 2104.7 | 2417.8 | 2734.1 | 2923.0 | 3233.5 | 3276.3 | 3273.2 | 3197.6 | 3161.3 | 2640.4 |
| mass g | 465.04 | 464.04 | 463.77 | 463.79 | 463.80 | 463.79 | 463.82 | 463.77 | 463.81 | 463.82 | 463.79 | 463.78 | 463.77 |
| accepted | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |
| load path | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |
| | |
SETTLED: NO — still moving more than 1% at iteration 120
PEAK 3276.3 at iteration 80; ENDPOINT 2640.4 at iteration 120 (-19.4% from the peak)
vs SIMP's 3254.34: peak +0.7%, endpoint -18.9%

== 3. THE EXPORT CONVENTION — SAME DESIGN, TWO FIELDS, F=2 ONLY ==
| field | carved | n_cut | whole | CAD mm | mid % | volume mm3 |
|---|---|---|---|---|---|---|
| SIMP | 7.5521 | 26191 | 8.4075 | 0.4293 | 85.28% | 440550.9 |
| SIMP | 9.6338 | 38975 | 9.2353 | 0.4507 | 99.96% | 403282.0 |
| SIMP | 10.4580 | 66549 | 9.8108 | 0.4394 | 99.99% | 330882.2 |
| SIMP | 10.2657 | 74646 | 9.9413 | 0.4375 | 99.99% | 288713.4 |
| H1_heaviside_hev_f2 | 16.2246 | 79303 | 15.1307 | 0.5515 | 57.99% | 373177.4 |
| F1_frac4_hev_f2 | 17.6591 | 83313 | 15.8996 | 0.5403 | 56.41% | 375495.8 |
| F1_frac4_frac_f2 | 23.3588 | 82808 | 19.1215 | 0.5379 | 65.07% | 374641.1 |
| A2_all_hev_f2 | 17.4127 | 79242 | 15.6827 | 0.5424 | 58.34% | 375036.3 |
| A2_all_frac_f2 | 23.2033 | 78902 | 18.7825 | 0.5393 | 66.80% | 374279.0 |

== 4. R4 — THE SENSITIVITY AGAINST A CENTRAL DIFFERENCE ==

heaviside
| kind | which | step | dV rel err | dC rel err |
|---|---|---|---|---|
| random | 0 | 0.001 | +0.4591% | — |
| random | 0 | 0.01 | +0.4595% | +10.6394% |
| random | 0 | 0.1 | +0.5070% | +10.5479% |
| random | 0 | 0.3 | +0.8957% | — |
| random | 0 | 1 | +2.2171% | — |
| random | 1 | 0.001 | +7.2578% | — |
| random | 1 | 0.01 | +7.2545% | +0.7259% |
| random | 1 | 0.1 | +6.9269% | +1.1917% |
| random | 1 | 0.3 | +4.2733% | — |
| random | 1 | 1 | -20.1984% | — |
| coeff | 73654 | 0.01 | +7.3637% | — |
| coeff | 73654 | 0.1 | +7.3525% | — |
| coeff | 73654 | 1 | +6.2538% | +12.8966% |
| coeff | 8856 | 0.01 | +17.2642% | — |
| coeff | 8856 | 0.1 | +17.2497% | — |
| coeff | 8856 | 1 | +15.8254% | +21.9130% |
| coeff | 8904 | 0.01 | +19.6655% | — |
| coeff | 8904 | 0.1 | +19.6535% | — |
| coeff | 8904 | 1 | +18.4785% | +22.8675% |

frac_k4
| kind | which | step | dV rel err | dC rel err |
|---|---|---|---|---|
| random | 0 | 0.001 | +181.8364% | — |
| random | 0 | 0.01 | -17.5523% | -33.9879% |
| random | 0 | 0.1 | -2.0303% | -25.4957% |
| random | 0 | 0.3 | +6.8454% | — |
| random | 0 | 1 | +19.4902% | — |
| random | 1 | 0.001 | +9.5295% | — |
| random | 1 | 0.01 | -45.6565% | -65.0958% |
| random | 1 | 0.1 | +0.5565% | +24.8589% |
| random | 1 | 0.3 | +1.7782% | — |
| random | 1 | 1 | -29.5051% | — |
| coeff | 8991 | 0.01 | -4.8750% | — |
| coeff | 8991 | 0.1 | -1.9023% | — |
| coeff | 8991 | 1 | -10.5825% | +0.1320% |
| coeff | 8990 | 0.01 | -8.8949% | — |
| coeff | 8990 | 0.1 | -0.3918% | — |
| coeff | 8990 | 1 | -16.9122% | -13.1138% |
| coeff | 5999 | 0.01 | +1.7895% | — |
| coeff | 5999 | 0.1 | -0.1191% | — |
| coeff | 5999 | 1 | -16.4690% | -20.3228% |

frac_centre
| kind | which | step | dV rel err | dC rel err |
|---|---|---|---|---|
| random | 0 | 0.001 | +144.8945% | — |
| random | 0 | 0.01 | -28.3592% | -52.4972% |
| random | 0 | 0.1 | -14.8717% | -46.3861% |
| random | 0 | 0.3 | -7.1594% | — |
| random | 0 | 1 | +3.8280% | — |
| random | 1 | 0.001 | +27.8239% | — |
| random | 1 | 0.01 | -36.5797% | -43.8825% |
| random | 1 | 0.1 | +17.3522% | +100.7428% |
| random | 1 | 0.3 | +18.7779% | — |
| random | 1 | 1 | -17.7306% | — |
| coeff | 8991 | 0.01 | -5.2044% | — |
| coeff | 8991 | 0.1 | -2.2420% | — |
| coeff | 8991 | 1 | -10.8921% | +2.4685% |
| coeff | 8990 | 0.01 | -8.2626% | — |
| coeff | 8990 | 0.1 | +0.2996% | — |
| coeff | 8990 | 1 | -16.3355% | -13.4327% |
| coeff | 5999 | 0.01 | +4.3995% | — |
| coeff | 5999 | 0.1 | +2.4420% | — |
| coeff | 5999 | 1 | -14.3271% | -16.7053% |

frac_soft
| kind | which | step | dV rel err | dC rel err |
|---|---|---|---|---|
| random | 0 | 0.001 | -0.2943% | — |
| random | 0 | 0.01 | -0.3744% | -1.3256% |
| random | 0 | 0.1 | +1.4747% | -2.8890% |
| random | 0 | 0.3 | +3.7568% | — |
| random | 0 | 1 | +18.9945% | — |
| random | 1 | 0.001 | +0.8149% | — |
| random | 1 | 0.01 | +0.9588% | +3.1845% |
| random | 1 | 0.1 | +1.8999% | +5.1675% |
| random | 1 | 0.3 | +2.5392% | — |
| random | 1 | 1 | -29.3126% | — |
| coeff | 8991 | 0.01 | +0.1428% | — |
| coeff | 8991 | 0.1 | -0.6094% | — |
| coeff | 8991 | 1 | -10.7173% | +2.4120% |
| coeff | 8990 | 0.01 | +0.0819% | — |
| coeff | 8990 | 0.1 | -2.0623% | — |
| coeff | 8990 | 1 | -18.1811% | -10.9417% |
| coeff | 5999 | 0.01 | +0.5720% | — |
| coeff | 5999 | 0.1 | -0.2555% | — |
| coeff | 5999 | 1 | -15.6743% | -17.9427% |

frac_l1
| kind | which | step | dV rel err | dC rel err |
|---|---|---|---|---|
| random | 0 | 0.001 | +172.4294% | — |
| random | 0 | 0.01 | -20.3042% | -37.8267% |
| random | 0 | 0.1 | -5.3003% | -29.8283% |
| random | 0 | 0.3 | +3.2792% | — |
| random | 0 | 1 | +15.5019% | — |
| random | 1 | 0.001 | +12.3785% | — |
| random | 1 | 0.01 | -44.2430% | -59.8247% |
| random | 1 | 0.1 | +3.1721% | +43.7144% |
| random | 1 | 0.3 | +4.4256% | — |
| random | 1 | 1 | -27.6714% | — |
| coeff | 8991 | 0.01 | -4.1793% | — |
| coeff | 8991 | 0.1 | -1.1849% | — |
| coeff | 8991 | 1 | -9.9285% | -0.7356% |
| coeff | 8990 | 0.01 | -7.7031% | — |
| coeff | 8990 | 0.1 | +0.9112% | — |
| coeff | 8990 | 1 | -15.8253% | -13.8612% |
| coeff | 7667 | 0.01 | +16.6647% | — |
| coeff | 7667 | 0.1 | +8.8871% | — |
| coeff | 7667 | 1 | -22.8068% | -17.9634% |

frac_soft_l1
| kind | which | step | dV rel err | dC rel err |
|---|---|---|---|---|
| random | 0 | 0.001 | +0.0843% | — |
| random | 0 | 0.01 | +0.0342% | -2.3205% |
| random | 0 | 0.1 | +0.7777% | +2.0804% |
| random | 0 | 0.3 | +1.2942% | — |
| random | 0 | 1 | +15.2831% | — |
| random | 1 | 0.001 | +1.8658% | — |
| random | 1 | 0.01 | +1.9360% | +7.6116% |
| random | 1 | 0.1 | +2.6812% | +9.4375% |
| random | 1 | 0.3 | +5.6656% | — |
| random | 1 | 1 | -27.2996% | — |
| coeff | 8991 | 0.01 | -0.0834% | — |
| coeff | 8991 | 0.1 | -0.2857% | — |
| coeff | 8991 | 1 | -10.5235% | +1.8422% |
| coeff | 8990 | 0.01 | +0.0901% | — |
| coeff | 8990 | 0.1 | -1.5174% | — |
| coeff | 8990 | 1 | -17.4670% | -10.7011% |
| coeff | 7667 | 0.01 | +0.0769% | — |
| coeff | 7667 | 0.1 | +3.3874% | — |
| coeff | 7667 | 1 | -21.7959% | -15.0765% |

== 5. S1(a) — THE FRACTION AGAINST k ==
| k | cut cells | sampled cells | sum f_v | build s |
|---|---|---|---|---|
| 2 | 6954 | 0 | 34829.1250 | 0.093 |
| 4 | 10077 | 0 | 34820.7188 | 0.580 |
| 8 | 11385 | 0 | 34825.6992 | 4.580 |

== 6. WHAT THE FRACTION COSTS, AS A SHARE OF AN ITERATION ==
A2_all            sampling   545.5 ms  sensitivity   106.3 ms  state solve   23319.0 ms  iteration   27561.9 ms  ->  the fraction is 2.36% of an iteration
F1_frac4          sampling   543.1 ms  sensitivity    85.0 ms  state solve   28312.2 ms  iteration   32659.3 ms  ->  the fraction is 1.92% of an iteration
H1_heaviside      sampling     0.0 ms  sensitivity     0.0 ms  state solve   25764.4 ms  iteration   29601.4 ms  ->  the fraction is 0.00% of an iteration

