iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
1,0.00334613016148,88423,88423,0.79729315444,0.33208378033,0.0483362901927,2.62632413938e-10,1.60241258758e-11,1085,1,0,77833.123292,12.7232918739,61467,0,0,0.378125069456,0.999936538532,0,0.1,0,0,73803.6123535,1,1,0,0,0,882,356,46,572,0,0,0,0,0,78.0482713329
2,0.0030746246287,88424,88424,0.797302171247,-0.0425769132475,0.0483362901927,2.38482174712e-10,1.28743032684e-11,1794,1,0,16464.2175832,11.8627915382,56679,0,0,0.360079587188,0.999759222624,0,0.1,0,0,69989.9935318,1,1,0,0,0,886,-299,57,1242,1,0,0,7,-3,16.617568125
3,0.0029378673533,88423,88423,0.79729315444,-0.0143051266928,0.0483362901927,2.12121652667e-10,1.11717435712e-11,1793,1,0,15817.044333,11.6295418739,50687,0,0,0.362041357592,0.999867301625,0,0.1,0,0,68050.5616405,1,1,0,0,0,864,-793,66,1723,2,0,0,3,-25,15.9684154592
4,0.00294811045874,88423,88423,0.79729315444,0.0458742134864,0.0483362901927,2.12277653029e-10,1.10748654179e-11,1829,1,0,10463.5089169,11.6685419083,50612,0,0,0.372179313106,0.999771792421,0,0.1,0,0,69881.9858849,1,1,0,0,0,862,-888,65,1815,3,0,0,1,-3,10.6153588328
5,0.00286634960161,88424,88424,0.797302171247,0.000647061297065,0.0483362901927,2.18323135134e-10,1.02115203005e-11,1835,1,0,10820.6068749,11.7536253929,50169,0,0,0.362233838611,0.999606435765,0,0.1,0,0,67423.3208497,1,1,0,0,0,575,-461,72,1108,3,0,0,0,-287,21.7441301248
6,0.0027505878253,88424,88424,0.797302171247,-0.0163551519771,0.0483362901927,2.08853658531e-10,9.08521920184e-12,1825,1,0,10706.5404582,12.3839168549,43404,0,0,0.361884832763,0.999743079996,0,0.1,0,0,61717.2167995,1,1,0,0,0,476,-159,72,707,3,0,0,0,-99,10.8631955832
7,0.00263648492949,88424,88424,0.797302171247,-0.0442383441636,0.0483362901927,1.56142591721e-10,7.49779630777e-12,1811,1,0,10320.2907081,11.8114171028,41133,0,0,0.363561624777,0.999606435765,0,0.1,0,0,57044.7800699,1,1,0,0,0,504,-191,72,767,3,0,0,0,28,10.4843811663
8,0.002597227781,88424,88424,0.797302171247,0.00549587511122,0.0483362901927,1.35597851979e-10,6.81026338136e-12,1847,1,0,11212.0524158,11.6106247902,36782,0,0,0.368272429251,0.999606435765,0,0.1,0,0,55325.4442002,1,1,0,0,0,494,-32,79,605,4,0,0,6,-16,11.3639352922
9,0.00253321652634,88423,88423,0.79729315444,-0.0250750576853,0.0483362901927,1.25523000369e-10,5.49223368042e-12,1847,1,0,11380.6392918,12.3752923012,35692,0,0,0.314012767569,0.999606435765,0,0.1,0,0,51699.98399,1,1,0,0,0,492,-100,79,671,5,0,0,2,-4,11.6590085831
10,0.00250642632523,88423,88423,0.79729315444,0.00712441890578,0.0483362901927,1.14902222778e-10,4.88804106008e-12,1856,1,0,11939.2666249,12.888792038,34539,0,0,0.318827959524,0.9998183482,0,0.1,0,0,49315.076649,1,1,0,0,0,483,-60,79,622,6,0,0,3,-12,23.403355916
